"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0세","2020년_계_1세","2020년_계_2세","2020년_계_3세","2020년_계_4세","2020년_계_5세","2020년_계_6세","2020년_계_7세","2020년_계_8세","2020년_계_9세","2020년_계_10세","2020년_계_11세","2020년_계_12세","2020년_계_13세","2020년_계_14세","2020년_계_15세","2020년_계_16세","2020년_계_17세","2020년_계_18세","2020년_계_19세","2020년_계_20세","2020년_계_21세","2020년_계_22세","2020년_계_23세","2020년_계_24세","2020년_계_25세","2020년_계_26세","2020년_계_27세","2020년_계_28세","2020년_계_29세","2020년_계_30세","2020년_계_31세","2020년_계_32세","2020년_계_33세","2020년_계_34세","2020년_계_35세","2020년_계_36세","2020년_계_37세","2020년_계_38세","2020년_계_39세","2020년_계_40세","2020년_계_41세","2020년_계_42세","2020년_계_43세","2020년_계_44세","2020년_계_45세","2020년_계_46세","2020년_계_47세","2020년_계_48세","2020년_계_49세","2020년_계_50세","2020년_계_51세","2020년_계_52세","2020년_계_53세","2020년_계_54세","2020년_계_55세","2020년_계_56세","2020년_계_57세","2020년_계_58세","2020년_계_59세","2020년_계_60세","2020년_계_61세","2020년_계_62세","2020년_계_63세","2020년_계_64세","2020년_계_65세","2020년_계_66세","2020년_계_67세","2020년_계_68세","2020년_계_69세","2020년_계_70세","2020년_계_71세","2020년_계_72세","2020년_계_73세","2020년_계_74세","2020년_계_75세","2020년_계_76세","2020년_계_77세","2020년_계_78세","2020년_계_79세","2020년_계_80세","2020년_계_81세","2020년_계_82세","2020년_계_83세","2020년_계_84세","2020년_계_85세","2020년_계_86세","2020년_계_87세","2020년_계_88세","2020년_계_89세","2020년_계_90세","2020년_계_91세","2020년_계_92세","2020년_계_93세","2020년_계_94세","2020년_계_95세","2020년_계_96세","2020년_계_97세","2020년_계_98세","2020년_계_99세","2020년_계_100세 이상"
"전국  (0000000000)","51,829,023","51,829,023","265,087","304,651","331,606","363,250","412,429","444,367","440,710","441,560","489,936","476,474","473,919","448,450","469,087","496,175","449,958","436,320","473,931","493,036","494,044","558,416","638,108","618,752","638,595","670,075","684,146","706,819","712,801","709,626","724,866","702,365","640,897","631,573","626,557","618,482","628,489","653,259","662,309","748,699","822,494","840,358","837,135","827,427","721,752","778,395","761,607","789,046","856,591","891,471","892,019","939,344","913,912","919,030","920,605","855,730","809,451","843,823","825,363","784,660","870,571","901,869","909,224","838,270","764,707","756,768","681,500","704,145","597,588","514,832","566,479","410,993","435,818","438,250","432,023","432,512","341,531","301,435","317,624","314,642","378,943","305,468","263,047","263,250","229,644","204,672","183,322","165,702","138,986","111,642","95,956","73,201","61,471","51,192","40,071","30,653","20,317","15,518","10,954","10,214","7,296","4,774","21,912"
"서울특별시  (1100000000)","9,668,465","9,668,465","45,165","50,482","53,099","57,331","64,404","68,808","68,085","68,257","75,438","72,676","73,776","70,062","74,955","79,461","73,398","71,470","79,105","81,820","82,413","95,406","114,046","113,005","122,481","135,873","144,710","156,132","164,766","167,478","172,930","168,990","153,016","148,131","146,240","140,184","138,811","140,377","137,812","150,721","159,550","160,264","157,562","155,036","131,923","142,835","140,652","143,585","155,782","161,763","165,067","173,977","168,100","165,625","161,482","150,915","138,608","147,255","146,459","139,819","150,635","154,658","159,897","149,721","139,410","138,976","126,456","133,512","112,961","99,591","107,975","75,455","83,992","84,540","83,055","84,766","68,193","59,529","59,974","58,114","67,961","53,952","45,303","43,763","37,489","32,947","28,717","26,011","20,923","17,100","14,573","11,268","9,536","8,391","6,722","5,239","3,615","2,662","2,031","1,995","1,423","1,069","6,792"
"부산광역시  (2600000000)","3,391,946","3,391,946","14,785","17,149","19,312","21,565","24,563","26,588","26,220","25,895","28,642","27,637","27,143","24,917","26,210","27,637","24,901","24,453","26,732","28,427","28,586","33,008","38,289","38,075","40,894","43,225","45,148","45,707","45,717","44,860","45,393","43,679","39,083","39,330","38,016","36,901","37,399","38,656","40,119","45,896","50,402","53,212","53,427","52,366","44,848","47,305","45,256","48,410","52,202","54,484","55,171","57,679","57,198","57,821","58,450","56,056","52,149","54,445","53,591","53,389","61,078","64,736","66,506","61,848","58,103","59,049","54,297","57,889","48,425","42,680","46,030","36,793","36,003","36,623","35,990","34,355","26,915","22,841","25,392","25,040","27,542","22,598","19,625","18,613","15,451","13,667","11,914","10,489","8,753","6,801","5,827","4,540","3,468","3,103","2,520","1,919","1,142","930","664","550","449","283","1,887"
"대구광역시  (2700000000)","2,418,346","2,418,346","10,935","13,326","14,626","16,445","18,868","20,143","20,147","19,952","22,240","21,544","21,397","20,137","21,314","22,949","20,835","20,941","22,490","24,448","23,928","27,459","31,297","30,670","31,336","33,291","33,339","33,826","32,692","31,868","32,244","30,971","27,847","28,013","26,027","26,161","26,608","27,466","27,581","31,981","35,699","36,927","36,960","37,119","31,952","35,476","35,213","37,291","39,999","41,987","43,073","44,769","43,879","44,501","45,745","43,279","39,687","41,599","40,697","38,392","43,159","44,541","42,462","41,881","34,859","36,245","33,119","33,546","27,827","26,113","28,287","21,618","21,226","22,008","21,730","20,304","14,406","12,962","15,233","15,626","17,536","14,245","12,187","12,266","10,267","9,216","8,175","7,273","6,178","4,802","4,186","3,115","2,404","1,866","1,562","1,181","726","609","393","297","231","160","733"
"인천광역시  (2800000000)","2,942,828","2,942,828","15,253","17,615","19,126","20,685","23,641","25,731","25,361","25,436","28,005","27,781","27,197","25,999","26,790","28,761","25,756","25,061","26,830","28,306","27,896","31,566","35,624","35,025","36,183","39,073","40,000","41,852","43,104","43,590","44,307","42,788","38,761","37,561","36,919","35,891","36,761","38,325","38,889","44,285","48,506","50,248","49,516","49,170","42,640","45,656","43,828","46,359","49,312","51,648","51,868","53,980","52,830","53,039","53,600","49,747","47,654","51,052","50,504","47,796","52,673","53,272","53,217","48,029","44,264","42,253","36,950","37,720","31,293","26,428","28,919","18,806","21,182","21,621","21,028","21,409","17,285","14,572","14,787","14,714","17,131","13,774","11,562","11,691","10,383","8,947","8,290","7,490","6,162","5,105","4,374","3,500","2,929","2,501","1,888","1,514","1,022","801","592","490","338","266","969"
"광주광역시  (2900000000)","1,450,062","1,450,062","7,147","8,656","9,663","10,801","12,503","13,394","13,631","13,760","15,364","14,773","15,024","14,337","14,889","16,160","14,696","14,272","15,517","16,794","16,609","18,846","21,552","20,752","21,292","22,020","21,481","21,900","20,952","20,221","20,264","18,941","16,842","16,412","16,082","16,204","16,592","17,464","18,342","21,038","23,402","23,489","23,435","23,939","20,953","22,866","22,758","22,630","25,588","25,818","25,997","26,883","26,375","24,951","26,268","23,793","22,996","22,931","21,545","21,576","21,501","21,886","23,582","21,159","18,772","18,494","15,622","16,539","13,775","11,827","13,267","10,747","11,189","11,618","10,645","11,234","8,884","7,839","7,780","7,091","9,738","7,523","6,262","6,035","5,388","4,810","3,946","3,730","3,291","2,490","2,077","1,642","1,512","1,261","867","666","481","348","220","255","158","107","424"
"대전광역시  (3000000000)","1,463,882","1,463,882","7,303","8,488","9,347","10,596","11,950","12,950","12,755","12,990","14,099","14,051","13,811","13,257","14,067","15,014","13,771","13,429","14,874","15,430","15,375","17,408","19,826","19,574","20,576","21,795","22,030","22,471","22,134","21,532","21,796","20,754","19,092","18,272","18,046","17,656","17,846","18,354","18,297","20,520","22,641","23,364","23,012","22,760","20,718","22,169","22,148","22,588","24,747","26,207","25,715","27,152","26,197","27,014","27,033","24,098","22,091","23,000","22,679","20,506","24,028","25,275","24,881","22,612","20,043","20,370","18,514","18,645","16,142","13,182","14,201","10,563","11,504","11,109","10,918","10,272","8,158","7,437","7,774","7,570","9,287","7,291","5,737","6,298","5,473","4,811","4,357","3,846","3,277","2,697","2,271","1,752","1,427","1,155","1,000","753","438","347","242","223","151","105","371"
"울산광역시  (3100000000)","1,136,017","1,136,017","6,375","7,398","8,022","9,069","10,471","11,231","11,203","11,034","12,165","11,538","11,491","10,863","11,255","11,905","10,463","10,214","10,784","11,469","11,260","12,716","14,270","13,689","13,913","14,403","14,473","14,838","14,725","14,600","14,837","14,821","13,407","13,776","13,275","13,329","13,611","14,111","14,878","16,866","18,969","19,483","19,728","19,140","16,634","17,801","16,880","17,510","18,896","19,781","20,029","21,409","21,131","21,705","22,316","21,276","20,523","21,284","20,106","18,734","20,851","21,595","20,793","18,984","17,165","16,368","14,811","14,818","12,154","10,902","10,915","8,437","8,242","7,869","7,778","7,167","5,242","4,420","4,904","4,921","5,563","4,062","3,696","3,543","3,014","2,615","2,296","2,094","1,823","1,488","1,199","944","694","657","501","382","250","201","151","128","79","43","175"
"세종특별자치시  (3600000000)","355,831","355,831","3,344","3,807","4,174","4,566","5,010","5,307","5,109","5,123","5,567","5,276","5,208","4,903","5,013","4,848","4,347","3,881","3,985","3,746","3,406","3,340","3,630","3,331","3,321","3,321","3,453","3,537","3,744","3,930","4,485","4,701","4,650","4,885","5,200","5,467","5,812","5,976","6,228","7,052","8,128","8,094","7,877","8,048","6,670","7,123","6,680","6,573","6,815","6,638","6,108","6,299","5,646","5,322","5,181","4,526","4,092","4,152","4,100","3,667","4,202","4,317","4,149","3,815","3,511","3,443","3,091","3,225","2,743","2,097","2,378","1,687","1,902","1,876","1,631","1,601","1,266","1,123","1,175","1,172","1,458","1,188","941","1,009","923","796","760","737","617","522","455","349","304","262","200","142","86","69","47","40","33","17","50"
"경기도  (4100000000)","13,427,014","13,427,014","76,810","88,101","96,802","105,278","119,777","128,940","127,560","126,241","140,538","135,937","134,861","127,586","133,064","139,128","126,339","119,870","130,058","134,067","133,149","150,092","170,114","163,189","167,501","175,328","180,104","188,161","189,625","189,085","194,898","189,843","173,041","171,600","172,364","170,162","173,908","182,714","184,800","210,197","230,874","237,799","236,175","232,746","202,221","218,287","213,141","218,960","235,471","243,531","243,837","255,054","246,054","245,517","241,692","221,655","209,901","218,779","214,724","198,661","217,635","220,302","219,678","198,202","182,530","173,364","154,077","156,741","131,934","112,037","123,634","80,237","89,482","89,486","89,368","90,986","74,147","65,169","65,498","64,281","75,597","61,801","53,088","52,395","46,511","41,534","37,121","33,471","27,823","22,357","19,306","14,607","12,645","10,550","8,262","6,327","4,300","3,311","2,358","2,111","1,545","980","4,315"
