"행정구역","2009년_계_총인구수","2009년_계_연령구간인구수","2009년_계_0세","2009년_계_1세","2009년_계_2세","2009년_계_3세","2009년_계_4세","2009년_계_5세","2009년_계_6세","2009년_계_7세","2009년_계_8세","2009년_계_9세","2009년_계_10세","2009년_계_11세","2009년_계_12세","2009년_계_13세","2009년_계_14세","2009년_계_15세","2009년_계_16세","2009년_계_17세","2009년_계_18세","2009년_계_19세","2009년_계_20세","2009년_계_21세","2009년_계_22세","2009년_계_23세","2009년_계_24세","2009년_계_25세","2009년_계_26세","2009년_계_27세","2009년_계_28세","2009년_계_29세","2009년_계_30세","2009년_계_31세","2009년_계_32세","2009년_계_33세","2009년_계_34세","2009년_계_35세","2009년_계_36세","2009년_계_37세","2009년_계_38세","2009년_계_39세","2009년_계_40세","2009년_계_41세","2009년_계_42세","2009년_계_43세","2009년_계_44세","2009년_계_45세","2009년_계_46세","2009년_계_47세","2009년_계_48세","2009년_계_49세","2009년_계_50세","2009년_계_51세","2009년_계_52세","2009년_계_53세","2009년_계_54세","2009년_계_55세","2009년_계_56세","2009년_계_57세","2009년_계_58세","2009년_계_59세","2009년_계_60세","2009년_계_61세","2009년_계_62세","2009년_계_63세","2009년_계_64세","2009년_계_65세","2009년_계_66세","2009년_계_67세","2009년_계_68세","2009년_계_69세","2009년_계_70세","2009년_계_71세","2009년_계_72세","2009년_계_73세","2009년_계_74세","2009년_계_75세","2009년_계_76세","2009년_계_77세","2009년_계_78세","2009년_계_79세","2009년_계_80세","2009년_계_81세","2009년_계_82세","2009년_계_83세","2009년_계_84세","2009년_계_85세","2009년_계_86세","2009년_계_87세","2009년_계_88세","2009년_계_89세","2009년_계_90세","2009년_계_91세","2009년_계_92세","2009년_계_93세","2009년_계_94세","2009년_계_95세","2009년_계_96세","2009년_계_97세","2009년_계_98세","2009년_계_99세","2009년_계_100세 이상"
"전국  (0000000000)","49,773,145","49,773,145","424,529","464,282","492,482","447,432","434,700","473,112","493,040","494,611","559,360","639,421","619,828","640,111","672,065","685,780","708,234","713,804","709,953","723,999","700,521","637,355","627,736","621,682","613,089","623,087","648,432","657,945","744,950","819,093","837,687","834,561","825,299","720,171","777,609","760,861","788,690","856,801","891,987","893,080","940,983","916,052","922,017","924,924","860,771","815,731","851,335","833,840","792,980","882,640","918,129","927,128","857,457","783,905","778,398","703,636","729,177","621,757","537,817","595,440","435,525","464,965","471,573","468,816","474,200","378,965","339,897","365,310","370,116","459,873","380,158","338,584","351,467","318,759","297,292","280,869","269,941","241,804","208,259","194,485","162,346","152,215","140,467","123,521","108,172","85,584","76,130","62,673","63,654","53,386","38,880","30,538","23,475","17,770","15,004","10,912","7,503","5,655","4,085","3,059","1,894","1,269","2,599"
"서울특별시  (1100000000)","10,208,302","10,208,302","82,951","88,987","91,573","82,820","78,875","86,540","88,847","88,001","97,286","112,236","107,794","112,499","119,523","122,857","128,767","133,249","133,501","138,472","136,108","126,701","126,165","129,393","130,357","138,943","151,065","158,291","184,640","204,196","210,199","208,281","204,961","172,327","183,610","176,606","177,470","188,264","190,898","192,389","199,763","190,977","186,911","181,804","169,585","156,784","166,913","166,450","159,272","172,277","179,250","185,691","175,454","164,531","165,064","151,229","159,781","136,016","120,310","131,388","92,267","102,626","104,156","102,395","105,262","85,205","75,542","76,940","76,206","91,479","73,604","63,373","63,105","55,704","50,948","46,609","44,297","37,953","32,503","30,099","25,242","23,981","22,403","19,889","17,314","13,982","12,132","10,470","10,472","8,737","6,656","5,394","4,067","3,062","2,600","1,868","1,358","1,019","735","533","315","237","471"
"부산광역시  (2600000000)","3,543,030","3,543,030","23,751","26,122","27,481","24,841","24,499","26,942","28,826","28,785","33,164","38,149","37,528","39,652","42,018","45,024","46,643","48,462","49,105","51,133","50,026","45,338","46,970","46,532","46,250","47,183","48,877","50,072","55,389","59,746","61,737","60,465","57,798","48,669","50,600","47,567","50,677","54,274","56,553","56,753","59,526","59,031","59,873","60,972","58,660","54,978","57,743","57,126","57,040","65,606","70,047","72,612","67,817","64,186","65,568","60,355","64,873","54,374","48,227","52,119","41,946","41,513","42,384","41,963","40,195","31,716","27,208","31,228","31,301","35,379","29,934","26,898","26,366","22,735","21,180","19,678","18,454","16,426","13,731","13,162","11,121","9,665","9,268","8,312","7,245","5,516","4,892","3,871","3,729","3,009","2,257","1,712","1,196","897","759","543","357","315","205","152","86","60","132"
"대구광역시  (2700000000)","2,489,781","2,489,781","18,567","20,576","22,175","20,321","20,465","22,255","24,304","24,117","28,037","32,373","31,769","32,689","35,754","36,785","38,553","38,639","38,095","39,075","37,900","34,377","34,732","32,869","32,310","32,258","32,609","32,070","36,436","39,335","39,980","38,989","38,549","32,649","36,128","35,761","37,960","40,524","42,622","43,863","45,806","45,521","46,499","47,953","45,954","42,218","44,557","43,829","41,545","47,033","48,825","46,565","46,307","38,474","40,078","36,808","37,104","31,161","29,375","31,766","24,376","24,158","25,041","24,900","23,191","16,699","15,204","18,141","18,940","21,983","18,111","16,044","16,862","14,561","13,731","12,843","12,309","11,282","9,287","9,031","7,435","6,413","5,653","5,358","4,739","3,524","3,178","2,537","2,261","2,036","1,537","1,164","873","673","559","373","270","227","137","100","59","38","95"
"인천광역시  (2800000000)","2,710,579","2,710,579","23,390","25,896","27,661","24,960","24,159","26,126","27,556","27,119","30,900","35,074","34,312","35,288","37,723","38,785","40,449","41,272","42,076","43,018","41,777","37,659","36,756","35,848","35,049","35,174","36,726","36,691","41,257","45,126","46,619","45,841","45,562","39,901","42,671","41,369","43,789","47,146","49,810","50,215","52,259","51,241","51,963","52,920","49,298","47,568","50,968","50,654","47,782","53,568","53,960","54,401","49,260","45,515","43,314","37,982","38,730","32,328","27,157","29,885","19,551","22,083","22,608","22,111","22,681","18,502","15,857","16,296","16,631","19,866","16,253","14,058","14,687","13,701","12,414","11,841","11,313","9,900","8,744","8,206","6,862","6,590","6,109","5,369","4,632","3,662","3,370","2,962","2,817","2,315","1,709","1,340","1,057","771","705","436","295","221","164","131","99","45","112"
"광주광역시  (2900000000)","1,433,640","1,433,640","12,787","14,202","15,442","14,248","13,833","15,242","16,819","16,485","19,117","22,167","21,406","22,399","23,726","23,702","24,687","24,403","23,826","24,103","22,470","20,060","19,512","19,076","18,816","18,727","19,473","19,882","22,429","24,222","24,094","23,532","23,998","20,818","22,721","22,573","22,536","25,307","25,702","25,854","27,057","26,843","25,533","27,249","24,730","24,315","24,234","22,892","23,021","22,994","23,552","25,413","23,017","20,514","20,127","17,042","17,944","15,049","12,833","14,455","11,759","12,293","12,838","11,888","12,596","10,026","8,947","9,028","8,422","11,801","9,382","7,985","8,059","7,379","6,919","6,029","6,172","5,605","4,639","4,265","3,657","3,724","3,520","2,830","2,566","2,007","1,751","1,372","1,641","1,265","937","739","588","475","349","273","180","171","93","84","63","36","77"
"대전광역시  (3000000000)","1,484,180","1,484,180","13,220","14,614","15,736","14,374","14,095","15,588","16,315","16,186","18,162","20,631","20,187","20,923","22,154","22,668","23,410","23,571","22,818","23,371","22,654","20,510","20,130","20,128","19,801","20,043","20,721","20,792","22,927","24,910","25,228","24,902","24,429","22,057","23,459","23,255","23,863","26,247","27,793","27,022","28,727","27,686","28,843","28,795","26,159","24,111","25,360","25,119","22,654","26,703","28,145","27,726","25,159","22,535","22,942","20,868","20,853","18,080","14,908","15,884","11,856","13,032","12,675","12,332","11,716","9,342","8,556","9,176","9,052","11,391","9,038","7,448","8,238","7,496","6,819","6,652","6,147","5,642","4,927","4,501","3,762","3,501","3,155","2,924","2,660","1,981","1,804","1,540","1,551","1,234","915","697","552","433","351","277","191","135","99","74","55","34","68"
"울산광역시  (3100000000)","1,114,866","1,114,866","10,518","11,313","12,032","10,702","10,435","11,078","11,680","11,575","13,562","15,622","15,595","16,286","17,395","17,751","18,607","18,609","18,582","18,784","18,345","15,810","15,681","14,540","13,745","13,654","13,818","14,228","15,970","17,827","18,316","18,644","18,314","16,064","17,495","16,552","17,344","19,065","19,879","20,359","21,792","21,663","22,333","23,092","22,051","21,339","22,200","21,122","19,717","22,072","22,904","22,174","20,354","18,625","17,912","16,235","16,270","13,457","12,065","12,241","9,567","9,430","8,835","8,846","8,186","6,112","5,195","5,832","5,982","7,039","5,269","4,881","4,890","4,359","3,914","3,570","3,354","3,143","2,779","2,518","2,179","1,946","1,796","1,704","1,503","1,131","1,037","858","819","727","483","406","299","210","226","152","91","70","53","40","8","12","21"
"경기도  (4100000000)","11,460,610","11,460,610","109,880","122,831","130,841","120,286","115,686","126,222","129,998","129,474","144,749","164,967","158,063","161,596","166,665","167,909","172,808","172,059","169,767","171,529","164,872","147,358","141,716","139,357","134,488","135,993","141,831","143,678","163,517","182,320","191,015","193,091","193,596","172,416","190,646","190,369","198,443","217,209","227,360","230,000","242,520","235,886","236,381","233,597","214,685","203,911","212,247","207,929","191,518","210,963","213,398","212,202","190,808","174,311","165,690","146,864","149,218","125,455","106,047","118,153","76,769","86,132","86,490","87,516","90,722","74,670","66,751","68,374","68,523","83,488","70,439","62,565","64,044","59,222","55,050","51,956","49,668","43,845","37,733","34,914","28,850","27,269","25,499","21,978","19,190","15,597","13,867","11,678","11,586","9,883","7,173","5,579","4,430","3,275","2,782","1,983","1,390","993","740","527","363","257","462"
"강원도  (4200000000)","1,512,870","1,512,870","11,633","12,449","13,754","12,583","12,737","13,790","14,342","15,129","16,816","19,174","18,779","19,311","20,162","19,984","20,354","20,397","20,364","20,597","19,894","19,040","18,374","18,465","18,121","18,340","18,497","17,744","19,489","20,748","20,327","20,633","20,112","18,803","19,592","19,606","20,694","23,027","24,424","23,943","25,297","25,095","26,034","26,665","24,294","24,361","23,676","23,909","23,757","27,044","28,985","28,936","27,835","26,136","26,527","23,458","23,538","21,052","17,587","21,464","12,201","13,227","13,776","15,013","15,719","13,921","13,905","14,453","14,670","17,305","15,537","14,840","14,920","13,873","12,558","11,978","10,848","9,575","8,199","7,163","6,407","6,535","5,897","5,174","4,330","3,701","3,629","2,974","2,822","2,289","1,680","1,328","1,130","877","782","516","341","262","199","146","86","73","133"
