"행정구역","2011년_계_총인구수","2011년_계_연령구간인구수","2011년_계_0세","2011년_계_1세","2011년_계_2세","2011년_계_3세","2011년_계_4세","2011년_계_5세","2011년_계_6세","2011년_계_7세","2011년_계_8세","2011년_계_9세","2011년_계_10세","2011년_계_11세","2011년_계_12세","2011년_계_13세","2011년_계_14세","2011년_계_15세","2011년_계_16세","2011년_계_17세","2011년_계_18세","2011년_계_19세","2011년_계_20세","2011년_계_21세","2011년_계_22세","2011년_계_23세","2011년_계_24세","2011년_계_25세","2011년_계_26세","2011년_계_27세","2011년_계_28세","2011년_계_29세","2011년_계_30세","2011년_계_31세","2011년_계_32세","2011년_계_33세","2011년_계_34세","2011년_계_35세","2011년_계_36세","2011년_계_37세","2011년_계_38세","2011년_계_39세","2011년_계_40세","2011년_계_41세","2011년_계_42세","2011년_계_43세","2011년_계_44세","2011년_계_45세","2011년_계_46세","2011년_계_47세","2011년_계_48세","2011년_계_49세","2011년_계_50세","2011년_계_51세","2011년_계_52세","2011년_계_53세","2011년_계_54세","2011년_계_55세","2011년_계_56세","2011년_계_57세","2011년_계_58세","2011년_계_59세","2011년_계_60세","2011년_계_61세","2011년_계_62세","2011년_계_63세","2011년_계_64세","2011년_계_65세","2011년_계_66세","2011년_계_67세","2011년_계_68세","2011년_계_69세","2011년_계_70세","2011년_계_71세","2011년_계_72세","2011년_계_73세","2011년_계_74세","2011년_계_75세","2011년_계_76세","2011년_계_77세","2011년_계_78세","2011년_계_79세","2011년_계_80세","2011년_계_81세","2011년_계_82세","2011년_계_83세","2011년_계_84세","2011년_계_85세","2011년_계_86세","2011년_계_87세","2011년_계_88세","2011년_계_89세","2011년_계_90세","2011년_계_91세","2011년_계_92세","2011년_계_93세","2011년_계_94세","2011년_계_95세","2011년_계_96세","2011년_계_97세","2011년_계_98세","2011년_계_99세","2011년_계_100세 이상"
"전국  (0000000000)","50,734,284","50,734,284","451,579","470,224","445,437","466,807","494,388","448,774","435,724","473,970","493,658","495,288","560,042","640,027","620,650","640,950","672,862","686,666","709,218","714,748","710,814","725,148","702,062","639,208","630,058","624,560","616,427","626,728","652,349","662,028","749,595","824,401","843,356","840,585","831,265","725,701","783,547","767,010","795,534","864,737","900,728","902,323","950,931","926,338","932,738","935,911","871,204","825,847","861,891","844,225","803,780","893,818","929,060","938,247","867,111","792,643","786,572","710,515","736,003","626,938","541,974","599,083","437,650","466,614","472,464","468,881","473,698","378,148","338,548","362,391","365,907","452,571","373,046","330,796","341,763","308,794","286,432","268,922","257,010","228,327","195,334","180,752","149,435","138,348","126,445","109,721","94,532","73,372","63,971","51,722","51,944","42,416","30,452","23,271","17,552","12,884","10,855","7,828","5,561","4,369","3,336","2,583","11,634"
"서울특별시  (1100000000)","10,249,679","10,249,679","84,538","86,961","80,452","83,876","87,332","79,607","76,678","84,286","86,520","86,398","96,006","111,428","107,708","112,316","119,063","123,169","129,002","132,938","133,113","138,774","137,904","128,121","129,772","136,106","138,526","147,085","159,195","163,872","187,268","201,970","204,556","200,615","195,651","163,897","174,545","168,599","169,856","180,924","185,528","187,771","196,143","188,641","185,841","181,405","169,709","156,932","166,945","166,605","159,877","172,492","179,165","185,665","175,039","163,911","164,027","150,149","158,519","134,807","119,148","129,664","91,039","101,004","102,315","100,690","103,271","83,783","74,146","75,194","74,243","88,653","71,243","61,195","60,783","53,446","48,728","44,278","42,013","35,867","30,441","28,040","23,382","21,722","20,439","17,959","15,399","12,243","10,440","8,814","8,861","7,250","5,404","4,335","3,258","2,417","2,077","1,609","1,173","963","753","613","3,586"
"부산광역시  (2600000000)","3,550,963","3,550,963","26,295","27,056","24,626","26,083","27,592","24,820","24,495","26,909","28,697","28,749","33,053","38,062","37,526","39,705","41,894","44,955","46,553","48,244","48,800","50,708","49,723","45,265","47,059","45,872","45,146","45,260","46,452","47,035","52,175","56,595","58,849","58,100","56,179","47,711","49,931","47,176","50,511","54,256","56,692","57,170","59,823","59,604","60,543","61,540","59,097","55,511","58,197","57,494","57,464","66,080","70,465","72,821","68,017","64,231","65,535","60,362","64,635","54,322","47,991","51,917","41,590","40,953","41,815","41,369","39,565","31,344","26,848","30,506","30,529","34,435","29,012","26,020","25,357","21,783","20,296","18,613","17,345","15,385","12,849","12,028","10,147","8,689","8,243","7,314","6,265","4,655","4,116","3,124","3,048","2,409","1,747","1,314","888","679","569","418","293","291","230","176","1,078"
"대구광역시  (2700000000)","2,507,271","2,507,271","19,944","20,525","19,721","20,960","22,554","20,494","20,847","22,532","24,490","24,247","28,231","32,648","32,177","33,014","35,766","36,850","38,310","38,215","37,624","38,317","37,263","33,913","33,900","31,700","30,920","30,850","30,925","30,413","34,582","37,911","38,760","38,274","38,086","32,519","36,087","35,947","38,263","41,044","43,135","44,519","46,489","45,948","47,050","48,541","46,294","42,540","44,798","43,917","41,753","47,166","48,961","46,657","46,360","38,376","40,040","36,731","37,065","30,924","29,164","31,587","24,176","23,906","24,708","24,664","22,941","16,508","15,018","17,807","18,587","21,537","17,696","15,640","16,313","14,073","13,252","12,185","11,681","10,564","8,721","8,362","6,705","5,757","5,038","4,745","4,096","2,982","2,648","2,055","1,813","1,580","1,164","873","621","446","372","256","185","167","124","93","374"
"인천광역시  (2800000000)","2,801,274","2,801,274","25,572","26,934","25,683","26,820","28,358","25,391","24,492","26,173","27,893","27,372","31,131","35,265","34,470","35,539","38,120","39,083","40,832","41,610","42,380","43,086","42,078","38,302","37,277","36,481","35,528","35,763","37,308","37,267","42,183","46,300","47,979","47,470","47,280","41,485","44,404","42,832","45,207","48,878","51,096","51,535","53,541","52,606","53,275","54,093","50,351","48,400","52,009","51,566","48,716","54,418","55,089","55,326","50,082","46,227","44,062","38,466","39,265","32,757","27,524","30,207","19,760","22,265","22,854","22,218","22,812","18,602","15,910","16,298","16,488","19,757","16,116","13,825","14,408","13,429","12,056","11,467","10,896","9,483","8,307","7,702","6,361","6,127","5,632","4,842","4,128","3,209","2,892","2,510","2,343","1,880","1,411","1,082","805","576","523","327","244","176","146","111","459"
"광주광역시  (2900000000)","1,463,464","1,463,464","13,494","14,403","13,986","14,668","15,912","14,540","14,293","15,694","17,022","16,801","19,405","22,428","21,861","22,677","23,903","23,792","24,596","24,160","23,603","23,737","22,191","19,929","19,082","18,528","18,220","18,350","18,971","19,403","22,074","24,295","24,137","23,869","24,355","21,140","23,214","23,122","23,058","25,957","26,348","26,469","27,639","27,270","25,955","27,508","25,037","24,429","24,523","23,081","23,208","23,199","23,644","25,513","22,990","20,439","20,215","17,029","17,987","14,975","12,868","14,467","11,821","12,312","12,811","11,887","12,559","9,914","8,932","8,979","8,385","11,585","9,244","7,873","7,834","7,184","6,703","5,834","5,895","5,338","4,398","3,944","3,391","3,397","3,143","2,515","2,208","1,701","1,484","1,090","1,315","1,013","745","560","440","328","238","181","135","116","59","48","262"
"대전광역시  (3000000000)","1,515,603","1,515,603","14,333","14,609","14,242","15,058","16,142","14,831","14,478","15,807","16,400","16,302","18,297","20,732","20,326","21,076","22,206","22,709","23,314","23,379","22,692","23,117","22,664","20,491","20,222","20,212","19,656","19,975","20,411","20,452","22,863","24,920","25,381","25,210","24,856","22,437","24,128","23,929","24,563","26,813","28,132","27,335","29,146","28,058","29,128","29,238","26,490","24,306","25,526","25,321","22,832","26,893","28,169","27,777","25,200","22,400","22,971","20,890","20,845","18,158","14,821","15,797","11,784","12,933","12,560","12,266","11,654","9,275","8,477","9,031","8,932","11,123","8,847","7,275","8,017","7,320","6,616","6,383","5,905","5,320","4,650","4,221","3,502","3,225","2,886","2,657","2,344","1,690","1,500","1,293","1,259","1,004","712","502","412","323","272","197","138","102","64","52","214"
"울산광역시  (3100000000)","1,135,494","1,135,494","11,214","11,512","11,005","11,327","12,026","10,670","10,379","11,020","11,699","11,568","13,547","15,605","15,603","16,198","17,363","17,725","18,491","18,498","18,374","18,161","17,802","15,479","15,049","13,982","13,369","13,431","13,734","14,298","16,145","18,230","18,903","19,242","18,774","16,488","17,781","16,885","17,645","19,273","20,143","20,532","21,957","21,923","22,475","23,262","22,119","21,449","22,285","21,192","19,815","22,204","23,007","22,337","20,523","18,657","17,930","16,285","16,310","13,469","12,044","12,188","9,480","9,353","8,766","8,754","8,075","6,021","5,151","5,750","5,865","6,846","5,146","4,763","4,761","4,220","3,754","3,456","3,230","3,022","2,619","2,365","1,973","1,760","1,628","1,491","1,320","956","883","706","681","561","381","294","213","147","139","94","63","52","38","29","87"
"경기도  (4100000000)","11,937,415","11,937,415","118,257","125,526","120,195","126,944","134,201","122,917","117,187","127,659","131,608","130,674","145,817","165,695","158,635","162,171","167,428","168,282","173,431","173,408","171,311","173,970","167,054","149,866","145,696","144,702","141,039","142,728","149,386","152,099","173,202","193,114","202,090","204,018","204,338","181,184","199,239","197,848","205,927","224,346","233,719","235,746","248,156","240,765","240,398","237,184","217,811","207,011","215,638","211,301","194,986","214,640","217,204","216,391","194,557","178,275","169,533","150,394","152,854","128,410","108,694","121,027","78,689","88,326","88,636","89,192","92,224","75,771","67,732","69,182","68,813","83,565","70,292","62,011","63,183","58,185","53,722","50,407","47,903","41,947","35,956","32,980","27,106","25,313","23,361","19,989","17,216","13,729","11,883","9,860","9,693","8,034","5,803","4,364","3,410","2,449","2,080","1,453","1,078","794","620","463","2,115"
"강원도  (4200000000)","1,536,448","1,536,448","11,961","12,599","12,112","12,557","13,829","12,577","12,827","13,909","14,406","15,253","16,881","19,240","18,737","19,291","20,163","19,964","20,407","20,418","20,495","21,788","20,491","19,169","18,496","18,499","17,742","17,210","17,036","16,389","18,582","20,184","20,125","20,499","20,194","18,862","19,799","19,955","20,920","23,458","24,968","24,515","25,831","25,527","26,464","27,161","24,631","24,838","24,173","24,463","24,276","27,646","29,511","29,548","28,481","26,650","27,035","23,937","24,027","21,526","17,957","21,928","12,445","13,533","14,027","15,230","15,877","13,992","13,851","14,386","14,567","17,183","15,364","14,538","14,495","13,460","12,063","11,464","10,268","9,018","7,714","6,676","5,910","5,966","5,313","4,624","3,798","3,179","3,031","2,504","2,294","1,757","1,322","1,010","832","622","565","348","243","170","152","111","429"
