"행정구역","2008년_계_총인구수","2008년_계_연령구간인구수","2008년_계_0세","2008년_계_1세","2008년_계_2세","2008년_계_3세","2008년_계_4세","2008년_계_5세","2008년_계_6세","2008년_계_7세","2008년_계_8세","2008년_계_9세","2008년_계_10세","2008년_계_11세","2008년_계_12세","2008년_계_13세","2008년_계_14세","2008년_계_15세","2008년_계_16세","2008년_계_17세","2008년_계_18세","2008년_계_19세","2008년_계_20세","2008년_계_21세","2008년_계_22세","2008년_계_23세","2008년_계_24세","2008년_계_25세","2008년_계_26세","2008년_계_27세","2008년_계_28세","2008년_계_29세","2008년_계_30세","2008년_계_31세","2008년_계_32세","2008년_계_33세","2008년_계_34세","2008년_계_35세","2008년_계_36세","2008년_계_37세","2008년_계_38세","2008년_계_39세","2008년_계_40세","2008년_계_41세","2008년_계_42세","2008년_계_43세","2008년_계_44세","2008년_계_45세","2008년_계_46세","2008년_계_47세","2008년_계_48세","2008년_계_49세","2008년_계_50세","2008년_계_51세","2008년_계_52세","2008년_계_53세","2008년_계_54세","2008년_계_55세","2008년_계_56세","2008년_계_57세","2008년_계_58세","2008년_계_59세","2008년_계_60세","2008년_계_61세","2008년_계_62세","2008년_계_63세","2008년_계_64세","2008년_계_65세","2008년_계_66세","2008년_계_67세","2008년_계_68세","2008년_계_69세","2008년_계_70세","2008년_계_71세","2008년_계_72세","2008년_계_73세","2008년_계_74세","2008년_계_75세","2008년_계_76세","2008년_계_77세","2008년_계_78세","2008년_계_79세","2008년_계_80세","2008년_계_81세","2008년_계_82세","2008년_계_83세","2008년_계_84세","2008년_계_85세","2008년_계_86세","2008년_계_87세","2008년_계_88세","2008년_계_89세","2008년_계_90세","2008년_계_91세","2008년_계_92세","2008년_계_93세","2008년_계_94세","2008년_계_95세","2008년_계_96세","2008년_계_97세","2008년_계_98세","2008년_계_99세","2008년_계_100세 이상"
"전국  (0000000000)","49,540,367","49,540,367","444,421","491,498","446,884","434,320","472,935","492,914","494,660","559,549","639,584","620,098","640,447","672,419","686,232","708,751","714,275","710,578","724,687","701,323","637,985","628,225","621,920","613,160","622,919","648,375","657,761","744,785","819,048","837,748","834,516","825,406","720,003","777,811","760,917","788,941","857,095","892,272","893,279","941,372","916,295","922,309","925,098","861,233","816,049","851,830","834,392","793,488","883,215","919,268","928,361","858,914","785,248","779,847","705,243","731,191","623,661","539,506","597,682","437,328","466,994","473,873","471,364","477,211","381,606","342,476","368,299","373,576","464,846","384,883","343,340","357,195","324,383","303,494","287,304","276,745","248,651","215,037","201,504","168,850","159,223","147,851","130,801","115,245","91,988","82,799","68,859","70,200","59,772","43,966","35,111","27,423","21,083","18,074","13,354","9,369","7,244","5,292","3,967","2,556","1,732","1,221","2,335"
"서울특별시  (1100000000)","10,200,827","10,200,827","88,051","93,727","84,485","79,998","87,660","89,366","88,920","97,818","112,468","108,022","112,333","118,696","122,963","128,461","132,339","133,649","138,416","136,284","125,541","125,239","128,283","127,714","134,483","146,808","153,900","180,693","201,823","210,028","209,807","207,714","175,169","187,337","180,247","180,935","191,924","194,448","195,329","202,258","192,720","188,295","182,730","170,193","157,333","167,485","166,977","159,767","173,176","180,248","187,102","176,859","165,810","166,584","152,717","161,397","137,675","121,658","133,076","93,565","103,923","105,499","103,964","107,063","86,497","76,909","78,217","77,468","93,239","74,967","64,752","64,649","57,093","52,183","47,876","45,556","39,165","33,661","31,244","26,237","25,114","23,379","20,976","18,337","14,981","13,108","11,493","11,553","9,716","7,555","6,071","4,676","3,627","3,139","2,263","1,667","1,294","927","693","428","328","226","411"
"부산광역시  (2600000000)","3,564,577","3,564,577","25,105","27,558","24,879","24,557","27,007","28,776","28,912","33,122","38,135","37,534","39,619","41,863","45,051","46,639","48,432","49,223","51,317","50,324","45,807","47,280","46,722","46,412","47,878","50,015","51,508","57,381","61,967","63,718","62,386","59,523","49,937","51,645","48,397","51,324","54,865","57,032","57,225","59,858","59,276","60,131","61,182","58,855","55,246","58,035","57,331","57,358","66,016","70,617","73,144","68,245","64,760","66,181","60,943","65,517","54,973","48,813","52,848","42,474","42,084","42,996","42,517","40,832","32,240","27,645","31,746","31,806","35,943","30,507","27,470","26,945","23,207","21,787","20,186","19,006","16,978","14,245","13,682","11,611","10,207","9,828","8,822","7,786","6,009","5,350","4,291","4,118","3,471","2,557","1,998","1,437","1,083","952","666","452","400","287","187","118","79","51","117"
"대구광역시  (2700000000)","2,492,724","2,492,724","19,558","21,960","20,105","20,269","22,084","23,944","24,032","27,883","32,276","31,578","32,442","35,505","36,693","38,520","38,613","38,452","39,246","38,280","34,915","35,090","33,163","32,725","32,902","33,371","32,976","37,566","40,507","40,949","39,913","39,143","32,968","36,320","35,932","37,976","40,551","42,645","43,841","45,817","45,461","46,484","48,114","46,027","42,342","44,748","43,985","41,729","47,303","49,067","46,918","46,672","38,746","40,347","37,136","37,415","31,534","29,718","32,104","24,675","24,381","25,290","25,196","23,468","16,886","15,417","18,352","19,278","22,338","18,403","16,330","17,185","14,885","14,054","13,154","12,626","11,688","9,636","9,377","7,774","6,733","6,010","5,736","5,087","3,814","3,550","2,787","2,515","2,283","1,722","1,353","1,048","779","682","481","349","283","177","125","85","44","42","86"
"인천광역시  (2800000000)","2,692,696","2,692,696","24,302","27,504","24,852","24,124","26,203","27,521","27,147","30,968","35,107","34,282","35,407","37,893","38,865","40,457","41,218","42,109","43,055","41,924","37,936","36,803","35,888","34,931","35,151","36,589","36,484","41,084","44,915","46,490","45,803","45,292","39,737","42,386","41,187","43,514","46,915","49,569","50,123","52,255","51,327","51,938","52,994","49,472","47,659","51,037","50,764","47,874","53,740","54,078","54,464","49,414","45,646","43,540","37,999","38,775","32,475","27,159","29,994","19,595","22,208","22,754","22,156","22,795","18,600","15,920","16,469","16,800","20,022","16,442","14,270","14,853","13,882","12,683","12,026","11,609","10,122","9,011","8,462","7,133","6,828","6,431","5,630","4,921","3,910","3,624","3,225","3,073","2,565","1,916","1,548","1,220","913","839","546","370","274","204","176","127","61","52","92"
"광주광역시  (2900000000)","1,422,702","1,422,702","13,306","15,083","13,888","13,600","14,953","16,413","16,371","18,932","21,978","21,202","22,189","23,449","23,626","24,679","24,365","23,966","24,110","22,582","20,254","19,654","19,243","18,999","18,922","19,729","20,088","22,598","24,480","24,291","23,528","23,947","20,705","22,605","22,433","22,332","25,144","25,478","25,754","26,778","26,660","25,373","27,145","24,652","24,302","24,236","22,906","23,101","23,060","23,663","25,536","23,155","20,631","20,282","17,121","18,076","15,133","12,977","14,547","11,796","12,408","12,940","11,960","12,692","10,096","9,034","9,113","8,481","11,866","9,507","8,088","8,143","7,483","7,005","6,160","6,264","5,736","4,790","4,356","3,790","3,878","3,696","2,997","2,712","2,129","1,919","1,507","1,773","1,413","1,039","841","683","545","429","337","226","212","113","108","81","44","36","66"
"대전광역시  (3000000000)","1,480,895","1,480,895","14,139","15,632","14,309","14,027","15,566","16,214","16,249","18,208","20,613","20,228","20,986","22,098","22,727","23,497","23,559","23,010","23,446","22,817","20,667","20,229","20,207","19,824","20,169","20,975","21,116","23,258","25,330","25,582","25,071","24,714","22,149","23,495","23,343","23,931","26,259","27,881","27,219","28,874","27,754","28,846","28,821","26,242","24,095","25,452","25,208","22,807","26,862","28,308","27,931","25,354","22,617","23,052","20,999","20,965","18,256","15,045","16,007","11,934","13,071","12,778","12,405","11,897","9,413","8,644","9,292","9,138","11,553","9,178","7,531","8,405","7,615","6,979","6,801","6,299","5,764","5,027","4,643","3,893","3,685","3,334","3,078","2,860","2,142","1,969","1,665","1,680","1,362","1,046","836","652","517","407","339","236","169","123","98","75","45","27","51"
"울산광역시  (3100000000)","1,112,407","1,112,407","10,958","12,075","10,809","10,451","11,130","11,719","11,666","13,653","15,724","15,643","16,373","17,459","17,888","18,675","18,705","18,732","18,883","18,467","16,185","15,920","14,740","14,148","14,029","14,083","14,431","16,074","17,744","18,279","18,537","18,262","16,070","17,442","16,579","17,427","19,034","19,908","20,393","21,886","21,808","22,357","23,168","22,213","21,459","22,337","21,215","19,784","22,164","23,005","22,250","20,440","18,722","17,984","16,303","16,378","13,492","12,102","12,380","9,643","9,498","8,961","8,954","8,268","6,170","5,277","5,899","6,065","7,114","5,335","4,978","4,978","4,441","4,025","3,667","3,486","3,242","2,895","2,642","2,266","2,024","1,901","1,815","1,639","1,217","1,122","946","920","811","542","491","358","255","269","175","116","89","61","47","17","18","12","16"
"경기도  (4100000000)","11,292,264","11,292,264","115,067","129,093","119,057","114,804","125,354","129,909","128,795","144,509","164,632","157,870","161,623","167,029","167,831","173,002","172,663","169,543","171,324","164,068","146,379","140,672","137,894","132,346","133,233","139,123","140,773","160,192","178,410","187,035","189,054","189,644","168,984","187,278","187,159","195,827","214,467","224,931","227,876","240,996","234,702","235,799","232,857","214,449","203,624","212,123","207,828","191,236","210,175","213,113","211,639","190,168","173,778","165,059","146,358","148,697","124,728","105,471","117,506","76,281","85,674","85,971","87,101","90,220","74,574","66,751","68,304","68,579","83,811","70,793","62,855","64,602","59,916","55,811","52,753","50,619","44,727","38,721","35,977","29,798","28,264","26,645","23,151","20,137","16,588","14,871","12,617","12,624","10,821","7,975","6,350","5,091","3,773","3,283","2,417","1,731","1,264","933","673","477","347","233","405"
"강원도  (4200000000)","1,508,575","1,508,575","11,858","13,628","12,388","12,629","13,734","14,237","15,042","16,768","19,142","18,811","19,342","20,252","20,031","20,378","20,397","20,379","20,666","19,857","18,739","18,498","18,563","18,449","18,723","19,074","18,569","20,240","21,378","20,763","20,710","20,119","18,760","19,511","19,480","20,575","22,952","24,366","23,697","25,121","24,932","25,959","26,633","24,185","24,249","23,659","23,823","23,721","27,004","28,925","28,770","27,783","26,005","26,451","23,362","23,407","20,947","17,521","21,373","12,171","13,184","13,769","14,984","15,719","13,912","13,899","14,480","14,759","17,371","15,688","15,043","15,179","14,125","12,810","12,314","11,136","9,886","8,410","7,400","6,686","6,821","6,244","5,484","4,613","3,977","3,950","3,300","3,143","2,569","1,886","1,564","1,321","1,057","941","633","434","354","247","189","111","94","63","120"
