"행정구역","2010년_계_총인구수","2010년_계_연령구간인구수","2010년_계_0세","2010년_계_1세","2010년_계_2세","2010년_계_3세","2010년_계_4세","2010년_계_5세","2010년_계_6세","2010년_계_7세","2010년_계_8세","2010년_계_9세","2010년_계_10세","2010년_계_11세","2010년_계_12세","2010년_계_13세","2010년_계_14세","2010년_계_15세","2010년_계_16세","2010년_계_17세","2010년_계_18세","2010년_계_19세","2010년_계_20세","2010년_계_21세","2010년_계_22세","2010년_계_23세","2010년_계_24세","2010년_계_25세","2010년_계_26세","2010년_계_27세","2010년_계_28세","2010년_계_29세","2010년_계_30세","2010년_계_31세","2010년_계_32세","2010년_계_33세","2010년_계_34세","2010년_계_35세","2010년_계_36세","2010년_계_37세","2010년_계_38세","2010년_계_39세","2010년_계_40세","2010년_계_41세","2010년_계_42세","2010년_계_43세","2010년_계_44세","2010년_계_45세","2010년_계_46세","2010년_계_47세","2010년_계_48세","2010년_계_49세","2010년_계_50세","2010년_계_51세","2010년_계_52세","2010년_계_53세","2010년_계_54세","2010년_계_55세","2010년_계_56세","2010년_계_57세","2010년_계_58세","2010년_계_59세","2010년_계_60세","2010년_계_61세","2010년_계_62세","2010년_계_63세","2010년_계_64세","2010년_계_65세","2010년_계_66세","2010년_계_67세","2010년_계_68세","2010년_계_69세","2010년_계_70세","2010년_계_71세","2010년_계_72세","2010년_계_73세","2010년_계_74세","2010년_계_75세","2010년_계_76세","2010년_계_77세","2010년_계_78세","2010년_계_79세","2010년_계_80세","2010년_계_81세","2010년_계_82세","2010년_계_83세","2010년_계_84세","2010년_계_85세","2010년_계_86세","2010년_계_87세","2010년_계_88세","2010년_계_89세","2010년_계_90세","2010년_계_91세","2010년_계_92세","2010년_계_93세","2010년_계_94세","2010년_계_95세","2010년_계_96세","2010년_계_97세","2010년_계_98세","2010년_계_99세","2010년_계_100세 이상"
"전국  (0000000000)","50,515,666","50,515,666","448,516","443,963","465,564","493,452","448,200","435,281","473,718","493,551","495,212","560,067","640,166","620,740","641,207","673,228","687,104","709,686","715,362","711,438","725,597","702,347","639,373","630,124","624,322","615,893","626,189","651,938","661,688","749,460","824,418","843,551","840,914","831,723","726,126","784,231","767,732","796,394","865,704","901,876","903,533","952,316","927,747","934,319","937,621","872,912","827,558","863,812","846,277","805,792","896,358","931,956","941,303","870,180","795,523","789,719","713,503","739,241","629,946","544,773","602,388","440,247","469,547","475,785","472,223","477,386","381,294","341,639","366,153","370,144","458,664","378,494","336,468","348,343","315,287","293,229","276,153","264,717","236,147","202,887","188,498","156,796","146,053","134,398","117,531","102,287","80,310","70,786","57,821","58,638","48,613","35,331","27,433","20,957","15,746","13,431","9,877","6,926","5,519","4,175","3,310","2,461","11,130"
"서울특별시  (1100000000)","10,312,545","10,312,545","86,162","83,083","86,002","89,017","81,027","77,342","85,570","87,437","87,174","96,707","111,856","107,677","113,036","119,350","123,140","129,667","133,310","133,731","138,596","137,626","127,580","127,553","132,445","134,662","143,207","155,615","162,153","187,470","204,552","208,447","205,498","201,048","168,529","179,841","173,622","174,704","185,526","189,555","191,480","199,644","191,435","188,326","183,609","171,715","158,833","169,078","168,545","161,748","174,713","181,546","188,203","177,826","166,465","166,800","152,800","161,291","137,367","121,479","132,317","93,141","103,188","104,593","102,861","105,654","85,601","75,871","77,068","76,096","91,001","73,231","62,983","62,636","55,120","50,385","46,040","43,633","37,372","31,915","29,380","24,635","23,185","21,739","19,321","16,739","13,456","11,589","9,849","9,984","8,306","6,281","5,117","3,877","2,949","2,549","2,000","1,435","1,201","922","766","616","3,523"
"부산광역시  (2600000000)","3,567,910","3,567,910","25,796","24,593","26,031","27,466","24,784","24,410","26,945","28,700","28,759","33,126","38,061","37,466","39,680","42,011","45,028","46,755","48,368","49,121","50,934","49,682","45,376","46,986","46,549","45,917","46,418","47,970","48,736","53,759","58,384","60,417","59,490","57,054","48,354","50,375","47,426","50,773","54,608","56,911","57,379","60,094","59,765","60,725","61,916","59,450","55,799","58,537","57,931","57,847","66,539","70,999","73,516","68,590","64,861","66,246","60,997","65,415","54,952","48,582","52,532","42,183","41,601","42,525","41,994","40,193","31,739","27,228","31,096","31,119","35,083","29,617","26,618","26,043","22,370","20,898","19,239","18,038","15,972","13,385","12,688","10,708","9,238","8,878","7,902","6,862","5,171","4,600","3,581","3,467","2,787","2,055","1,557","1,093","820","719","530","350","347","271","218","193","1,043"
"대구광역시  (2700000000)","2,511,676","2,511,676","19,566","19,505","20,742","22,423","20,347","20,625","22,475","24,407","24,165","28,172","32,517","31,963","32,962","35,797","36,846","38,643","38,407","38,035","38,796","37,535","34,203","34,485","32,431","31,749","31,608","31,932","31,390","35,448","38,665","39,445","38,694","38,516","32,577","36,281","35,950","38,262","40,962","43,210","44,540","46,488","46,043","47,092","48,680","46,502","42,783","45,109","44,240","42,135","47,612","49,453","47,148","46,798","38,797","40,448","37,147","37,462","31,334","29,495","31,931","24,476","24,193","25,102","24,972","23,196","16,680","15,214","18,042","18,890","21,834","17,998","15,922","16,652","14,342","13,538","12,576","12,036","10,968","9,049","8,720","7,115","6,146","5,367","5,081","4,432","3,296","2,952","2,302","2,088","1,831","1,368","1,016","763","562","489","333","249","211","154","117","77","354"
"인천광역시  (2800000000)","2,758,296","2,758,296","24,648","24,791","26,036","27,694","25,004","24,156","25,989","27,467","27,096","30,860","35,013","34,312","35,331","37,927","38,946","40,755","41,455","42,225","43,159","41,814","37,950","37,028","36,195","35,364","35,419","36,997","36,965","41,532","45,591","47,042","46,319","46,103","40,536","43,296","41,989","44,382","47,956","50,430","50,890","52,954","52,144","52,878","53,880","50,215","48,346","51,808","51,581","48,632","54,363","54,897","55,230","50,044","46,157","44,005","38,422","39,283","32,725","27,490","30,274","19,745","22,318","22,828","22,208","22,808","18,594","15,957","16,298","16,584","19,814","16,233","14,006","14,594","13,651","12,263","11,672","11,098","9,680","8,502","8,011","6,602","6,389","5,890","5,110","4,454","3,478","3,152","2,789","2,595","2,118","1,587","1,249","943","678","624","414","294","232","175","136","117","416"
"광주광역시  (2900000000)","1,454,636","1,454,636","13,506","13,663","14,478","15,731","14,401","14,043","15,646","16,904","16,649","19,320","22,301","21,637","22,692","23,901","23,798","24,772","24,196","23,803","24,003","22,231","20,016","19,441","18,839","18,490","18,594","19,201","19,727","22,235","24,263","24,091","23,720","24,271","21,050","23,043","22,936","22,940","25,853","26,196","26,278","27,516","27,290","25,934","27,529","25,080","24,516","24,535","23,138","23,291","23,270","23,833","25,671","23,177","20,618","20,323","17,131","18,085","15,139","12,913","14,598","11,843","12,386","12,859","11,941","12,665","10,039","8,972","9,037","8,423","11,760","9,326","7,980","7,971","7,283","6,827","5,958","6,039","5,498","4,543","4,123","3,526","3,587","3,324","2,698","2,422","1,878","1,639","1,235","1,494","1,146","855","659","514","409","296","236","168","151","78","77","64","261"
"대전광역시  (3000000000)","1,503,664","1,503,664","13,694","13,995","14,778","15,905","14,619","14,189","15,782","16,367","16,191","18,202","20,629","20,166","21,023","22,165","22,684","23,420","23,419","22,847","23,292","22,657","20,529","20,146","20,251","19,755","20,102","20,600","20,563","22,785","24,921","25,332","25,099","24,614","22,289","23,828","23,606","24,328","26,716","28,075","27,321","29,056","27,932","29,202","29,180","26,457","24,337","25,578","25,443","22,850","26,957","28,400","27,916","25,363","22,619","23,073","21,006","20,969","18,219","14,958","15,961","11,867","13,046","12,699","12,356","11,747","9,344","8,546","9,120","9,033","11,330","8,951","7,375","8,142","7,449","6,736","6,521","6,035","5,447","4,807","4,374","3,632","3,371","3,035","2,771","2,533","1,856","1,674","1,420","1,410","1,136","819","600","479","392","317","238","164","136","83","71","65","177"
"울산광역시  (3100000000)","1,126,298","1,126,298","10,983","10,846","11,272","11,992","10,619","10,378","10,979","11,671","11,536","13,560","15,616","15,551","16,251","17,344","17,736","18,542","18,531","18,572","18,692","18,086","15,701","15,492","14,250","13,500","13,439","13,620","14,119","15,957","17,899","18,455","18,805","18,534","16,238","17,628","16,735","17,518","19,209","20,054","20,498","21,903","21,797","22,480","23,227","22,145","21,481","22,311","21,272","19,830","22,241","23,042","22,420","20,561","18,701","18,022","16,343","16,380","13,544","12,118","12,300","9,591","9,426","8,845","8,823","8,173","6,114","5,201","5,810","5,950","6,962","5,204","4,828","4,833","4,300","3,846","3,507","3,300","3,082","2,728","2,476","2,078","1,866","1,722","1,605","1,421","1,048","975","789","750","650","436","355","252","177","188","125","75","66","50","40","10","95"
"경기도  (4100000000)","11,786,622","11,786,622","117,742","118,560","125,727","133,491","122,182","117,294","127,013","131,537","130,608","145,743","165,977","158,985","162,132","167,689","168,603","173,328","173,274","170,771","173,254","167,013","149,160","144,152","142,787","138,788","140,215","146,568","148,862","169,735","189,266","198,440","200,346","201,014","178,698","197,091","195,835","204,054","222,993","232,599","234,977","247,432","240,539","240,354","237,458","218,134","207,235","215,848","211,556","195,265","214,980","217,513","216,528","194,636","178,297","169,444","150,286","152,744","128,225","108,468","120,751","78,414","88,099","88,339","89,160","92,159","75,799","67,702","69,301","69,066","84,002","70,776","62,625","63,951","58,978","54,706","51,362","49,066","43,118","37,043","34,095","28,219","26,397","24,718","21,171","18,348","14,788","12,968","10,929","10,806","9,105","6,654","5,112","4,031","2,947","2,520","1,797","1,328","974","785","596","483","1,989"
"강원도  (4200000000)","1,529,818","1,529,818","12,058","12,065","12,511","13,813","12,589","12,815","13,864","14,384","15,189","16,834","19,236","18,800","19,272","20,131","19,976","20,280","20,428","20,348","20,699","20,200","18,913","18,470","18,375","18,046","18,043","17,782","16,983","18,895","20,487","20,256","20,484","20,155","18,927","19,860","19,856","20,848","23,367","24,845","24,413","25,688","25,432","26,446","27,033","24,591","24,750","24,114","24,321","24,208","27,558","29,442","29,441","28,358","26,548","26,966","23,834","23,917","21,372","17,948","21,859","12,407","13,451","13,991","15,242","15,865","14,034","13,929","14,456","14,713","17,305","15,512","14,771","14,770","13,722","12,360","11,751","10,579","9,369","7,986","6,992","6,222","6,282","5,633","4,924","4,068","3,458","3,343","2,752","2,574","2,040","1,521","1,198","996","773","696","437","308","237","182","145","93","408"
