"행정구역","2012년_계_총인구수","2012년_계_연령구간인구수","2012년_계_0세","2012년_계_1세","2012년_계_2세","2012년_계_3세","2012년_계_4세","2012년_계_5세","2012년_계_6세","2012년_계_7세","2012년_계_8세","2012년_계_9세","2012년_계_10세","2012년_계_11세","2012년_계_12세","2012년_계_13세","2012년_계_14세","2012년_계_15세","2012년_계_16세","2012년_계_17세","2012년_계_18세","2012년_계_19세","2012년_계_20세","2012년_계_21세","2012년_계_22세","2012년_계_23세","2012년_계_24세","2012년_계_25세","2012년_계_26세","2012년_계_27세","2012년_계_28세","2012년_계_29세","2012년_계_30세","2012년_계_31세","2012년_계_32세","2012년_계_33세","2012년_계_34세","2012년_계_35세","2012년_계_36세","2012년_계_37세","2012년_계_38세","2012년_계_39세","2012년_계_40세","2012년_계_41세","2012년_계_42세","2012년_계_43세","2012년_계_44세","2012년_계_45세","2012년_계_46세","2012년_계_47세","2012년_계_48세","2012년_계_49세","2012년_계_50세","2012년_계_51세","2012년_계_52세","2012년_계_53세","2012년_계_54세","2012년_계_55세","2012년_계_56세","2012년_계_57세","2012년_계_58세","2012년_계_59세","2012년_계_60세","2012년_계_61세","2012년_계_62세","2012년_계_63세","2012년_계_64세","2012년_계_65세","2012년_계_66세","2012년_계_67세","2012년_계_68세","2012년_계_69세","2012년_계_70세","2012년_계_71세","2012년_계_72세","2012년_계_73세","2012년_계_74세","2012년_계_75세","2012년_계_76세","2012년_계_77세","2012년_계_78세","2012년_계_79세","2012년_계_80세","2012년_계_81세","2012년_계_82세","2012년_계_83세","2012년_계_84세","2012년_계_85세","2012년_계_86세","2012년_계_87세","2012년_계_88세","2012년_계_89세","2012년_계_90세","2012년_계_91세","2012년_계_92세","2012년_계_93세","2012년_계_94세","2012년_계_95세","2012년_계_96세","2012년_계_97세","2012년_계_98세","2012년_계_99세","2012년_계_100세 이상"
"전국  (0000000000)","50,948,272","50,948,272","464,374","472,275","470,956","446,256","467,432","494,810","449,057","435,863","474,009","493,679","495,216","559,908","639,852","620,407","640,593","672,396","686,179","708,614","713,978","710,136","724,591","701,604","638,824","629,880","624,641","616,444","626,913","652,491","662,132","749,428","824,093","842,882","839,992","830,608","725,023","782,721","766,119","794,544","863,524","899,437","900,882","949,293","924,633","930,966","933,973","869,201","823,917","859,816","841,948","801,529","891,073","925,969","934,977","863,920","789,529","783,222","707,367","732,597","623,936","538,980","595,719","435,022","463,534","469,007","465,321","469,855","374,910","335,357","358,373","361,438","446,100","366,899","324,843","334,845","301,656","279,067","261,025","248,595","219,926","187,387","172,233","141,498","130,156","118,162","101,583","86,810","66,364","57,325","45,613","45,347","36,487","25,746","19,357","14,551","10,445","8,688","6,184","4,423","3,490","2,665","12,657"
"서울특별시  (1100000000)","10,195,318","10,195,318","87,070","85,490","83,968","78,338","82,240","85,878","78,710","75,315","83,258","85,720","85,656","95,388","111,130","106,908","111,864","118,800","122,232","128,406","132,364","133,761","139,523","139,129","130,993","133,871","140,471","142,752","150,889","161,430","164,531","185,355","198,489","200,068","195,436","190,369","159,370","169,868","164,050","165,628","177,120","181,844","184,378","193,150","185,898","183,461","179,153","167,825","154,931","164,763","164,575","157,645","170,129","176,368","183,025","172,136","161,153","161,263","147,620","155,635","132,296","116,711","127,044","89,094","98,918","100,125","98,757","101,311","82,019","72,512","73,513","72,439","86,430","69,443","59,620","59,091","51,844","47,015","42,771","40,400","34,314","29,111","26,676","22,069","20,343","19,122","16,611","14,093","11,176","9,373","7,824","7,849","6,343","4,635","3,623","2,715","1,982","1,710","1,305","967","791","617","3,926"
"부산광역시  (2600000000)","3,538,484","3,538,484","27,241","27,423","27,079","24,766","26,144","27,666","24,950","24,533","26,967","28,665","28,786","33,158","38,035","37,605","39,722","41,865","44,941","46,504","47,985","48,721","50,802","49,761","45,461","46,663","45,106","44,242","43,852","44,732","45,583","50,572","55,133","57,506","57,177","55,333","47,126","49,543","46,825","50,165","54,053","56,497","56,908","59,700","59,376","60,243","61,173","58,812","55,208","57,874","57,176","57,099","65,612","70,012","72,248","67,447","63,688","64,916","59,769","63,957","53,738","47,534","51,285","41,092","40,445","41,256","40,829","39,073","30,895","26,495","29,992","29,988","33,809","28,386","25,435","24,722","21,193","19,684","17,964","16,660","14,686","12,278","11,347","9,608","8,131","7,597","6,782","5,739","4,182","3,645","2,721","2,630","2,078","1,443","1,070","748","556","458","331","245","247","198","1,183"
"대구광역시  (2700000000)","2,505,644","2,505,644","20,623","20,968","20,839","19,842","21,088","22,696","20,750","20,892","22,572","24,573","24,259","28,318","32,856","32,147","33,003","35,744","36,516","38,228","37,961","37,336","38,188","36,919","33,382","33,246","30,999","30,125","29,809","29,864","29,558","33,883","37,118","38,333","37,977","37,939","32,507","36,004","35,864","38,320","41,031","43,201","44,490","46,451","45,873","46,886","48,363","46,083","42,311","44,590","43,621","41,508","46,859","48,608","46,350","45,973","38,045","39,697","36,393","36,708","30,653","28,834","31,312","23,915","23,659","24,476","24,356","22,700","16,302","14,828","17,588","18,407","21,151","17,418","15,410","15,954","13,748","12,857","11,845","11,275","10,187","8,386","7,951","6,357","5,351","4,690","4,370","3,738","2,678","2,368","1,829","1,599","1,331","950","723","503","361","304","207","146","120","103","417"
"인천광역시  (2800000000)","2,843,981","2,843,981","26,925","27,667","27,617","26,207","27,156","28,901","25,638","24,752","26,461","28,163","27,605","31,301","35,394","34,721","35,748","38,235","39,166","41,006","41,662","42,408","43,411","42,457","38,690","37,654","36,987","35,982","36,270","37,759","37,827","43,141","47,210","49,000","48,520","48,301","42,232","45,261","43,580","45,954","49,406","51,627","51,978","53,935","52,916","53,531","54,333","50,377","48,607","52,146","51,604","48,859","54,445","55,141","55,282","50,190","46,194","44,053","38,553","39,281","32,751","27,566","30,225","19,750","22,261","22,796","22,146","22,781","18,553","15,854","16,213","16,454","19,641","15,925","13,634","14,222","13,215","11,830","11,222","10,683","9,243","7,996","7,421","6,063","5,853","5,348","4,552","3,865","2,954","2,645","2,251","2,074","1,651","1,215","886","677","468","434","259","194","145","126","512"
"광주광역시  (2900000000)","1,469,216","1,469,216","13,917","14,273","14,601","14,106","14,837","16,001","14,814","14,284","15,733","17,078","16,900","19,476","22,583","21,822","22,713","23,880","23,653","24,519","23,971","23,362","23,596","22,012","19,598","18,694","18,166","17,888","18,115","18,587","19,106","21,820","24,039","23,917","23,773","24,401","21,176","23,239","23,201","23,105","26,064","26,393","26,542","27,640","27,289","25,910","27,421","24,957","24,348","24,401","22,939","23,033","23,042","23,546","25,348","22,852","20,336","20,086","16,960","17,929","14,834","12,779","14,408","11,689","12,237","12,772","11,773","12,492","9,891","8,852","8,890","8,272","11,465","9,065","7,798","7,682","7,011","6,533","5,669","5,710","5,161","4,247","3,784","3,237","3,186","2,926","2,327","2,045","1,554","1,369","982","1,150","848","639","465","358","281","176","148","110","93","49","267"
"대전광역시  (3000000000)","1,524,583","1,524,583","14,739","15,121","14,893","14,423","15,238","16,206","14,949","14,466","15,815","16,414","16,295","18,318","20,764","20,347","21,099","22,161","22,633","23,303","23,241","22,667","23,251","22,680","20,671","20,179","20,060","19,511","19,688","20,227","20,375","22,803","24,920","25,400","25,269","25,082","22,534","24,253","23,990","24,463","26,622","28,178","27,407","29,120","28,079","29,145","29,168","26,417","24,234","25,380","25,214","22,692","26,725","28,020","27,596","25,054","22,260","22,815","20,689","20,683","18,041","14,655","15,747","11,741","12,850","12,458","12,166","11,512","9,187","8,414","8,943","8,793","10,965","8,701","7,158","7,881","7,163","6,478","6,229","5,732","5,153","4,468","4,048","3,358","3,067","2,700","2,487","2,159","1,501","1,330","1,139","1,118","857","572","433","333","259","213","164","107","87","45","225"
"울산광역시  (3100000000)","1,147,256","1,147,256","11,798","11,753","11,693","11,102","11,417","12,063","10,647","10,407","11,022","11,745","11,600","13,594","15,648","15,569","16,208","17,391","17,689","18,455","18,383","17,973","17,950","17,547","15,138","14,877","13,863","13,373","13,659","14,074","14,650","16,651","18,804","19,378","19,694","19,174","16,766","17,974","17,067","17,753","19,356","20,263","20,703","21,994","21,977","22,484","23,257","22,116","21,425","22,264","21,135","19,746","22,175","22,949","22,244","20,512","18,612","17,884","16,198","16,262","13,353","11,954","12,042","9,408","9,268","8,713","8,677","7,984","5,959","5,074","5,715","5,800","6,740","5,051","4,665","4,631","4,092","3,670","3,347","3,127","2,916","2,533","2,245","1,873","1,673","1,525","1,385","1,182","839","792","631","581","464","312","243","176","113","105","72","46","45","28","102"
"세종특별자치시  (3600000000)","113,117","113,117","1,143","1,183","1,272","1,191","1,290","1,281","1,182","1,106","1,196","1,188","1,173","1,292","1,370","1,317","1,319","1,247","1,198","1,265","1,291","1,255","1,358","1,368","1,283","1,209","1,240","1,124","1,278","1,211","1,333","1,423","1,732","1,768","1,822","1,854","1,589","1,814","1,779","1,770","2,018","2,166","1,969","2,106","1,860","1,884","1,899","1,694","1,564","1,654","1,667","1,496","1,797","1,907","1,977","1,753","1,612","1,608","1,522","1,689","1,488","1,167","1,313","1,001","1,155","1,143","1,080","1,053","859","807","908","929","1,254","1,012","919","977","902","818","834","797","760","641","579","495","442","404","343","273","235","196","156","147","139","98","38","36","41","17","30","15","12","9","39"
"경기도  (4100000000)","12,093,299","12,093,299","120,951","125,978","127,137","121,401","127,876","134,762","122,929","117,857","127,884","131,800","130,740","146,002","165,698","158,736","162,058","167,490","168,578","173,572","174,044","172,232","174,301","168,075","151,467","147,907","147,066","143,629","145,479","152,829","155,002","176,345","197,065","206,178","207,372","207,514","183,668","201,602","199,935","207,485","225,475","234,777","236,341","248,452","240,967","240,235","237,196","217,693","206,916","215,562","211,036","195,072","214,622","217,109","216,253","194,601","178,365","169,563","150,394","153,006","128,661","108,841","121,168","78,883","88,411","88,711","89,103","91,984","75,665","67,452","68,838","68,464","82,794","69,566","61,131","62,304","57,132","52,748","49,073","46,567","40,617","34,667","31,569","25,846","24,068","21,994","18,670","15,926","12,531","10,712","8,728","8,561","6,889","4,986","3,728","2,860","2,017","1,707","1,170","851","636","492","2,299"
