"행정구역","2014년_계_총인구수","2014년_계_연령구간인구수","2014년_계_0세","2014년_계_1세","2014년_계_2세","2014년_계_3세","2014년_계_4세","2014년_계_5세","2014년_계_6세","2014년_계_7세","2014년_계_8세","2014년_계_9세","2014년_계_10세","2014년_계_11세","2014년_계_12세","2014년_계_13세","2014년_계_14세","2014년_계_15세","2014년_계_16세","2014년_계_17세","2014년_계_18세","2014년_계_19세","2014년_계_20세","2014년_계_21세","2014년_계_22세","2014년_계_23세","2014년_계_24세","2014년_계_25세","2014년_계_26세","2014년_계_27세","2014년_계_28세","2014년_계_29세","2014년_계_30세","2014년_계_31세","2014년_계_32세","2014년_계_33세","2014년_계_34세","2014년_계_35세","2014년_계_36세","2014년_계_37세","2014년_계_38세","2014년_계_39세","2014년_계_40세","2014년_계_41세","2014년_계_42세","2014년_계_43세","2014년_계_44세","2014년_계_45세","2014년_계_46세","2014년_계_47세","2014년_계_48세","2014년_계_49세","2014년_계_50세","2014년_계_51세","2014년_계_52세","2014년_계_53세","2014년_계_54세","2014년_계_55세","2014년_계_56세","2014년_계_57세","2014년_계_58세","2014년_계_59세","2014년_계_60세","2014년_계_61세","2014년_계_62세","2014년_계_63세","2014년_계_64세","2014년_계_65세","2014년_계_66세","2014년_계_67세","2014년_계_68세","2014년_계_69세","2014년_계_70세","2014년_계_71세","2014년_계_72세","2014년_계_73세","2014년_계_74세","2014년_계_75세","2014년_계_76세","2014년_계_77세","2014년_계_78세","2014년_계_79세","2014년_계_80세","2014년_계_81세","2014년_계_82세","2014년_계_83세","2014년_계_84세","2014년_계_85세","2014년_계_86세","2014년_계_87세","2014년_계_88세","2014년_계_89세","2014년_계_90세","2014년_계_91세","2014년_계_92세","2014년_계_93세","2014년_계_94세","2014년_계_95세","2014년_계_96세","2014년_계_97세","2014년_계_98세","2014년_계_99세","2014년_계_100세 이상"
"전국  (0000000000)","51,327,916","51,327,916","419,833","438,778","488,030","474,932","472,731","447,531","468,321","495,536","449,510","436,172","474,187","493,804","495,268","559,938","639,828","620,320","640,283","671,839","685,501","707,936","713,451","709,683","724,403","701,661","639,299","630,475","625,298","617,178","627,641","652,955","662,331","749,426","823,867","842,467","839,360","829,954","724,311","781,739","765,094","793,298","862,022","897,682","898,901","947,121","922,307","928,289","931,025","866,083","820,657","856,129","837,923","797,573","885,997","920,265","928,833","857,783","783,692","776,856","701,219","726,020","617,706","533,291","588,950","429,543","457,273","462,279","458,484","462,297","367,970","328,315","350,145","351,790","432,445","354,378","312,164","319,873","286,684","263,466","244,739","230,920","202,109","170,529","154,892","125,609","113,597","101,454","85,776","71,941","53,239","44,997","34,671","34,018","26,487","18,164","13,352","9,687","6,751","5,503","3,975","2,901","15,006"
"서울특별시  (1100000000)","10,103,233","10,103,233","78,101","78,973","85,889","80,892","80,514","75,678","79,615","83,620","76,662","74,048","82,076","84,629","85,274","94,743","110,145","106,792","111,418","117,950","121,655","129,831","134,410","135,441","144,014","147,248","140,066","143,388","149,081","149,143","154,371","160,789","160,949","178,753","189,600","189,980","185,009","180,177","151,163","161,742","157,258","159,035","171,002","176,138","179,369","188,637","182,233","179,622","175,499","164,275","151,370","161,324","161,040","153,999","165,944","171,945","178,049","167,356","156,193","156,295","142,734","150,605","127,542","112,417","122,221","85,679","95,094","96,354","95,181","97,469","78,719","69,544","70,375","69,173","82,269","65,960","56,411","55,563","48,596","43,781","39,642","37,078","31,228","26,357","23,831","19,570","17,768","16,395","13,972","11,857","8,967","7,394","5,977","5,950","4,606","3,327","2,602","1,852","1,329","1,157","928","676","4,671"
"부산광역시  (2600000000)","3,519,401","3,519,401","25,165","25,811","28,779","27,781","27,278","25,002","26,289","27,907","25,090","24,665","27,073","28,801","28,975","33,320","38,182","37,726","39,761","41,831","44,739","46,361","48,311","48,923","51,306","49,791","44,665","45,056","42,994","41,749","41,561","42,541","43,447","48,833","53,481","56,073","56,048","54,505","46,630","49,088","46,723","49,988","53,833","56,278","56,753","59,612","59,078","59,856","60,787","58,391","54,700","57,199","56,351","56,325","64,741","68,809","70,999","66,161","62,464","63,575","58,485","62,487","52,445","46,357","49,956","39,998","39,396","40,213","39,742","38,077","30,015","25,606","28,979","28,917","32,500","27,203","24,205","23,407","19,978","18,438","16,647","15,300","13,308","11,006","10,079","8,373","7,001","6,450","5,660","4,732","3,298","2,821","2,081","1,930","1,483","996","718","510","368","293","217","158","1,407"
"대구광역시  (2700000000)","2,493,264","2,493,264","18,668","19,510","21,782","21,270","21,171","20,008","21,323","23,012","20,825","20,955","22,720","24,708","24,396","28,473","32,838","32,082","32,828","35,423","36,207","37,421","37,206","36,814","37,264","35,582","31,755","31,427","28,864","28,274","28,119","28,631","28,544","32,810","36,348","37,755","37,610","37,726","32,437","35,979","35,780","38,248","40,938","43,186","44,400","46,207","45,636","46,529","47,887","45,472","41,873","43,960","43,067","40,788","45,940","47,666","45,464","44,957","37,340","38,887","35,590","35,982","30,005","28,145","30,615","23,350","23,050","23,962","23,808","22,150","15,886","14,437","17,074","17,776","20,380","16,757","14,778","15,167","13,090","12,083","11,037","10,426","9,300","7,583","7,063","5,560","4,645","3,943","3,620","2,969","2,082","1,840","1,344","1,163","967","662","491","336","236","194","130","97","501"
"인천광역시  (2800000000)","2,902,608","2,902,608","25,087","26,074","29,028","28,340","27,897","26,469","27,283","29,062","25,867","25,049","26,753","28,373","27,820","31,553","35,743","34,914","36,010","38,399","39,365","40,938","41,815","42,878","43,918","42,975","39,150","38,338","37,499","36,561","36,898","38,359","38,794","44,192","48,637","50,433","49,846","49,514","43,131","46,042","44,141","46,530","49,724","52,160","52,329","54,219","53,225","53,768","54,422","50,518","48,602","52,103","51,708","48,813","54,240","54,908","55,096","49,951","46,061","44,000","38,343","39,180","32,606","27,381","30,005","19,530","22,090","22,708","22,025","22,636","18,315","15,693","15,990","16,116","19,111","15,574","13,307","13,813","12,659","11,275","10,671","10,038","8,662","7,457","6,771","5,520","5,154","4,671","3,896","3,256","2,441","2,123","1,727","1,615","1,168","895","653","473","309","289","181","141","618"
"광주광역시  (2900000000)","1,475,884","1,475,884","12,306","13,024","15,038","14,698","14,994","14,420","15,185","16,330","14,777","14,384","15,838","17,162","16,994","19,512","22,593","21,808","22,500","23,696","23,564","24,004","23,569","23,130","23,048","21,165","18,723","17,893","17,349","17,080","17,367","18,216","18,914","21,702","23,935","23,837","23,865","24,380","21,311","23,453","23,232","23,191","26,191","26,416","26,515","27,555","27,267","25,839","27,212","24,804","24,157","24,134","22,622","22,742","22,707","23,228","24,968","22,485","20,035","19,706","16,677","17,666","14,641","12,601","14,187","11,509","12,011","12,542","11,563","12,194","9,753","8,643","8,662","8,020","11,101","8,770","7,476","7,363","6,707","6,172","5,353","5,318","4,744","3,836","3,439","2,892","2,803","2,532","1,960","1,699","1,246","1,081","746","839","622","450","329","220","180","110","97","60","300"
"대전광역시  (3000000000)","1,531,809","1,531,809","13,389","14,171","15,557","15,288","15,070","14,404","15,320","16,279","14,809","14,375","15,807","16,323","16,261","18,271","20,729","20,212","21,004","22,073","22,470","23,046","23,083","22,640","23,353","22,558","20,439","19,842","19,627","19,133","19,345","20,011","20,114","22,699","24,865","25,417","25,245","24,871","22,394","23,991","23,799","24,301","26,316","28,019","27,311","28,984","27,986","28,896","28,982","26,175","23,969","24,962","24,821","22,388","26,231","27,627","27,118","24,654","21,826","22,305","20,342","20,336","17,719","14,385","15,457","11,485","12,601","12,215","11,929","11,292","9,032","8,263","8,728","8,555","10,662","8,421","6,894","7,538","6,819","6,134","5,812","5,363","4,778","4,117","3,698","3,002","2,666","2,319","2,079","1,814","1,173","1,067","856","855","589","407","305","212","170","139","100","66","260"
"울산광역시  (3100000000)","1,166,377","1,166,377","11,213","11,436","12,473","11,977","11,806","11,219","11,526","12,092","10,711","10,407","10,999","11,728","11,608","13,602","15,648","15,568","16,188","17,281","17,574","17,864","17,802","17,686","17,413","16,859","14,844","14,822","14,130","13,808","14,134","14,639","15,207","17,324","19,513","20,031","20,307","19,637","17,076","18,263","17,322","17,984","19,558","20,412","20,752","22,050","21,936","22,519","23,216","22,117","21,441","22,237","21,071","19,707","22,033","22,860","22,074","20,302","18,466","17,686","15,984","16,027","13,163","11,698","11,864","9,174","9,059","8,505","8,481","7,808","5,819","4,971","5,575","5,629","6,504","4,860","4,480","4,424","3,857","3,456","3,119","2,881","2,678","2,320","2,039","1,653","1,421","1,338","1,158","960","678","602","479","415","331","215","168","111","65","54","38","30","128"
"세종특별자치시  (3600000000)","156,125","156,125","1,672","1,857","2,096","2,084","2,122","1,952","2,151","2,022","1,846","1,722","1,826","1,799","1,689","1,764","1,852","1,733","1,759","1,542","1,507","1,684","1,735","1,670","1,867","1,855","1,650","1,633","1,680","1,709","1,770","1,963","2,099","2,328","2,864","2,937","2,999","3,129","2,656","2,927","2,857","2,852","3,108","3,177","2,888","3,117","2,753","2,680","2,578","2,235","2,053","2,168","2,107","1,912","2,304","2,344","2,397","2,121","1,934","1,944","1,794","1,924","1,657","1,358","1,502","1,121","1,313","1,282","1,185","1,146","933","872","1,004","963","1,308","1,072","947","1,008","936","835","830","785","719","637","551","464","415","366","326","245","197","161","128","117","110","81","29","25","29","13","18","6","34"
"경기도  (4100000000)","12,357,830","12,357,830","109,299","116,253","131,017","128,969","129,204","123,061","129,041","135,512","123,654","117,963","127,965","131,947","130,522","146,106","165,773","158,644","161,828","167,703","168,868","174,525","174,462","172,839","176,028","170,695","155,028","151,635","151,650","148,179","150,074","157,840","160,257","183,063","203,831","212,919","213,906","213,008","187,511","205,132","202,472","209,452","227,040","235,770","236,956","248,455","240,353","239,945","236,644","217,102","206,313","214,789","210,228","194,671","214,056","216,388","215,523","194,174","178,245","169,287","150,456","153,005","128,810","109,091","121,168","78,704","88,377","88,398","88,842","91,626","75,090","66,852","68,121","67,647","81,217","67,853","59,332","60,080","54,757","50,328","46,626","43,739","37,796","31,902","28,777","23,253","21,308","19,336","16,103","13,427","10,324","8,619","6,797","6,514","5,184","3,595","2,583","1,928","1,304","1,095","763","570","2,759"
