"행정구역","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_0세","2015년_계_1세","2015년_계_2세","2015년_계_3세","2015년_계_4세","2015년_계_5세","2015년_계_6세","2015년_계_7세","2015년_계_8세","2015년_계_9세","2015년_계_10세","2015년_계_11세","2015년_계_12세","2015년_계_13세","2015년_계_14세","2015년_계_15세","2015년_계_16세","2015년_계_17세","2015년_계_18세","2015년_계_19세","2015년_계_20세","2015년_계_21세","2015년_계_22세","2015년_계_23세","2015년_계_24세","2015년_계_25세","2015년_계_26세","2015년_계_27세","2015년_계_28세","2015년_계_29세","2015년_계_30세","2015년_계_31세","2015년_계_32세","2015년_계_33세","2015년_계_34세","2015년_계_35세","2015년_계_36세","2015년_계_37세","2015년_계_38세","2015년_계_39세","2015년_계_40세","2015년_계_41세","2015년_계_42세","2015년_계_43세","2015년_계_44세","2015년_계_45세","2015년_계_46세","2015년_계_47세","2015년_계_48세","2015년_계_49세","2015년_계_50세","2015년_계_51세","2015년_계_52세","2015년_계_53세","2015년_계_54세","2015년_계_55세","2015년_계_56세","2015년_계_57세","2015년_계_58세","2015년_계_59세","2015년_계_60세","2015년_계_61세","2015년_계_62세","2015년_계_63세","2015년_계_64세","2015년_계_65세","2015년_계_66세","2015년_계_67세","2015년_계_68세","2015년_계_69세","2015년_계_70세","2015년_계_71세","2015년_계_72세","2015년_계_73세","2015년_계_74세","2015년_계_75세","2015년_계_76세","2015년_계_77세","2015년_계_78세","2015년_계_79세","2015년_계_80세","2015년_계_81세","2015년_계_82세","2015년_계_83세","2015년_계_84세","2015년_계_85세","2015년_계_86세","2015년_계_87세","2015년_계_88세","2015년_계_89세","2015년_계_90세","2015년_계_91세","2015년_계_92세","2015년_계_93세","2015년_계_94세","2015년_계_95세","2015년_계_96세","2015년_계_97세","2015년_계_98세","2015년_계_99세","2015년_계_100세 이상"
"전국  (0000000000)","51,529,338","51,529,338","424,563","437,994","439,989","488,716","475,519","473,120","447,817","468,546","495,761","449,663","436,313","474,284","493,916","495,316","559,996","639,869","620,297","640,126","671,503","685,469","707,868","713,497","709,734","724,581","701,903","639,594","630,813","625,667","617,519","627,872","653,196","662,511","749,469","823,872","842,339","839,281","829,802","724,134","781,486","764,876","792,924","861,482","897,141","898,285","946,354","921,494","927,372","929,758","864,888","819,295","854,571","836,443","796,081","884,105","917,941","926,350","855,335","781,202","774,145","698,618","723,306","614,952","530,689","585,806","426,909","454,406","459,232","455,104","458,390","364,485","324,762","345,780","346,706","424,994","347,652","305,254","312,030","278,572","254,947","235,740","221,366","192,707","161,520","145,662","117,252","105,050","92,884","77,619","64,233","46,917","39,061","29,503","28,787","22,015","14,848","10,820","7,763","5,344","4,318","3,169","16,209"
"서울특별시  (1100000000)","10,022,181","10,022,181","77,668","78,187","76,152","83,046","78,850","78,745","74,176","78,271","82,452","75,752","73,327","81,332","84,334","84,511","94,302","110,050","106,085","110,951","117,610","123,288","130,443","134,941","138,448","148,442","151,509","144,425","146,554","150,747","149,027","152,685","157,894","157,246","173,624","183,750","183,947","179,349","174,632","146,834","157,347","153,630","155,619","167,735","173,327","176,759","186,030","179,882","177,490","173,191","162,165","149,411","159,261","158,739","151,820","163,569","169,115","175,117","164,327","153,273","153,251","139,861","147,472","124,636","110,051","119,334","83,747","93,155","94,226","93,095","95,131","76,905","67,767","68,503","67,211","79,812","64,075","54,571","53,650","46,780","42,051","37,947","35,347","29,561","24,918","22,301","18,218","16,418","14,925","12,640","10,555","7,918","6,413","5,107","5,055","3,825","2,812","2,154","1,540","1,090","950","773","5,037"
"부산광역시  (2600000000)","3,513,777","3,513,777","25,731","26,379","26,059","28,866","27,963","27,481","25,214","26,404","28,002","25,128","24,795","27,192","28,868","29,064","33,342","38,182","37,673","39,750","41,833","44,804","46,711","48,556","49,340","51,083","49,353","43,769","43,947","42,123","40,819","40,813","41,888","42,702","48,317","53,043","55,714","55,723","54,368","46,548","48,929","46,726","49,952","53,731","56,283","56,755","59,450","59,008","59,722","60,682","58,279","54,356","56,888","56,064","56,000","64,181","68,206","70,341","65,506","61,791","62,917","57,809","61,798","51,783","45,737","49,262","39,444","38,912","39,619","39,210","37,541","29,593","25,185","28,487","28,365","31,796","26,495","23,523","22,775","19,387","17,703","15,925","14,602","12,629","10,296","9,449","7,751","6,380","5,882","5,080","4,181","2,878","2,406","1,764","1,592","1,215","805","569","417","296","252","181","1,489"
"대구광역시  (2700000000)","2,487,829","2,487,829","18,810","19,590","19,578","21,966","21,383","21,299","20,197","21,367","23,033","20,892","20,976","22,742","24,820","24,363","28,437","32,812","31,880","32,685","35,178","35,697","37,233","36,926","36,397","36,496","34,731","30,994","30,486","28,081","27,667","27,744","28,290","28,293","32,651","36,215","37,613","37,589","37,669","32,469","36,017","35,827","38,164","40,869","43,137","44,229","46,173","45,448","46,336","47,594","45,154","41,570","43,592","42,755","40,384","45,441","47,237","45,047","44,512","36,996","38,492","35,197","35,610","29,661","27,810","30,162","23,044","22,733","23,672","23,469","21,840","15,692","14,211","16,781","17,457","19,992","16,402","14,373","14,731","12,685","11,669","10,583","9,969","8,881","7,135","6,583","5,154","4,254","3,571","3,261","2,646","1,828","1,555","1,124","967","745","518","379","273","179","162","105","543"
"인천광역시  (2800000000)","2,925,815","2,925,815","24,940","26,162","26,261","29,099","28,441","27,992","26,626","27,290","29,115","25,832","25,093","26,829","28,407","27,930","31,625","35,814","35,012","36,075","38,457","39,288","41,064","42,059","42,981","44,162","43,111","39,252","38,377","37,462","36,667","36,978","38,587","39,035","44,441","49,104","50,845","50,176","49,805","43,392","46,215","44,298","46,688","49,781","52,289","52,446","54,334","53,256","53,809","54,434","50,536","48,532","52,021","51,671","48,837","54,161","54,825","54,877","49,797","45,904","43,834","38,192","39,121","32,505","27,340","29,931","19,490","22,031","22,652","22,001","22,530","18,233","15,541","15,884","15,972","18,920","15,392","13,118","13,586","12,385","10,945","10,404","9,705","8,330","7,142","6,393","5,226","4,813","4,327","3,593","2,948","2,173","1,888","1,476","1,337","982","751","539","372","250","217","148","701"
"광주광역시  (2900000000)","1,472,199","1,472,199","12,045","12,920","13,194","15,104","14,740","15,023","14,573","15,067","16,287","14,747","14,375","15,805","17,159","16,881","19,472","22,583","21,625","22,490","23,484","23,131","23,869","23,355","22,511","22,275","20,412","18,083","17,382","16,899","16,845","17,055","17,902","18,602","21,409","23,832","23,649","23,754","24,200","21,180","23,333","23,175","23,113","26,115","26,325","26,427","27,498","27,085","25,740","27,007","24,757","23,982","24,023","22,416","22,542","22,529","22,968","24,751","22,276","19,785","19,541","16,535","17,499","14,532","12,507","14,091","11,339","11,869","12,407","11,426","12,066","9,612","8,518","8,533","7,889","10,908","8,607","7,276","7,132","6,505","5,964","5,157","5,065","4,525","3,609","3,240","2,673","2,566","2,313","1,731","1,521","1,103","921","612","702","510","366","257","186","145","81","80","314"
"대전광역시  (3000000000)","1,518,775","1,518,775","13,301","13,620","13,840","15,144","14,952","14,763","14,104","14,926","15,898","14,501","14,044","15,513","16,063","16,025","18,053","20,455","19,966","20,816","21,846","22,183","22,956","22,900","22,503","23,034","22,171","20,150","19,429","19,367","18,994","19,245","19,720","19,753","22,296","24,437","24,825","24,639","24,305","21,938","23,475","23,332","23,793","25,848","27,583","26,849","28,598","27,700","28,518","28,643","25,836","23,640","24,600","24,437","22,010","25,858","27,180","26,724","24,296","21,502","21,994","20,063","19,993","17,445","14,127","15,201","11,327","12,425","12,019","11,736","11,136","8,872","8,134","8,587","8,416","10,438","8,322","6,712","7,380","6,617","5,936","5,594","5,120","4,546","3,907","3,485","2,798","2,480","2,124","1,894","1,611","1,040","932","735","713","480","332","242","175","134","100","75","281"
"울산광역시  (3100000000)","1,173,534","1,173,534","11,348","11,640","11,449","12,518","11,965","11,789","11,213","11,506","12,112","10,701","10,396","11,065","11,702","11,573","13,579","15,644","15,511","16,161","17,213","17,114","17,673","17,640","17,263","17,067","16,671","14,864","14,874","14,196","14,004","14,363","14,893","15,385","17,642","19,701","20,185","20,426","19,793","17,104","18,298","17,406","18,028","19,536","20,389","20,734","22,118","21,961","22,496","23,213","22,092","21,421","22,224","20,974","19,651","21,939","22,741","21,987","20,157","18,316","17,568","15,833","15,892","12,999","11,607","11,754","9,052","8,918","8,408","8,372","7,732","5,734","4,884","5,490","5,522","6,339","4,779","4,400","4,302","3,732","3,344","3,025","2,774","2,550","2,209","1,929","1,533","1,315","1,230","1,045","830","596","525","400","348","285","171","132","90","56","44","23","139"
"세종특별자치시  (3600000000)","210,884","210,884","2,823","2,723","2,903","3,191","3,085","3,163","3,053","3,121","3,032","2,731","2,551","2,638","2,597","2,407","2,393","2,484","2,265","2,080","1,951","2,032","2,185","2,295","2,164","2,381","2,394","2,122","2,181","2,317","2,432","2,572","2,913","3,140","3,560","4,321","4,477","4,489","4,615","3,945","4,349","4,216","4,185","4,430","4,396","4,117","4,234","3,661","3,459","3,379","2,880","2,629","2,741","2,677","2,397","2,810","2,916","2,889","2,575","2,348","2,358","2,161","2,325","1,982","1,579","1,749","1,317","1,511","1,453","1,333","1,300","1,065","981","1,094","1,038","1,396","1,128","1,007","1,035","956","869","847","794","732","636","553","463","417","376","318","240","189","148","118","105","98","72","23","20","22","10","18","34"
"경기도  (4100000000)","12,522,606","12,522,606","111,355","116,728","118,171","132,736","130,026","129,738","123,405","129,486","135,697","123,892","117,997","128,098","131,963","130,833","146,145","165,808","158,858","162,160","168,110","169,767","174,642","175,231","174,283","178,004","173,059","157,488","154,396","154,008","150,813","152,946","160,848","163,689","186,831","207,636","216,447","217,230","216,161","189,565","207,051","203,712","210,657","228,051","236,391","237,622","248,858","240,574","240,145","236,802","217,347","206,490","214,838","210,517","194,857","214,267","216,754","215,924","194,738","178,925","170,045","151,138","153,762","129,388","109,622","121,913","79,086","88,719","88,875","89,247","91,862","75,238","67,028","67,958","67,411","80,636","67,164","58,535","59,122","53,750","49,252","45,342","42,408","36,437","30,508","27,474","21,974","19,899","17,956","14,808","12,201","9,266","7,623","5,917","5,614","4,428","2,993","2,137","1,570","1,051","851","620","3,008"
