"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0세","2019년_계_1세","2019년_계_2세","2019년_계_3세","2019년_계_4세","2019년_계_5세","2019년_계_6세","2019년_계_7세","2019년_계_8세","2019년_계_9세","2019년_계_10세","2019년_계_11세","2019년_계_12세","2019년_계_13세","2019년_계_14세","2019년_계_15세","2019년_계_16세","2019년_계_17세","2019년_계_18세","2019년_계_19세","2019년_계_20세","2019년_계_21세","2019년_계_22세","2019년_계_23세","2019년_계_24세","2019년_계_25세","2019년_계_26세","2019년_계_27세","2019년_계_28세","2019년_계_29세","2019년_계_30세","2019년_계_31세","2019년_계_32세","2019년_계_33세","2019년_계_34세","2019년_계_35세","2019년_계_36세","2019년_계_37세","2019년_계_38세","2019년_계_39세","2019년_계_40세","2019년_계_41세","2019년_계_42세","2019년_계_43세","2019년_계_44세","2019년_계_45세","2019년_계_46세","2019년_계_47세","2019년_계_48세","2019년_계_49세","2019년_계_50세","2019년_계_51세","2019년_계_52세","2019년_계_53세","2019년_계_54세","2019년_계_55세","2019년_계_56세","2019년_계_57세","2019년_계_58세","2019년_계_59세","2019년_계_60세","2019년_계_61세","2019년_계_62세","2019년_계_63세","2019년_계_64세","2019년_계_65세","2019년_계_66세","2019년_계_67세","2019년_계_68세","2019년_계_69세","2019년_계_70세","2019년_계_71세","2019년_계_72세","2019년_계_73세","2019년_계_74세","2019년_계_75세","2019년_계_76세","2019년_계_77세","2019년_계_78세","2019년_계_79세","2019년_계_80세","2019년_계_81세","2019년_계_82세","2019년_계_83세","2019년_계_84세","2019년_계_85세","2019년_계_86세","2019년_계_87세","2019년_계_88세","2019년_계_89세","2019년_계_90세","2019년_계_91세","2019년_계_92세","2019년_계_93세","2019년_계_94세","2019년_계_95세","2019년_계_96세","2019년_계_97세","2019년_계_98세","2019년_계_99세","2019년_계_100세 이상"
"전국  (0000000000)","51,849,861","51,849,861","295,132","330,970","362,900","412,018","444,102","440,483","441,362","489,772","476,358","473,817","448,401","469,014","496,146","449,979","436,418","474,123","493,389","494,523","558,704","638,313","619,035","638,851","670,285","684,354","707,120","712,882","709,730","724,896","702,371","640,832","631,550","626,485","618,427","628,407","653,361","662,430","748,919","822,868","840,885","837,692","828,035","722,387","779,215","762,470","790,085","857,823","892,843","893,588","941,096","915,688","921,051","922,768","857,909","811,612","846,251","828,014","787,363","873,704","905,510","913,195","842,106","768,442","760,723","685,448","708,316","601,242","518,510","571,001","414,667","440,196","443,052","437,426","438,570","346,700","306,754","324,245","322,030","389,497","315,234","272,536","274,145","240,644","215,831","194,701","177,698","150,234","122,000","106,083","82,024","69,976","58,984","46,791","36,397","24,602","19,094","13,588","12,811","9,225","5,993","4,274","20,160"
"서울특별시  (1100000000)","9,729,107","9,729,107","51,145","54,779","59,128","65,734","70,013","69,139","69,031","76,160","73,259","74,305","70,378","74,930","79,942","73,725","71,582","79,677","82,287","82,767","92,621","111,662","110,727","117,160","127,846","137,538","148,693","158,278","163,318","170,959","168,286","153,818","149,445","148,368","142,549","141,939","143,557","141,456","154,667","163,441","163,787","160,750","157,941","133,933","145,000","142,609","145,629","157,862","163,865","167,243","176,438","170,463","167,963","164,022","153,253","140,798","149,743","148,790","142,141","153,039","157,352","162,867","152,404","141,959","141,460","128,754","136,069","114,979","101,482","110,044","76,918","85,733","86,235","84,893","86,715","69,827","61,120","61,736","59,938","70,345","56,062","47,216","45,815","39,499","34,909","30,674","27,939","22,645","18,612","16,033","12,629","10,732","9,536","7,732","6,115","4,258","3,207","2,451","2,420","1,753","1,241","977","6,244"
"부산광역시  (2600000000)","3,413,841","3,413,841","16,478","19,173","21,401","24,411","26,500","26,130","25,864","28,565","27,662","27,137","24,926","26,230","27,664","24,908","24,532","26,892","28,483","28,714","32,955","37,936","37,583","40,046","42,794","45,628","46,634","46,820","46,057","46,539","44,469","39,579","39,715","38,430","37,252","37,629","38,889","40,241","45,953","50,582","53,421","53,598","52,646","45,088","47,540","45,441","48,683","52,546","54,826","55,514","57,978","57,520","58,184","58,813","56,502","52,536","54,845","54,175","53,869","61,628","65,319","67,228","62,572","58,723","59,782","54,864","58,476","48,991","43,286","46,629","37,351","36,573","37,264","36,613","35,058","27,517","23,337","26,077","25,796","28,470","23,453","20,525","19,478","16,304","14,540","12,751","11,420","9,538","7,536","6,556","5,137","4,066","3,629","2,923","2,319","1,407","1,141","828","699","538","341","242","1,790"
"대구광역시  (2700000000)","2,438,031","2,438,031","12,896","14,564","16,408","18,791","20,148","20,044","20,047","22,311","21,648","21,455","20,249","21,319","23,059","20,916","21,044","22,654","24,517","24,024","27,936","31,480","30,635","31,367","33,670","33,951","34,520","33,723","32,825","33,036","31,499","28,415","28,369","26,449","26,501","26,772","27,714","27,796","32,218","35,864","37,116","37,187","37,362","32,133","35,591","35,499","37,557","40,214","42,290","43,426","45,078","44,237","44,861","46,039","43,736","40,047","42,028","41,096","38,808","43,609","45,044","42,981","42,461","35,313","36,719","33,530","33,958","28,201","26,463","28,686","21,875","21,591","22,325","22,100","20,667","14,690","13,224","15,565","16,065","18,050","14,756","12,670","12,865","10,802","9,773","8,711","7,876","6,742","5,307","4,656","3,539","2,787","2,196","1,857","1,410","896","733","491","377","296","216","141","678"
"인천광역시  (2800000000)","2,957,026","2,957,026","17,616","19,351","20,869","23,781","25,940","25,667","25,631","28,242","27,884","27,419","26,168","26,988","28,855","25,774","25,057","26,886","28,347","27,915","31,624","35,637","34,980","36,299","38,879","40,306","42,126","43,425","44,003","44,894","43,472","39,224","38,174","37,257","36,408","37,158","38,687","39,202","44,682","49,091","50,579","49,951","49,497","42,919","45,892","44,003","46,606","49,649","51,812","52,111","54,303","53,169","53,420","53,978","50,068","47,933","51,419","50,886","48,172","53,160","53,887","53,671","48,551","44,760","42,714","37,328","38,122","31,558","26,734","29,121","18,978","21,404","21,845","21,289","21,690","17,516","14,879","15,093","15,016","17,611","14,230","11,969","12,128","10,859","9,391","8,797","8,012","6,641","5,561","4,812","3,834","3,304","2,879","2,217","1,771","1,216","968","728","619","432","340","223","883"
"광주광역시  (2900000000)","1,456,468","1,456,468","8,189","9,440","10,660","12,333","13,310","13,487","13,813","15,416","14,811","15,060","14,379","14,886","16,226","14,704","14,323","15,615","16,781","16,679","19,191","21,647","20,801","21,526","22,424","21,867","22,340","21,385","20,486","20,535","19,142","16,942","16,472","16,177","16,216","16,690","17,500","18,374","21,052","23,487","23,515","23,460","23,982","20,999","22,929","22,848","22,656","25,674","25,960","26,056","27,020","26,442","25,120","26,455","24,056","23,266","23,206","21,694","21,775","21,739","22,107","23,862","21,456","18,988","18,775","15,826","16,757","13,927","12,024","13,399","10,886","11,331","11,815","10,821","11,431","9,054","7,962","7,933","7,298","10,078","7,783","6,520","6,303","5,639","5,076","4,233","4,030","3,557","2,758","2,324","1,832","1,722","1,459","1,045","797","579","444","270","313","206","141","90","399"
"대전광역시  (3000000000)","1,474,870","1,474,870","8,221","9,361","10,659","12,064","13,119","12,880","13,143","14,279","14,188","13,915","13,350","14,163","15,172","13,809","13,510","14,983","15,470","15,497","17,469","19,756","19,462","20,242","21,696","22,163","22,709","22,333","21,709","22,023","20,963","19,329","18,493","18,188","17,885","18,165","18,544","18,477","20,861","22,961","23,636","23,270","22,950","20,897","22,358","22,296","22,788","24,910","26,456","25,931","27,444","26,451","27,378","27,257","24,447","22,409","23,299","23,052","20,838","24,373","25,570","25,246","22,973","20,325","20,653","18,870","18,891","16,412","13,365","14,411","10,728","11,679","11,273","11,121","10,430","8,302","7,594","7,974","7,802","9,555","7,548","5,914","6,581","5,730","5,093","4,620","4,140","3,557","2,974","2,548","1,976","1,634","1,322","1,137","892","546","453","327","306","194","128","92","333"
"울산광역시  (3100000000)","1,148,019","1,148,019","7,324","8,129","9,158","10,584","11,322","11,305","11,101","12,239","11,621","11,588","10,916","11,289","11,962","10,531","10,241","10,881","11,512","11,344","13,354","14,703","14,254","14,712","15,293","15,203","15,480","15,248","15,047","15,204","15,009","13,687","13,906","13,453","13,428","13,813","14,343","15,012","17,086","19,190","19,625","19,887","19,253","16,720","17,959","17,043","17,673","19,058","19,940","20,214","21,600","21,311","21,877","22,535","21,425","20,741","21,496","20,335","18,927","21,135","21,825","21,063","19,274","17,401","16,606","15,024","15,035","12,298","11,035","11,069","8,539","8,370","7,991","7,942","7,269","5,346","4,531","5,030","5,043","5,740","4,236","3,818","3,740","3,163","2,772","2,465","2,249","1,978","1,620","1,337","1,073","825","761","606","457","312","258","183","156","97","54","44","158"
"세종특별자치시  (3600000000)","340,575","340,575","3,657","4,043","4,383","4,814","5,101","4,839","4,905","5,378","5,065","5,064","4,723","4,850","4,689","4,264","3,795","3,883","3,704","3,356","3,262","3,511","3,315","3,279","3,237","3,360","3,420","3,580","3,576","4,090","4,246","4,237","4,502","4,839","5,116","5,457","5,730","5,964","6,772","7,813","7,713","7,558","7,770","6,417","6,836","6,508","6,344","6,643","6,469","5,909","6,075","5,501","5,137","5,065","4,376","3,966","4,083","3,966","3,545","4,043","4,218","4,081","3,668","3,390","3,354","3,043","3,129","2,665","2,069","2,349","1,673","1,868","1,852","1,614","1,585","1,275","1,111","1,178","1,170","1,482","1,205","973","1,043","957","820","800","752","645","561","479","383","324","287","223","167","112","93","57","43","42","27","12","53"
"경기도  (4100000000)","13,239,666","13,239,666","82,540","94,410","102,974","117,921","127,335","126,091","125,332","139,456","135,009","133,922","126,910","132,562","138,380","125,833","119,528","129,594","133,415","132,351","148,120","168,769","161,036","164,622","171,435","174,374","183,007","185,867","185,274","190,568","185,708","168,804","167,270","167,703","165,550","169,163","178,227","180,235","205,294","225,864","233,918","232,603","229,695","200,067","216,194","211,332","217,251","233,626","241,847","242,400","253,229","244,557","244,110","240,471","220,535","208,832","217,660","213,856","197,833","217,010","219,484","219,037","197,592","181,915","173,008","153,762","156,048","131,615","111,844","123,630","80,272","89,686","89,738","89,730","91,664","74,584","65,716","66,167","65,151","76,877","63,118","54,527","54,012","48,298","43,429","38,850","35,503","29,690","24,157","21,052","16,165","14,184","12,052","9,557","7,421","5,178","3,999","2,902","2,594","1,913","1,232","920","3,914"
