"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0세","2018년_계_1세","2018년_계_2세","2018년_계_3세","2018년_계_4세","2018년_계_5세","2018년_계_6세","2018년_계_7세","2018년_계_8세","2018년_계_9세","2018년_계_10세","2018년_계_11세","2018년_계_12세","2018년_계_13세","2018년_계_14세","2018년_계_15세","2018년_계_16세","2018년_계_17세","2018년_계_18세","2018년_계_19세","2018년_계_20세","2018년_계_21세","2018년_계_22세","2018년_계_23세","2018년_계_24세","2018년_계_25세","2018년_계_26세","2018년_계_27세","2018년_계_28세","2018년_계_29세","2018년_계_30세","2018년_계_31세","2018년_계_32세","2018년_계_33세","2018년_계_34세","2018년_계_35세","2018년_계_36세","2018년_계_37세","2018년_계_38세","2018년_계_39세","2018년_계_40세","2018년_계_41세","2018년_계_42세","2018년_계_43세","2018년_계_44세","2018년_계_45세","2018년_계_46세","2018년_계_47세","2018년_계_48세","2018년_계_49세","2018년_계_50세","2018년_계_51세","2018년_계_52세","2018년_계_53세","2018년_계_54세","2018년_계_55세","2018년_계_56세","2018년_계_57세","2018년_계_58세","2018년_계_59세","2018년_계_60세","2018년_계_61세","2018년_계_62세","2018년_계_63세","2018년_계_64세","2018년_계_65세","2018년_계_66세","2018년_계_67세","2018년_계_68세","2018년_계_69세","2018년_계_70세","2018년_계_71세","2018년_계_72세","2018년_계_73세","2018년_계_74세","2018년_계_75세","2018년_계_76세","2018년_계_77세","2018년_계_78세","2018년_계_79세","2018년_계_80세","2018년_계_81세","2018년_계_82세","2018년_계_83세","2018년_계_84세","2018년_계_85세","2018년_계_86세","2018년_계_87세","2018년_계_88세","2018년_계_89세","2018년_계_90세","2018년_계_91세","2018년_계_92세","2018년_계_93세","2018년_계_94세","2018년_계_95세","2018년_계_96세","2018년_계_97세","2018년_계_98세","2018년_계_99세","2018년_계_100세 이상"
"전국  (0000000000)","51,826,059","51,826,059","317,685","361,625","411,225","443,586","440,123","441,105","489,604","476,168","473,690","448,251","468,897","496,074","449,936","436,420","474,221","493,626","494,894","559,205","638,581","619,299","639,161","670,613","684,673","707,318","713,137","709,738","724,841","702,366","640,669","631,457","626,456","618,363","628,466","653,494","662,582","749,232","823,253","841,390","838,252","828,655","722,964","779,981","763,284","790,977","858,988","894,197","895,079","942,734","917,454","922,929","924,835","860,005","813,809","848,593","830,351","789,814","876,735","908,987","916,989","845,766","771,988","764,437","689,181","712,414","604,829","521,677","575,151","418,063","444,324","447,575","442,396","444,124","351,623","311,811","330,238","328,898","399,138","323,880","281,424","284,404","250,659","226,215","205,546","189,010","161,164","131,986","116,012","90,800","78,557","67,043","53,871","42,582","29,257","23,226","16,758","15,894","11,613","7,562","5,392","3,752","18,783"
"서울특별시  (1100000000)","9,765,623","9,765,623","54,719","60,805","67,262","71,433","70,251","69,728","76,957","73,813","74,748","70,652","75,180","79,733","74,074","71,698","79,681","82,773","83,012","92,791","108,139","108,040","114,742","122,499","129,725","141,389","150,560","156,527","165,963","165,471","153,068","149,846","149,513","144,453","144,811","146,839","144,733","158,638","167,463","167,486","163,901","160,933","136,161","147,034","144,348","147,229","159,565","165,782","169,226","178,517","172,444","170,068","166,145","155,294","142,798","151,714","151,001","144,221","155,417","159,935","165,629","154,800","144,310","143,745","130,874","138,260","116,760","103,128","111,910","78,386","87,224","87,818","86,655","88,400","71,356","62,630","63,177","61,641","72,519","57,783","48,945","47,719","41,292","36,763","32,399","29,710","24,311","20,073","17,581","13,961","11,997","10,782","8,836","7,080","5,004","3,893","2,991","2,895","2,092","1,507","1,178","818","5,843"
"부산광역시  (2600000000)","3,441,453","3,441,453","18,531","21,375","24,529","26,554","26,104","25,834","28,642","27,672","27,226","24,975","26,227","27,726","24,976","24,584","26,973","28,605","28,741","33,069","37,790","37,454","39,632","42,068","45,384","47,003","47,937","47,714","47,895","45,853","40,543","40,708","39,294","38,091","38,376","39,533","40,752","46,481","51,165","53,881","54,104","53,034","45,437","47,896","45,754","49,007","52,868","55,236","55,892","58,354","57,978","58,625","59,290","56,981","53,049","55,408","54,635","54,343","62,280","65,955","67,993","63,255","59,423","60,475","55,524","59,189","49,610","43,815","47,250","37,843","37,135","37,863","37,151","35,718","28,035","23,810","26,676","26,538","29,291","24,172","21,274","20,327","17,053","15,426","13,554","12,223","10,302","8,251","7,303","5,801","4,611","4,151","3,414","2,746","1,721","1,381","988","853","666","408","303","243","1,665"
"대구광역시  (2700000000)","2,461,769","2,461,769","13,993","16,306","18,774","20,010","20,020","19,918","22,413","21,705","21,518","20,296","21,370","23,101","21,019","21,075","22,798","24,714","24,143","28,158","32,279","31,015","31,710","34,225","34,958","35,752","35,081","34,115","34,308","32,597","29,209","28,890","26,957","26,968","27,054","28,016","28,041","32,482","36,090","37,391","37,430","37,549","32,321","35,851","35,684","37,855","40,581","42,659","43,764","45,472","44,715","45,368","46,587","44,166","40,519","42,525","41,598","39,327","44,136","45,664","43,639","42,982","35,806","37,214","34,069","34,356","28,529","26,830","29,092","22,212","21,917","22,725","22,493","20,941","14,969","13,482","15,939","16,442","18,577","15,218","13,166","13,359","11,321","10,246","9,222","8,432","7,323","5,750","5,143","3,943","3,149","2,540","2,157","1,673","1,072","905","616","502","369","273","178","130","628"
"인천광역시  (2800000000)","2,954,642","2,954,642","19,012","20,811","23,846","25,976","25,726","25,900","28,334","27,977","27,557","26,162","27,075","28,912","25,722","25,041","26,868","28,329","27,938","31,702","35,830","34,907","36,013","38,608","39,791","41,868","43,177","43,817","44,984","43,621","39,557","38,358","37,532","36,502","37,324","38,789","39,229","44,713","49,175","50,745","50,055","49,605","43,063","45,905","44,086","46,593","49,624","52,008","52,284","54,364","53,175","53,621","54,048","50,308","48,013","51,583","51,105","48,369","53,561","54,179","54,115","48,948","45,069","43,034","37,625","38,385","31,814","26,843","29,370","19,160","21,604","22,128","21,508","21,987","17,735","15,100","15,308","15,316","18,020","14,582","12,298","12,538","11,293","9,796","9,210","8,489","7,103","5,988","5,208","4,145","3,681","3,238","2,555","2,019","1,441","1,169","885","751","533","403","266","179","826"
"광주광역시  (2900000000)","1,459,336","1,459,336","8,913","10,411","12,151","13,087","13,409","13,531","15,476","14,832","15,052","14,415","14,919","16,227","14,734","14,321","15,643","16,954","16,707","19,260","22,146","20,976","21,649","22,672","22,397","22,809","21,768","20,869","20,729","19,182","17,014","16,654","16,277","16,384","16,667","17,421","18,353","21,016","23,533","23,440","23,398","23,931","20,954","23,002","22,868","22,689","25,733","26,003","26,171","27,074","26,605","25,292","26,585","24,195","23,430","23,354","21,893","21,953","21,917","22,306","24,038","21,613","19,213","18,966","16,006","16,925","14,038","12,121","13,535","10,998","11,481","11,998","10,994","11,620","9,190","8,125","8,088","7,411","10,301","8,031","6,710","6,530","5,881","5,297","4,476","4,269","3,840","3,002","2,532","2,045","1,914","1,664","1,200","967","686","548","336","384","257","178","120","86","371"
"대전광역시  (3000000000)","1,489,936","1,489,936","9,105","10,815","12,287","13,359","13,110","13,301","14,499","14,392","14,127","13,502","14,261","15,321","13,960","13,582","15,082","15,641","15,608","17,591","19,987","19,504","20,352","21,651","22,132","22,923","22,583","22,077","22,337","21,316","19,645","18,939","18,663","18,273","18,523","19,042","18,873","21,301","23,368","23,952","23,714","23,331","21,198","22,595","22,557","23,068","25,140","26,743","26,150","27,758","26,747","27,696","27,610","24,842","22,674","23,637","23,430","21,127","24,699","25,965","25,676","23,323","20,614","21,021","19,160","19,233","16,714","13,547","14,613","10,902","11,870","11,481","11,273","10,630","8,475","7,764","8,158","7,982","9,788","7,764","6,143","6,779","5,986","5,354","4,877","4,386","3,825","3,242","2,779","2,213","1,865","1,527","1,335","1,062","657","549","392","382","249","176","112","74","319"
"울산광역시  (3100000000)","1,155,623","1,155,623","7,894","9,210","10,682","11,402","11,362","11,193","12,285","11,740","11,600","10,995","11,315","11,995","10,584","10,286","10,913","11,592","11,380","13,433","15,407","14,635","15,165","15,939","15,991","16,162","15,828","15,504","15,534","15,326","13,875","14,035","13,650","13,468","13,929","14,465","15,065","17,295","19,300","19,697","19,959","19,380","16,799","18,027","17,119","17,784","19,187","20,064","20,305","21,726","21,433","21,981","22,673","21,606","20,912","21,678","20,459","19,097","21,303","22,057","21,265","19,442","17,662","16,830","15,202","15,199","12,424","11,145","11,207","8,658","8,511","8,080","8,054","7,380","5,423","4,619","5,149","5,185","5,891","4,353","3,946","3,882","3,326","2,923","2,628","2,397","2,130","1,765","1,488","1,195","954","848","700","519","361","309","226","197","134","80","60","38","158"
"세종특별자치시  (3600000000)","314,126","314,126","3,595","3,997","4,420","4,626","4,380","4,502","4,988","4,761","4,715","4,468","4,546","4,413","4,044","3,666","3,701","3,567","3,236","3,143","3,233","3,146","3,057","3,053","3,095","3,299","3,410","3,266","3,631","3,745","3,614","3,861","4,231","4,405","4,743","5,046","5,406","6,132","7,201","7,138","6,927","7,152","5,972","6,465","6,140","6,015","6,294","6,101","5,611","5,725","5,140","4,784","4,717","4,036","3,727","3,813","3,694","3,345","3,816","3,986","3,826","3,413","3,160","3,184","2,886","2,984","2,555","2,004","2,255","1,636","1,796","1,801","1,592","1,551","1,227","1,083","1,169","1,166","1,472","1,208","998","1,067","948","845","825","768","677","584","506","403","347","305","242","186","128","108","72","55","47","36","11","6","54"
"경기도  (4100000000)","13,077,153","13,077,153","87,536","100,422","115,769","125,398","124,626","124,129","138,367","134,080","133,134","126,395","131,986","138,067","125,338","119,285","129,461","132,984","131,903","147,365","167,613","160,894","163,893","170,120","172,023","178,899","181,580","182,287","188,013","182,962","165,548","163,729","163,703","161,680","164,940","173,884","176,380","200,997","221,704","230,080","229,389","226,814","197,953","214,353","209,884","215,918","232,539","240,523","241,266","252,135","243,689","242,971","239,675","219,711","208,300","217,074","213,038","197,325","216,368","218,985","218,362","197,139","181,541","172,655","153,441","155,861","131,269","111,572","123,627","80,195","89,861","89,880","89,949","92,187","75,041","66,276","66,983","66,013","78,177","64,404","55,832","55,602","49,818","44,967","40,779","37,428","31,539","25,756","22,693","17,673","15,630","13,541","10,838","8,532","6,022","4,763","3,550","3,209","2,405","1,541","1,128","788","3,602"
