"행정구역","2013년_계_총인구수","2013년_계_연령구간인구수","2013년_계_0세","2013년_계_1세","2013년_계_2세","2013년_계_3세","2013년_계_4세","2013년_계_5세","2013년_계_6세","2013년_계_7세","2013년_계_8세","2013년_계_9세","2013년_계_10세","2013년_계_11세","2013년_계_12세","2013년_계_13세","2013년_계_14세","2013년_계_15세","2013년_계_16세","2013년_계_17세","2013년_계_18세","2013년_계_19세","2013년_계_20세","2013년_계_21세","2013년_계_22세","2013년_계_23세","2013년_계_24세","2013년_계_25세","2013년_계_26세","2013년_계_27세","2013년_계_28세","2013년_계_29세","2013년_계_30세","2013년_계_31세","2013년_계_32세","2013년_계_33세","2013년_계_34세","2013년_계_35세","2013년_계_36세","2013년_계_37세","2013년_계_38세","2013년_계_39세","2013년_계_40세","2013년_계_41세","2013년_계_42세","2013년_계_43세","2013년_계_44세","2013년_계_45세","2013년_계_46세","2013년_계_47세","2013년_계_48세","2013년_계_49세","2013년_계_50세","2013년_계_51세","2013년_계_52세","2013년_계_53세","2013년_계_54세","2013년_계_55세","2013년_계_56세","2013년_계_57세","2013년_계_58세","2013년_계_59세","2013년_계_60세","2013년_계_61세","2013년_계_62세","2013년_계_63세","2013년_계_64세","2013년_계_65세","2013년_계_66세","2013년_계_67세","2013년_계_68세","2013년_계_69세","2013년_계_70세","2013년_계_71세","2013년_계_72세","2013년_계_73세","2013년_계_74세","2013년_계_75세","2013년_계_76세","2013년_계_77세","2013년_계_78세","2013년_계_79세","2013년_계_80세","2013년_계_81세","2013년_계_82세","2013년_계_83세","2013년_계_84세","2013년_계_85세","2013년_계_86세","2013년_계_87세","2013년_계_88세","2013년_계_89세","2013년_계_90세","2013년_계_91세","2013년_계_92세","2013년_계_93세","2013년_계_94세","2013년_계_95세","2013년_계_96세","2013년_계_97세","2013년_계_98세","2013년_계_99세","2013년_계_100세 이상"
"전국  (0000000000)","51,141,463","51,141,463","421,465","486,655","474,098","472,047","447,055","467,935","495,221","449,321","436,031","474,106","493,745","495,256","559,931","639,858","620,395","640,464","672,216","685,900","708,247","713,703","709,873","724,415","701,573","639,047","630,294","625,006","616,877","627,363","652,794","662,287","749,526","823,955","842,670","839,693","830,278","724,684","782,219","765,654","793,938","862,797","898,484","899,902","948,188","923,443","929,667","932,439","867,657","822,249","857,982","839,950","799,571","888,563","923,103","931,945","860,888","786,649","780,052","704,263","729,354","620,868","536,154","592,397","432,276","460,305","465,536","461,926","466,283","371,513","331,824","354,342","356,693","439,452","360,741","318,589","327,562","294,276","271,436","253,041","239,889","211,121","179,171","163,594","133,703","121,912","109,808","93,689","79,247","59,633","50,987","39,874","39,357","31,165","21,718","16,107","11,883","8,387","6,906","4,946","3,580","2,838","13,793"
"서울특별시  (1100000000)","10,143,645","10,143,645","78,576","88,271","82,972","82,113","76,825","80,786","84,583","77,366","74,650","82,595","85,082","85,239","95,197","110,486","106,669","111,753","118,196","121,842","127,962","133,384","134,206","140,378","142,056","135,269","138,473","144,967","146,600","153,090","161,747","163,057","182,248","194,120","194,965","190,207","185,293","154,814","165,586","160,454","161,977","173,787","178,883","181,713","190,726","184,167","181,371","177,335","165,875","153,125","163,045","162,713","155,762","168,057","174,089","180,432","169,747","158,740","158,722","145,187","153,199","129,870","114,474","124,628","87,322","96,820","98,094","96,948","99,381","80,330","71,025","71,913","70,798","84,397","67,721","58,019","57,326","50,202","45,327","41,164","38,703","32,792","27,777","25,261","20,811","19,088","17,772","15,294","12,989","10,060","8,390","6,866","6,816","5,416","3,932","3,075","2,235","1,606","1,398","1,103","810","697","4,266"
"부산광역시  (2600000000)","3,527,635","3,527,635","24,825","28,646","27,636","27,190","24,907","26,261","27,840","25,031","24,558","27,031","28,693","28,892","33,279","38,093","37,619","39,759","41,869","44,880","46,391","48,030","48,710","50,976","50,069","45,232","46,037","44,139","42,897","42,617","43,581","44,384","49,522","54,056","56,615","56,436","54,787","46,749","49,294","46,666","49,983","53,951","56,363","56,839","59,660","59,193","60,019","60,904","58,646","54,924","57,566","56,695","56,705","65,234","69,417","71,633","66,774","63,166","64,271","59,086","63,234","53,031","46,976","50,640","40,516","39,905","40,691","40,347","38,556","30,494","26,024","29,519","29,467","33,138","27,795","24,766","24,116","20,588","19,101","17,305","15,999","13,998","11,665","10,722","9,032","7,576","7,017","6,194","5,249","3,714","3,192","2,380","2,248","1,742","1,212","870","611","452","358","270","195","205","1,299"
"대구광역시  (2700000000)","2,501,588","2,501,588","18,708","21,647","21,177","21,018","19,963","21,215","22,968","20,801","20,959","22,649","24,623","24,315","28,458","32,846","32,088","32,989","35,556","36,478","37,961","37,431","37,062","37,849","36,467","32,598","32,346","29,930","29,183","28,818","29,212","29,082","33,313","36,671","38,064","37,800","37,977","32,465","36,058","35,814","38,339","41,018","43,254","44,534","46,339","45,837","46,755","48,220","45,872","42,164","44,327","43,442","41,171","46,463","48,158","45,932","45,488","37,669","39,348","36,015","36,435","30,323","28,516","30,996","23,626","23,330","24,212","24,083","22,458","16,062","14,628","17,358","18,094","20,781","17,080","15,128","15,566","13,432","12,504","11,487","10,892","9,796","8,040","7,529","5,966","5,015","4,323","3,995","3,334","2,363","2,081","1,559","1,379","1,135","809","592","411","291","241","161","114","99","460"
"인천광역시  (2800000000)","2,879,782","2,879,782","24,908","28,749","28,279","27,879","26,438","27,277","29,019","25,796","24,961","26,702","28,276","27,763","31,422","35,639","34,857","35,865","38,306","39,325","41,091","41,645","42,715","43,681","42,784","39,104","38,152","37,378","36,333","36,809","38,164","38,449","43,856","48,144","50,020","49,524","49,087","42,826","45,802","44,085","46,438","49,792","52,028","52,349","54,159","53,160","53,776","54,425","50,506","48,637","52,138","51,744","48,903","54,390","55,106","55,347","50,205","46,235","44,038","38,533","39,291","32,773","27,506","30,125","19,672","22,188","22,737","22,119","22,767","18,448","15,790","16,154","16,317","19,395","15,735","13,497","14,047","12,940","11,572","10,976","10,380","8,971","7,757","7,118","5,798","5,476","5,014","4,222","3,541","2,691","2,380","1,957","1,814","1,389","1,051","770","577","387","351","220","158","117","575"
"광주광역시  (2900000000)","1,472,910","1,472,910","12,407","14,846","14,564","14,811","14,261","14,939","16,302","14,756","14,330","15,759","17,103","16,902","19,550","22,584","21,818","22,738","23,692","23,638","24,407","23,641","23,234","23,380","21,705","19,160","18,387","17,775","17,554","17,762","18,375","19,058","21,819","23,961","23,796","23,842","24,397","21,231","23,347","23,220","23,145","26,087","26,385","26,486","27,580","27,237","25,892","27,355","24,887","24,276","24,279","22,776","22,888","22,858","23,414","25,102","22,614","20,174","19,872","16,782","17,789","14,708","12,705","14,269","11,606","12,154","12,665","11,698","12,358","9,804","8,783","8,783","8,131","11,324","8,959","7,630","7,511","6,861","6,327","5,521","5,509","4,954","4,048","3,610","3,065","2,966","2,715","2,139","1,865","1,379","1,228","870","988","719","540","398","278","220","135","118","86","84","270"
"대전광역시  (3000000000)","1,532,811","1,532,811","13,677","15,606","15,332","15,160","14,508","15,356","16,418","14,975","14,485","15,872","16,477","16,294","18,357","20,807","20,329","21,096","22,153","22,582","23,213","23,213","22,717","23,409","22,800","20,781","20,008","19,879","19,242","19,483","20,088","20,344","22,831","24,998","25,463","25,530","25,068","22,534","24,368","23,956","24,571","26,634","28,239","27,424","29,198","28,052","29,154","29,116","26,374","24,142","25,242","25,049","22,618","26,503","27,850","27,385","24,864","22,065","22,569","20,534","20,502","17,864","14,511","15,585","11,592","12,737","12,377","12,041","11,417","9,098","8,346","8,846","8,678","10,824","8,542","7,000","7,695","7,009","6,332","6,028","5,553","4,995","4,274","3,906","3,201","2,883","2,525","2,297","1,977","1,323","1,177","991","992","707","485","365","257","203","168","128","83","70","235"
"울산광역시  (3100000000)","1,156,480","1,156,480","10,979","12,347","11,875","11,766","11,184","11,423","12,077","10,674","10,411","11,000","11,727","11,597","13,603","15,622","15,546","16,230","17,325","17,647","18,379","17,979","17,832","17,759","17,115","14,916","14,814","13,916","13,603","13,911","14,349","14,949","17,007","19,207","19,727","19,997","19,386","16,934","18,127","17,175","17,912","19,461","20,296","20,689","21,977","21,901","22,505","23,289","22,145","21,419","22,248","21,108","19,729","22,065","22,903","22,165","20,402","18,533","17,774","16,067","16,141","13,235","11,828","11,937","9,321","9,182","8,612","8,586","7,911","5,889","5,020","5,639","5,729","6,621","4,926","4,564","4,541","3,985","3,563","3,261","2,999","2,808","2,433","2,136","1,740","1,559","1,431","1,250","1,068","751","688","546","494","397","260","196","139","83","73","51","38","37","109"
"세종특별자치시  (3600000000)","122,153","122,153","1,132","1,339","1,357","1,415","1,354","1,455","1,447","1,308","1,237","1,316","1,304","1,268","1,348","1,483","1,399","1,410","1,329","1,263","1,323","1,413","1,349","1,478","1,507","1,345","1,329","1,344","1,297","1,383","1,385","1,467","1,570","1,955","1,945","2,014","2,069","1,784","2,035","1,996","1,963","2,263","2,357","2,188","2,341","2,054","2,066","2,030","1,811","1,700","1,778","1,784","1,596","1,961","2,017","2,063","1,850","1,678","1,706","1,604","1,748","1,530","1,208","1,356","1,034","1,186","1,171","1,108","1,067","863","811","927","926","1,251","1,016","917","968","899","809","806","797","717","614","564","466","421","373","326","257","206","180","135","123","125","87","33","29","37","14","27","10","9","40"
"경기도  (4100000000)","12,234,630","12,234,630","109,468","129,457","127,915","128,486","122,513","128,738","135,306","123,640","118,011","128,042","132,036","130,834","145,987","165,985","158,849","162,037","167,647","168,712","174,076","174,639","172,418","174,987","169,344","153,256","149,529","149,395","145,939","148,041","155,485","157,745","180,108","200,821","209,851","210,859","210,606","186,206","203,688","201,495","208,841","226,532","235,399","236,813","248,656","240,695","240,231","236,917","217,520","206,682","215,251","210,768","194,916","214,355","216,950","216,000","194,405","178,203","169,481","150,378","153,027","128,858","109,033","121,203","78,841","88,414","88,587","88,948","91,870","75,417","67,149","68,454","68,085","81,988","68,738","60,310","61,272","56,032","51,628","47,873","45,215","39,244","33,315","30,214","24,595","22,694","20,687","17,422","14,647","11,403","9,674","7,732","7,513","5,999","4,275","3,106","2,358","1,637","1,376","935","689","507","2,522"
