"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0세","2018년_계_1세","2018년_계_2세","2018년_계_3세","2018년_계_4세","2018년_계_5세","2018년_계_6세","2018년_계_7세","2018년_계_8세","2018년_계_9세","2018년_계_10세","2018년_계_11세","2018년_계_12세","2018년_계_13세","2018년_계_14세","2018년_계_15세","2018년_계_16세","2018년_계_17세","2018년_계_18세","2018년_계_19세","2018년_계_20세","2018년_계_21세","2018년_계_22세","2018년_계_23세","2018년_계_24세","2018년_계_25세","2018년_계_26세","2018년_계_27세","2018년_계_28세","2018년_계_29세","2018년_계_30세","2018년_계_31세","2018년_계_32세","2018년_계_33세","2018년_계_34세","2018년_계_35세","2018년_계_36세","2018년_계_37세","2018년_계_38세","2018년_계_39세","2018년_계_40세","2018년_계_41세","2018년_계_42세","2018년_계_43세","2018년_계_44세","2018년_계_45세","2018년_계_46세","2018년_계_47세","2018년_계_48세","2018년_계_49세","2018년_계_50세","2018년_계_51세","2018년_계_52세","2018년_계_53세","2018년_계_54세","2018년_계_55세","2018년_계_56세","2018년_계_57세","2018년_계_58세","2018년_계_59세","2018년_계_60세","2018년_계_61세","2018년_계_62세","2018년_계_63세","2018년_계_64세","2018년_계_65세","2018년_계_66세","2018년_계_67세","2018년_계_68세","2018년_계_69세","2018년_계_70세","2018년_계_71세","2018년_계_72세","2018년_계_73세","2018년_계_74세","2018년_계_75세","2018년_계_76세","2018년_계_77세","2018년_계_78세","2018년_계_79세","2018년_계_80세","2018년_계_81세","2018년_계_82세","2018년_계_83세","2018년_계_84세","2018년_계_85세","2018년_계_86세","2018년_계_87세","2018년_계_88세","2018년_계_89세","2018년_계_90세","2018년_계_91세","2018년_계_92세","2018년_계_93세","2018년_계_94세","2018년_계_95세","2018년_계_96세","2018년_계_97세","2018년_계_98세","2018년_계_99세","2018년_계_100세 이상"
"서울특별시 도봉구 (1132000000)","339,413","339,413","1,644","1,857","2,158","2,246","2,345","2,191","2,486","2,408","2,489","2,360","2,398","2,734","2,428","2,334","2,785","2,815","2,969","3,387","4,007","3,842","4,041","4,509","4,518","4,798","4,845","4,928","4,970","4,837","4,353","4,296","4,228","3,974","4,029","4,215","4,223","4,681","5,069","5,143","5,052","4,918","4,185","4,664","4,568","4,759","5,210","5,629","5,715","6,245","6,180","5,975","6,255","5,718","5,504","5,674","5,667","5,491","6,050","6,326","6,703","6,227","5,822","5,840","5,365","5,578","4,627","3,942","4,322","3,106","3,284","3,279","3,397","3,412","2,698","2,434","2,481","2,497","3,021","2,444","2,044","2,012","1,730","1,518","1,333","1,199","977","888","781","598","485","444","396","274","215","154","110","116","71","55","38","25","146"
"서울특별시 노원구 (1135000000)","543,752","543,752","2,721","3,195","3,519","3,899","3,812","3,759","4,322","4,175","4,451","4,294","4,887","5,153","5,007","5,080","5,793","6,092","6,015","6,912","7,908","7,597","7,940","8,078","8,070","8,497","8,154","7,957","7,724","7,172","6,529","6,250","6,218","6,099","6,377","6,544","6,469","7,399","7,902","8,033","8,149","8,186","7,173","7,848","7,997","8,439","9,391","10,065","10,319","11,065","10,759","10,542","10,219","9,401","8,608","8,747","8,533","8,323","8,881","9,049","9,231","8,530","8,080","7,901","7,321","7,547","6,413","5,505","6,067","4,178","4,637","4,624","4,453","4,586","3,677","3,232","3,312","3,307","4,002","3,196","2,793","2,745","2,410","2,172","1,863","1,834","1,474","1,243","1,104","854","804","645","508","412","283","230","183","155","114","73","76","40","241"
"서울특별시 은평구 (1138000000)","483,197","483,197","2,597","2,881","3,198","3,440","3,392","3,298","3,764","3,591","3,692","3,546","3,677","3,979","3,726","3,463","3,943","4,240","4,250","4,695","5,553","5,379","5,448","5,958","6,219","6,384","6,775","6,975","7,228","7,253","6,636","6,441","6,467","6,269","6,384","6,595","6,577","7,439","7,931","8,304","8,061","7,835","6,572","7,351","7,180","7,464","8,142","8,620","8,603","8,994","8,657","8,512","8,364","7,831","7,179","7,518","7,478","7,303","7,741","8,166","8,368","8,024","7,338","7,247","6,786","6,935","6,078","5,319","5,691","4,127","4,571","4,707","4,682","4,894","3,930","3,481","3,516","3,559","4,208","3,389","2,828","2,789","2,361","2,192","1,922","1,664","1,335","1,053","929","740","609","563","437","374","242","199","165","146","98","61","59","39","384"
"서울특별시 서대문구 (1141000000)","310,313","310,313","1,689","1,888","2,144","2,185","2,246","2,164","2,306","2,138","2,229","2,191","2,138","2,223","2,210","2,103","2,382","2,535","2,474","2,862","3,206","3,380","3,800","4,090","4,587","5,005","5,272","5,440","5,457","5,500","4,789","4,487","4,389","4,256","4,220","4,334","4,237","4,606","4,914","5,036","4,871","4,663","4,089","4,498","4,368","4,517","4,935","5,042","5,275","5,750","5,488","5,357","5,312","5,060","4,523","4,941","4,847","4,638","4,972","5,033","5,265","4,766","4,566","4,480","4,009","4,314","3,577","3,218","3,399","2,450","2,804","2,803","2,748","3,088","2,500","2,221","2,245","2,315","2,796","2,188","1,948","2,051","1,690","1,505","1,347","1,254","980","775","701","487","477","432","311","283","194","138","122","104","78","67","43","36","247"
"서울특별시 마포구 (1144000000)","375,077","375,077","2,528","2,638","2,911","2,907","2,821","2,659","2,981","2,763","2,862","2,676","2,977","3,088","2,720","2,681","2,920","2,973","2,848","3,209","3,678","3,854","4,062","4,645","4,990","5,694","6,137","6,623","7,104","7,203","6,609","6,494","6,460","6,374","6,503","6,688","6,488","7,006","7,214","7,034","6,652","6,544","5,664","6,130","6,037","6,078","6,451","6,701","6,696","6,975","6,498","6,439","6,043","5,555","4,992","5,479","5,323","5,044","5,195","5,416","5,663","5,188","4,615","4,734","4,199","4,491","3,709","3,254","3,630","2,455","2,809","2,966","2,920","3,043","2,394","2,292","2,358","2,310","2,729","2,202","1,937","1,911","1,593","1,536","1,315","1,251","952","821","727","588","463","429","332","261","170","145","95","121","83","60","53","44","295"
"서울특별시 양천구 (1147000000)","464,185","464,185","2,246","2,712","3,010","3,252","3,431","3,495","4,031","4,109","4,296","4,210","4,753","5,072","4,858","4,875","5,426","5,566","5,497","6,053","6,682","6,319","6,173","6,341","6,337","6,366","6,442","6,330","6,351","6,355","5,659","5,599","5,506","5,446","5,378","5,725","5,758","6,496","6,896","7,070","7,245","7,297","6,410","7,020","7,206","7,549","8,452","8,638","9,127","9,645","9,391","9,244","8,871","8,225","7,521","7,778","7,817","7,051","7,796","7,683","7,885","7,314","6,704","6,561","6,001","6,399","5,293","4,661","5,020","3,527","3,888","3,746","3,685","3,570","2,892","2,367","2,503","2,364","2,716","2,131","1,807","1,815","1,540","1,505","1,244","1,151","978","874","720","618","514","465","375","281","198","173","104","131","81","64","48","22","163"
"서울특별시 강서구 (1150000000)","596,949","596,949","3,994","4,383","4,813","4,987","4,823","4,812","5,180","4,869","4,541","4,278","4,575","4,777","4,289","4,133","4,603","4,779","4,877","5,335","6,280","5,833","6,347","6,796","7,268","8,131","8,731","9,367","10,109","10,654","9,904","9,970","10,224","9,846","10,228","10,351","10,068","11,228","11,602","11,514","11,002","10,755","8,938","9,299","8,963","9,012","9,673","9,894","9,649","9,937","9,533","9,399","9,245","8,607","8,096","8,712","8,621","8,465","9,460","9,970","10,182","9,740","8,914","9,021","8,153","8,654","7,111","6,434","6,861","4,651","5,242","5,271","5,065","5,115","3,969","3,427","3,365","3,127","3,709","2,880","2,622","2,477","2,142","1,865","1,635","1,636","1,317","1,145","983","801","759","645","517","431","301","234","180","142","117","81","60","30","209"
"서울특별시 구로구 (1153000000)","404,497","404,497","2,572","2,814","3,078","3,388","3,167","3,325","3,379","3,311","3,294","3,066","3,122","3,208","2,889","2,702","2,948","2,991","3,134","3,567","4,051","4,011","4,156","4,624","4,845","5,404","5,706","5,911","6,206","6,337","6,033","5,908","6,012","5,897","5,938","5,988","6,168","6,829","7,354","7,209","7,145","7,047","5,985","6,282","6,259","6,025","6,639","6,743","6,674","6,911","6,752","6,546","6,537","6,153","5,890","6,219","6,202","5,869","6,574","6,840","7,222","6,633","6,370","6,213","5,800","6,086","5,234","4,789","4,931","3,609","4,074","4,051","3,901","4,077","3,093","2,742","2,797","2,691","3,150","2,345","2,036","1,929","1,819","1,455","1,352","1,167","962","778","660","515","442","365","310","235","190","128","84","106","76","39","38","14","155"
"서울특별시 금천구 (1154500000)","233,917","233,917","1,269","1,424","1,496","1,638","1,503","1,381","1,657","1,465","1,469","1,355","1,377","1,511","1,427","1,356","1,514","1,622","1,680","1,881","2,224","2,324","2,616","2,771","2,962","3,316","3,644","4,034","4,190","4,300","3,954","3,800","3,591","3,715","3,458","3,541","3,478","3,634","3,888","3,707","3,648","3,555","2,935","3,143","3,079","3,242","3,470","3,782","3,719","3,995","4,044","4,020","4,213","3,902","3,952","4,143","4,177","3,935","4,425","4,440","4,593","4,319","3,860","3,662","3,437","3,545","3,156","2,660","2,853","2,167","2,389","2,247","2,178","2,278","1,798","1,636","1,593","1,554","1,891","1,498","1,185","1,186","974","816","717","683","535","451","414","308","253","190","189","147","87","85","60","49","54","34","23","21","151"
"서울특별시 영등포구 (1156000000)","367,778","367,778","2,456","2,570","2,804","3,032","2,749","2,580","2,794","2,547","2,475","2,282","2,423","2,489","2,192","2,117","2,353","2,472","2,519","2,814","3,346","3,401","3,751","3,949","4,209","4,968","5,461","6,016","6,850","7,032","6,549","6,759","6,872","6,672","6,520","6,638","6,474","6,680","7,023","6,755","6,410","6,166","5,086","5,505","5,358","5,261","5,579","5,779","5,914","6,227","5,914","6,012","5,806","5,535","5,226","5,551","5,689","5,325","5,778","6,002","6,150","5,789","5,456","5,423","4,771","5,216","4,351","3,794","4,251","3,019","3,483","3,382","3,347","3,420","2,731","2,419","2,433","2,396","2,890","2,232","1,879","1,968","1,608","1,521","1,393","1,233","1,006","806","721","532","452","387","326","265","179","155","118","95","78","63","44","31","249"
"서울특별시 동작구 (1159000000)","396,203","396,203","2,278","2,542","2,730","3,052","2,897","2,827","3,053","2,859","2,940","2,705","2,745","2,849","2,649","2,548","2,781","2,823","2,949","3,268","3,787","4,061","4,752","4,964","5,592","6,340","7,013","7,321","7,648","7,792","7,070","6,843","6,777","6,477","6,305","6,373","6,073","6,770","6,881","6,794","6,807","6,685","5,574","5,926","5,842","5,818","6,197","6,245","6,294","6,656","6,343","6,409","6,147","5,840","5,348","5,649","5,914","5,535","6,024","6,257","6,510","6,067","5,724","5,720","5,114","5,492","4,673","4,130","4,461","3,323","3,583","3,655","3,646","3,774","3,103","2,649","2,662","2,572","3,109","2,460","2,175","2,053","1,746","1,547","1,419","1,226","1,104","859","728","566","467","457","378","291","205","169","134","125","74","55","61","32","267"
"서울특별시 관악구 (1162000000)","501,957","501,957","2,355","2,488","2,751","2,939","2,838","2,717","2,875","2,858","2,773","2,571","2,773","2,928","2,676","2,707","2,860","3,040","3,143","3,480","4,128","4,824","5,634","6,497","7,706","9,181","11,165","12,335","13,729","13,775","12,627","11,811","11,124","10,154","9,457","8,917","8,454","8,691","9,117","8,778","8,366","7,970","6,673","6,930","6,791","6,792","7,335","7,530","7,590","7,970","7,628","7,389","7,200","6,849","6,439","6,888","6,747","6,568","7,237","7,246","7,815","7,338","6,766","6,547","6,224","6,674","5,691","5,014","5,663","4,232","4,636","4,711","4,617","4,659","3,787","3,316","3,482","3,260","3,933","3,084","2,498","2,462","2,076","1,746","1,477","1,333","1,034","855","740","575","512","434","358","280","243","138","113","119","86","56","35","32","292"
"서울특별시 서초구 (1165000000)","433,951","433,951","2,674","2,813","3,140","3,507","3,724","3,904","4,465","4,395","4,597","4,248","4,591","4,663","4,482","4,246","4,753","4,723","4,465","4,682","5,308","5,019","5,140","5,041","5,175","5,308","5,640","5,846","6,203","6,469","6,162","6,304","6,290","6,062","6,233","6,246","6,299","7,044","7,561","7,667","7,844","7,786","6,823","7,605","7,521","7,487","8,201","8,437","8,562","8,647","8,508","8,086","7,476","6,900","5,662","6,255","6,318","5,824","5,867","5,950","6,093","5,888","5,649","5,706","5,136","5,471","4,497","4,348","4,431","3,099","3,501","3,553","3,591","3,525","3,015","2,576","2,439","2,325","2,456","2,034","1,718","1,637","1,394","1,332","1,108","1,101","865","702","665","505","445","464","381","312","223","189","136","159","98","66","46","37","187"
"서울특별시 강남구 (1168000000)","542,364","542,364","2,627","3,033","3,345","3,636","3,797","4,094","4,689","4,668","4,730","4,623","5,153","5,533","5,452","5,423","5,854","6,188","5,891","6,669","7,835","6,967","7,048","6,738","6,870","7,119","7,491","7,783","8,480","8,461","8,187","8,291","8,212","7,985","8,074","8,094","8,213","8,895","9,429","9,697","9,477","9,615","8,315","9,088","8,936","9,232","9,933","10,152","10,787","11,351","11,050","10,627","9,717","9,007","7,553","8,247","7,994","7,483","7,309","7,367","7,431","6,970","6,723","6,928","6,421","6,771","5,649","5,329","5,770","3,718","4,314","4,480","4,428","4,351","3,747","3,089","2,985","2,717","2,987","2,435","2,149","1,853","1,688","1,540","1,296","1,266","1,075","843","823","686","581","571","447","358","283","251","173","160","107","95","69","49","244"
"서울특별시 송파구 (1171000000)","666,635","666,635","4,278","4,820","5,377","5,449","5,422","5,335","5,961","5,752","5,823","5,552","5,630","6,060","5,710","5,444","5,971","6,124","6,042","6,837","7,954","7,552","7,548","8,140","8,391","9,071","9,516","9,906","10,584","10,749","10,442","10,507","10,795","10,634","10,835","10,921","10,746","11,807","12,524","12,320","12,005","11,839","9,772","10,614","10,278","10,356","10,945","11,207","11,563","12,203","11,544","11,483","11,081","10,354","9,582","10,232","10,064","9,840","10,244","10,653","11,115","10,412","9,673","9,924","8,577","9,498","7,837","7,024","7,574","5,005","5,496","5,424","5,168","5,221","4,222","3,515","3,442","3,194","3,588","2,879","2,361","2,248","1,993","1,828","1,636","1,547","1,225","1,129","1,000","797","653","608","532","448","299","233","173","197","114","83","60","47","248"
"서울특별시 강동구 (1174000000)","427,573","427,573","2,462","2,741","3,064","3,260","3,291","3,170","3,576","3,407","3,547","3,273","3,579","3,736","3,394","3,212","3,646","3,854","3,906","4,200","5,053","4,648","4,908","5,107","5,342","5,754","5,843","6,080","6,621","6,462","6,137","5,958","6,187","5,915","5,917","6,256","6,358","6,851","7,388","7,611","7,362","7,388","6,227","6,593","6,275","6,319","6,900","7,161","7,381","7,477","7,305","7,293","7,326","6,896","6,395","6,652","6,925","6,518","7,411","7,540","7,939","7,415","7,022","6,923","6,253","6,630","5,664","4,855","5,368","3,618","3,830","4,019","3,931","3,710","3,020","2,571","2,460","2,373","2,717","2,101","1,745","1,649","1,486","1,311","1,146","1,097","934","744","674","553","513","472","398","303","230","172","117","126","79","58","46","33","210"
