"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0세","2016년_계_1세","2016년_계_2세","2016년_계_3세","2016년_계_4세","2016년_계_5세","2016년_계_6세","2016년_계_7세","2016년_계_8세","2016년_계_9세","2016년_계_10세","2016년_계_11세","2016년_계_12세","2016년_계_13세","2016년_계_14세","2016년_계_15세","2016년_계_16세","2016년_계_17세","2016년_계_18세","2016년_계_19세","2016년_계_20세","2016년_계_21세","2016년_계_22세","2016년_계_23세","2016년_계_24세","2016년_계_25세","2016년_계_26세","2016년_계_27세","2016년_계_28세","2016년_계_29세","2016년_계_30세","2016년_계_31세","2016년_계_32세","2016년_계_33세","2016년_계_34세","2016년_계_35세","2016년_계_36세","2016년_계_37세","2016년_계_38세","2016년_계_39세","2016년_계_40세","2016년_계_41세","2016년_계_42세","2016년_계_43세","2016년_계_44세","2016년_계_45세","2016년_계_46세","2016년_계_47세","2016년_계_48세","2016년_계_49세","2016년_계_50세","2016년_계_51세","2016년_계_52세","2016년_계_53세","2016년_계_54세","2016년_계_55세","2016년_계_56세","2016년_계_57세","2016년_계_58세","2016년_계_59세","2016년_계_60세","2016년_계_61세","2016년_계_62세","2016년_계_63세","2016년_계_64세","2016년_계_65세","2016년_계_66세","2016년_계_67세","2016년_계_68세","2016년_계_69세","2016년_계_70세","2016년_계_71세","2016년_계_72세","2016년_계_73세","2016년_계_74세","2016년_계_75세","2016년_계_76세","2016년_계_77세","2016년_계_78세","2016년_계_79세","2016년_계_80세","2016년_계_81세","2016년_계_82세","2016년_계_83세","2016년_계_84세","2016년_계_85세","2016년_계_86세","2016년_계_87세","2016년_계_88세","2016년_계_89세","2016년_계_90세","2016년_계_91세","2016년_계_92세","2016년_계_93세","2016년_계_94세","2016년_계_95세","2016년_계_96세","2016년_계_97세","2016년_계_98세","2016년_계_99세","2016년_계_100세 이상"
"서울특별시  (1100000000)","9,930,616","9,930,616","70,798","76,955","74,874","73,373","80,575","76,864","77,045","72,626","76,968","81,236","75,032","72,584","80,747","83,494","83,929","93,942","109,021","105,498","110,501","119,457","124,384","131,324","137,974","143,570","153,476","156,688","148,170","148,420","150,832","147,863","150,266","153,975","152,964","168,317","177,985","177,958","173,622","169,579","142,893","153,415","150,185","152,306","164,654","170,558","174,048","183,494","177,412","174,932","170,766","159,817","147,088","156,684","156,280","149,347","161,060","166,057","172,023","161,051","150,331","150,116","136,764","144,313","121,914","107,645","116,678","81,961","91,255","92,072","90,835","92,833","75,089","65,982","66,730","65,391","77,388","62,084","52,772","51,775","44,952","40,378","36,169","33,524","27,914","23,338","20,704","16,809","14,956","13,516","11,429","9,357","6,907","5,522","4,324","4,229","3,171","2,312","1,793","1,239","913","801","5,475"
"서울특별시 종로구 (1111000000)","152,737","152,737","764","828","852","820","992","877","982","884","965","1,075","1,000","955","1,129","1,159","1,212","1,384","1,572","1,515","1,584","2,036","2,114","2,191","2,202","2,376","2,496","2,608","2,428","2,393","2,299","2,163","2,184","2,166","1,987","2,169","2,178","2,270","2,155","2,211","1,761","1,982","2,041","2,069","2,355","2,522","2,616","2,932","2,843","2,755","2,689","2,600","2,355","2,582","2,596","2,456","2,631","2,707","2,752","2,556","2,351","2,337","2,187","2,349","1,960","1,715","1,913","1,282","1,467","1,536","1,485","1,641","1,302","1,238","1,250","1,313","1,533","1,296","1,101","1,116","947","803","808","726","618","519","433","409","326","282","255","208","169","138","113","89","93","70","59","42","34","29","220"
"서울특별시 중구 (1114000000)","125,249","125,249","851","839","854","827","871","843","786","706","720","820","697","618","691","687","717","790","1,021","946","1,058","1,308","1,354","1,459","1,617","1,738","2,048","2,017","1,881","1,839","1,986","1,806","1,981","1,935","2,005","2,182","2,229","2,266","2,150","2,077","1,744","1,870","1,812","1,797","1,982","1,932","2,029","2,199","2,080","2,173","2,104","1,986","1,829","1,981","2,035","2,018","2,161","2,321","2,406","2,156","2,090","2,118","1,991","1,960","1,716","1,515","1,636","1,134","1,327","1,327","1,270","1,341","1,056","997","1,023","1,033","1,204","1,061","817","854","769","626","655","546","486","459","356","310","284","269","206","191","125","99","101","85","59","42","40","27","26","23","160"
"서울특별시 용산구 (1117000000)","230,241","230,241","1,577","1,694","1,601","1,658","1,756","1,679","1,549","1,558","1,557","1,714","1,523","1,534","1,652","1,593","1,724","1,885","2,164","2,181","2,163","2,396","2,401","2,774","2,890","2,948","3,304","3,422","3,285","3,315","3,459","3,491","3,551","3,547","3,676","4,015","4,243","4,242","4,184","3,890","3,344","3,467","3,472","3,523","3,836","3,956","4,286","4,346","4,194","4,234","3,951","3,699","3,310","3,587","3,632","3,554","3,728","3,728","3,881","3,737","3,387","3,452","3,262","3,333","2,862","2,504","2,634","1,871","2,197","2,163","2,206","2,238","1,805","1,678","1,741","1,745","2,124","1,772","1,483","1,513","1,408","1,301","1,192","1,037","921","746","657","584","510","469","380","311","247","213","167","154","135","85","63","47","40","29","315"
"서울특별시 성동구 (1120000000)","299,259","299,259","2,470","2,606","2,511","2,453","2,447","2,330","2,222","2,001","2,228","2,325","1,963","1,989","2,107","2,051","2,189","2,342","2,764","2,815","2,912","3,358","3,686","3,808","4,144","4,362","4,813","4,867","4,660","4,574","4,764","4,518","4,643","4,954","4,829","5,338","5,743","5,639","5,610","5,441","4,505","4,784","4,653","4,578","4,952","5,268","5,075","5,411","5,290","5,218","5,048","4,670","4,406","4,803","4,827","4,634","5,067","5,103","5,291","4,879","4,549","4,512","4,077","4,166","3,570","3,034","3,273","2,350","2,586","2,724","2,523","2,755","2,243","1,948","2,077","2,012","2,454","1,923","1,711","1,623","1,420","1,312","1,179","971","955","705","640","496","448","397","334","269","186","154","124","117","97","71","43","36","30","29","198"
"서울특별시 광진구 (1121500000)","357,215","357,215","2,553","2,652","2,443","2,419","2,623","2,472","2,539","2,316","2,481","2,724","2,581","2,390","2,716","2,849","2,779","3,158","3,810","3,726","3,970","4,281","4,695","5,067","5,435","5,848","6,323","6,546","6,326","6,330","6,561","6,329","6,278","6,352","6,097","6,740","6,835","6,594","6,313","6,036","5,000","5,553","5,221","5,366","5,661","5,942","6,180","6,530","6,317","6,108","6,273","5,841","5,437","5,729","5,593","5,403","5,823","6,075","6,162","5,687","5,397","5,204","4,623","4,983","4,093","3,573","3,962","2,620","2,933","2,858","3,013","2,978","2,447","2,135","2,170","2,130","2,418","1,975","1,717","1,638","1,510","1,281","1,087","1,063","841","718","640","496","448","437","351","297","194","156","113","119","107","81","56","37","27","27","174"
"서울특별시 동대문구 (1123000000)","355,069","355,069","2,241","2,566","2,505","2,470","2,728","2,534","2,527","2,355","2,518","2,628","2,359","2,301","2,415","2,566","2,591","2,831","3,409","3,281","3,566","4,117","4,498","4,711","5,411","5,559","6,082","6,135","5,714","5,403","5,443","5,113","5,187","5,246","5,123","5,703","6,018","6,150","5,861","5,802","4,904","5,378","5,160","5,311","5,527","5,798","5,941","6,197","6,013","5,893","5,821","5,479","5,230","5,510","5,466","5,254","5,745","6,033","6,358","5,985","5,589","5,664","5,108","5,449","4,646","4,112","4,530","3,177","3,562","3,489","3,618","3,660","3,007","2,818","2,798","2,872","3,372","2,678","2,322","2,284","1,997","1,727","1,550","1,370","1,183","973","850","673","566","520","433","385","254","178","168","154","133","96","83","46","31","32","242"
"서울특별시 중랑구 (1126000000)","411,005","411,005","2,843","3,136","2,937","2,971","3,172","2,981","2,788","2,652","2,785","2,880","2,717","2,552","2,785","2,972","2,966","3,441","4,127","4,057","4,315","4,860","5,094","5,510","5,813","5,884","6,426","6,260","5,910","5,863","5,953","5,847","5,974","6,290","6,140","6,676","7,197","7,188","7,166","6,760","5,568","5,950","5,620","5,786","6,187","6,536","6,658","7,215","7,004","7,172","7,301","6,987","6,671","7,040","7,116","6,730","7,691","8,041","8,087","7,566","6,947","6,883","6,318","6,589","5,590","4,800","5,222","3,726","4,004","4,068","4,028","4,131","3,282","2,846","2,925","2,904","3,458","2,773","2,209","2,226","1,891","1,684","1,488","1,404","1,149","947","796","688","570","502","480","356","260","219","154","147","116","77","75","45","26","34","154"
"서울특별시 성북구 (1129000000)","450,355","450,355","2,921","3,363","3,305","3,329","3,733","3,718","3,763","3,554","3,729","4,038","3,712","3,533","3,848","3,943","3,889","4,273","4,860","4,757","4,781","5,445","5,731","6,108","6,527","6,788","7,218","7,106","6,349","6,266","6,192","6,090","6,222","5,997","5,980","6,801","7,154","7,495","7,313","7,340","6,198","6,683","6,886","7,261","7,857","8,158","8,382","8,770","8,222","8,115","7,892","7,215","6,603","6,928","7,004","6,548","7,049","7,309","7,618","7,070","6,663","6,718","6,190","6,401","5,422","4,863","5,281","3,654","4,183","4,242","4,206","4,333","3,689","3,188","3,341","3,373","4,038","3,290","2,777","2,759","2,398","2,088","1,880","1,813","1,439","1,146","1,006","855","760","623","573","468","327","232","206","190","144","103","89","72","46","42","305"
"서울특별시 강북구 (1130500000)","327,195","327,195","1,855","2,064","2,071","2,127","2,387","2,239","2,244","2,158","2,183","2,303","2,169","2,145","2,320","2,494","2,519","2,833","3,333","3,239","3,505","3,794","3,994","4,306","4,483","4,441","4,834","4,694","4,262","4,218","4,194","4,006","4,073","4,356","4,218","4,795","5,208","5,264","5,201","5,243","4,337","4,705","4,628","4,785","5,270","5,553","5,649","6,030","5,794","5,719","5,765","5,345","4,893","5,359","5,212","5,215","5,649","5,820","6,150","5,803","5,331","5,402","4,969","5,252","4,517","3,895","4,412","3,241","3,554","3,715","3,753","3,909","3,121","2,814","2,921","2,893","3,574","2,891","2,344","2,246","1,911","1,711","1,564","1,360","1,069","889","772","587","556","501","411","318","234","203","155","142","108","89","65","45","31","26","241"
