"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0세","2017년_계_1세","2017년_계_2세","2017년_계_3세","2017년_계_4세","2017년_계_5세","2017년_계_6세","2017년_계_7세","2017년_계_8세","2017년_계_9세","2017년_계_10세","2017년_계_11세","2017년_계_12세","2017년_계_13세","2017년_계_14세","2017년_계_15세","2017년_계_16세","2017년_계_17세","2017년_계_18세","2017년_계_19세","2017년_계_20세","2017년_계_21세","2017년_계_22세","2017년_계_23세","2017년_계_24세","2017년_계_25세","2017년_계_26세","2017년_계_27세","2017년_계_28세","2017년_계_29세","2017년_계_30세","2017년_계_31세","2017년_계_32세","2017년_계_33세","2017년_계_34세","2017년_계_35세","2017년_계_36세","2017년_계_37세","2017년_계_38세","2017년_계_39세","2017년_계_40세","2017년_계_41세","2017년_계_42세","2017년_계_43세","2017년_계_44세","2017년_계_45세","2017년_계_46세","2017년_계_47세","2017년_계_48세","2017년_계_49세","2017년_계_50세","2017년_계_51세","2017년_계_52세","2017년_계_53세","2017년_계_54세","2017년_계_55세","2017년_계_56세","2017년_계_57세","2017년_계_58세","2017년_계_59세","2017년_계_60세","2017년_계_61세","2017년_계_62세","2017년_계_63세","2017년_계_64세","2017년_계_65세","2017년_계_66세","2017년_계_67세","2017년_계_68세","2017년_계_69세","2017년_계_70세","2017년_계_71세","2017년_계_72세","2017년_계_73세","2017년_계_74세","2017년_계_75세","2017년_계_76세","2017년_계_77세","2017년_계_78세","2017년_계_79세","2017년_계_80세","2017년_계_81세","2017년_계_82세","2017년_계_83세","2017년_계_84세","2017년_계_85세","2017년_계_86세","2017년_계_87세","2017년_계_88세","2017년_계_89세","2017년_계_90세","2017년_계_91세","2017년_계_92세","2017년_계_93세","2017년_계_94세","2017년_계_95세","2017년_계_96세","2017년_계_97세","2017년_계_98세","2017년_계_99세","2017년_계_100세 이상"
"서울특별시  (1100000000)","9,857,426","9,857,426","61,253","70,532","74,322","72,482","71,688","78,941","75,386","75,929","71,772","76,157","80,577","74,502","72,380","80,264","83,081","83,791","93,326","108,584","105,344","112,807","120,957","125,632","134,735","143,930","149,420","159,845","161,550","150,999","149,562","150,485","146,573","148,015","150,838","149,335","163,855","173,092","173,138","169,187","165,335","139,821","150,481","147,416","150,031","162,292","168,414","171,738","181,275","175,113","172,711","168,518","157,576","144,996","154,444","153,733","146,916","158,349","163,134","168,880","158,018","147,497","147,029","133,804","141,178","119,297","105,263","114,400","80,233","89,224","89,871","88,753","90,591","73,185","64,285","64,933","63,515","74,898","60,021","50,860","49,861","43,160","38,593","34,377","31,713","26,206","21,753","19,206","15,377","13,515","12,208","10,165","8,200","5,892","4,695","3,589","3,501","2,569","1,851","1,436","1,010","736","5,519"
"서울특별시 종로구 (1111000000)","154,770","154,770","652","794","911","895","859","1,046","909","1,012","919","1,006","1,089","1,039","1,008","1,110","1,167","1,208","1,374","1,558","1,541","1,884","2,149","2,128","2,287","2,384","2,576","2,636","2,672","2,481","2,304","2,290","2,188","2,131","2,147","2,005","2,191","2,179","2,332","2,219","2,227","1,814","2,018","2,043","2,101","2,393","2,557","2,657","2,953","2,865","2,775","2,710","2,630","2,399","2,618","2,655","2,513","2,649","2,726","2,768","2,529","2,370","2,341","2,175","2,329","1,939","1,706","1,862","1,275","1,465","1,501","1,465","1,618","1,279","1,201","1,206","1,277","1,489","1,266","1,094","1,086","923","778","779","694","576","493","421","388","302","260","231","187","149","115","95","79","81","60","46","37","26","226"
"서울특별시 중구 (1114000000)","125,709","125,709","762","865","849","839","824","862","785","746","699","696","791","659","581","666","682","738","808","1,016","1,010","1,178","1,376","1,408","1,538","1,808","1,856","2,154","2,085","1,927","1,921","2,029","1,875","2,002","1,936","2,003","2,168","2,261","2,236","2,175","2,051","1,688","1,811","1,762","1,777","1,941","1,915","2,005","2,207","2,081","2,165","2,137","2,043","1,834","1,983","2,066","2,071","2,165","2,288","2,371","2,130","2,071","2,075","1,989","1,952","1,714","1,455","1,619","1,104","1,295","1,284","1,258","1,308","1,013","986","976","1,011","1,185","1,022","781","821","729","595","621","515","457","423","318","292","260","250","193","176","104","77","79","69","48","38","33","21","21","166"
"서울특별시 용산구 (1117000000)","229,161","229,161","1,326","1,502","1,626","1,527","1,564","1,698","1,582","1,494","1,498","1,493","1,689","1,510","1,473","1,615","1,577","1,714","1,874","2,154","2,180","2,222","2,489","2,471","2,847","3,049","3,141","3,509","3,693","3,547","3,547","3,700","3,591","3,624","3,690","3,683","3,954","4,176","4,089","4,089","3,805","3,315","3,373","3,370","3,450","3,761","3,858","4,195","4,273","4,082","4,151","3,928","3,635","3,304","3,577","3,552","3,507","3,675","3,731","3,831","3,686","3,348","3,419","3,186","3,264","2,767","2,423","2,571","1,824","2,143","2,097","2,140","2,151","1,753","1,617","1,694","1,704","2,032","1,719","1,417","1,436","1,352","1,238","1,133","966","849","690","612","538","467","427","344","265","212","180","152","141","113","71","52","43","33","312"
"서울특별시 성동구 (1120000000)","304,808","304,808","2,336","2,592","2,600","2,482","2,438","2,428","2,278","2,142","1,959","2,182","2,284","1,950","1,939","2,077","2,045","2,186","2,411","2,806","2,889","3,267","3,637","3,900","4,144","4,559","4,771","5,260","5,185","4,845","4,681","4,958","4,720","4,797","5,180","4,930","5,497","5,859","5,793","5,709","5,401","4,510","4,737","4,611","4,576","4,903","5,198","5,041","5,398","5,325","5,238","5,156","4,773","4,451","4,919","4,837","4,680","5,085","5,118","5,346","4,866","4,539","4,507","4,068","4,094","3,544","3,019","3,243","2,354","2,564","2,668","2,496","2,730","2,201","1,920","2,067","1,952","2,415","1,857","1,627","1,562","1,360","1,283","1,118","921","911","667","587","449","397","356","305","222","160","125","98","92","78","60","37","27","28","215"
"서울특별시 광진구 (1121500000)","357,703","357,703","2,183","2,402","2,561","2,386","2,356","2,609","2,429","2,509","2,295","2,482","2,722","2,577","2,442","2,695","2,821","2,762","3,147","3,800","3,745","4,164","4,549","4,940","5,388","5,928","6,375","6,907","6,954","6,491","6,518","6,499","6,312","6,227","6,232","5,932","6,507","6,637","6,386","6,136","5,948","4,881","5,477","5,159","5,349","5,560","5,910","6,076","6,421","6,241","6,089","6,190","5,797","5,392","5,721","5,535","5,361","5,741","5,949","6,073","5,652","5,293","5,115","4,557","4,891","4,018","3,512","3,918","2,565","2,866","2,780","2,956","2,913","2,382","2,081","2,103","2,097","2,359","1,897","1,669","1,596","1,459","1,239","1,047","1,026","785","680","609","471","399","387","314","257","166","136","100","106","88","66","43","29","24","177"
"서울특별시 동대문구 (1123000000)","350,647","350,647","2,007","2,267","2,476","2,397","2,363","2,587","2,408","2,443","2,300","2,446","2,538","2,305","2,224","2,350","2,526","2,522","2,792","3,383","3,307","3,967","4,435","4,630","5,077","5,789","5,859","6,303","6,092","5,533","5,238","5,210","4,926","4,942","4,960","4,934","5,550","5,817","5,892","5,680","5,643","4,783","5,169","4,976","5,184","5,375","5,629","5,831","6,132","5,889","5,847","5,758","5,434","5,174","5,476","5,419","5,189","5,664","5,958","6,236","5,891","5,512","5,551","4,985","5,349","4,567","4,004","4,440","3,089","3,457","3,400","3,515","3,588","2,959","2,734","2,702","2,792","3,240","2,580","2,229","2,176","1,911","1,643","1,483","1,286","1,138","906","786","597","506","464","370","345","221","158","137","132","109","72","69","38","29","246"
"서울특별시 중랑구 (1126000000)","408,226","408,226","2,536","2,839","3,001","2,787","2,895","3,050","2,856","2,713","2,610","2,731","2,823","2,660","2,471","2,753","2,935","2,971","3,402","4,126","4,084","4,329","4,907","5,151","5,603","5,895","6,016","6,555","6,352","5,980","5,915","5,945","5,888","5,969","6,096","6,072","6,533","6,997","6,961","6,936","6,589","5,407","5,808","5,496","5,666","6,109","6,454","6,594","7,194","6,923","7,163","7,245","6,931","6,633","7,029","7,103","6,681","7,587","7,972","7,999","7,520","6,859","6,764","6,233","6,495","5,508","4,732","5,164","3,663","3,954","3,966","3,970","4,052","3,206","2,794","2,884","2,827","3,361","2,704","2,158","2,142","1,817","1,612","1,423","1,321","1,098","875","730","640","520","459","435","309","222","187","129","122","100","62","62","36","20","165"
"서울특별시 성북구 (1129000000)","444,055","444,055","2,508","3,075","3,295","3,219","3,300","3,685","3,694","3,696","3,449","3,678","3,962","3,621","3,428","3,840","3,904","3,879","4,283","4,847","4,797","5,194","5,729","5,938","6,343","6,780","6,870","7,176","7,000","6,160","5,985","5,900","5,801","5,924","5,796","5,750","6,573","6,941","7,306","7,107","7,154","6,095","6,570","6,744","7,077","7,741","8,020","8,190","8,637","8,140","8,004","7,833","7,116","6,500","6,826","6,838","6,434","6,911","7,122","7,452","6,888","6,503","6,520","6,003","6,226","5,235","4,722","5,185","3,563","4,060","4,117","4,066","4,233","3,541","3,101","3,232","3,247","3,874","3,145","2,632","2,647","2,288","1,983","1,764","1,684","1,334","1,068","932","788","686","566","504","410","280","194","160","152","112","89","69","62","41","312"
"서울특별시 강북구 (1130500000)","324,479","324,479","1,677","1,898","2,003","1,975","2,065","2,249","2,134","2,193","2,119","2,140","2,264","2,166","2,087","2,280","2,478","2,477","2,831","3,361","3,280","3,590","3,934","4,120","4,394","4,659","4,601","4,947","4,741","4,247","4,227","4,142","3,931","4,046","4,146","4,153","4,709","5,020","5,055","5,019","5,070","4,222","4,583","4,543","4,696","5,226","5,481","5,544","5,965","5,794","5,684","5,744","5,304","4,861","5,352","5,223","5,157","5,596","5,796","6,101","5,784","5,267","5,338","4,865","5,167","4,476","3,845","4,332","3,188","3,497","3,655","3,706","3,796","3,049","2,762","2,862","2,853","3,488","2,817","2,232","2,156","1,834","1,633","1,504","1,294","993","828","727","527","489","455","361","283","201","172","134","115","90","79","47","36","25","217"
