"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0세","2019년_계_1세","2019년_계_2세","2019년_계_3세","2019년_계_4세","2019년_계_5세","2019년_계_6세","2019년_계_7세","2019년_계_8세","2019년_계_9세","2019년_계_10세","2019년_계_11세","2019년_계_12세","2019년_계_13세","2019년_계_14세","2019년_계_15세","2019년_계_16세","2019년_계_17세","2019년_계_18세","2019년_계_19세","2019년_계_20세","2019년_계_21세","2019년_계_22세","2019년_계_23세","2019년_계_24세","2019년_계_25세","2019년_계_26세","2019년_계_27세","2019년_계_28세","2019년_계_29세","2019년_계_30세","2019년_계_31세","2019년_계_32세","2019년_계_33세","2019년_계_34세","2019년_계_35세","2019년_계_36세","2019년_계_37세","2019년_계_38세","2019년_계_39세","2019년_계_40세","2019년_계_41세","2019년_계_42세","2019년_계_43세","2019년_계_44세","2019년_계_45세","2019년_계_46세","2019년_계_47세","2019년_계_48세","2019년_계_49세","2019년_계_50세","2019년_계_51세","2019년_계_52세","2019년_계_53세","2019년_계_54세","2019년_계_55세","2019년_계_56세","2019년_계_57세","2019년_계_58세","2019년_계_59세","2019년_계_60세","2019년_계_61세","2019년_계_62세","2019년_계_63세","2019년_계_64세","2019년_계_65세","2019년_계_66세","2019년_계_67세","2019년_계_68세","2019년_계_69세","2019년_계_70세","2019년_계_71세","2019년_계_72세","2019년_계_73세","2019년_계_74세","2019년_계_75세","2019년_계_76세","2019년_계_77세","2019년_계_78세","2019년_계_79세","2019년_계_80세","2019년_계_81세","2019년_계_82세","2019년_계_83세","2019년_계_84세","2019년_계_85세","2019년_계_86세","2019년_계_87세","2019년_계_88세","2019년_계_89세","2019년_계_90세","2019년_계_91세","2019년_계_92세","2019년_계_93세","2019년_계_94세","2019년_계_95세","2019년_계_96세","2019년_계_97세","2019년_계_98세","2019년_계_99세","2019년_계_100세 이상"
"서울특별시  (1100000000)","9,729,107","9,729,107","51,145","54,779","59,128","65,734","70,013","69,139","69,031","76,160","73,259","74,305","70,378","74,930","79,942","73,725","71,582","79,677","82,287","82,767","92,621","111,662","110,727","117,160","127,846","137,538","148,693","158,278","163,318","170,959","168,286","153,818","149,445","148,368","142,549","141,939","143,557","141,456","154,667","163,441","163,787","160,750","157,941","133,933","145,000","142,609","145,629","157,862","163,865","167,243","176,438","170,463","167,963","164,022","153,253","140,798","149,743","148,790","142,141","153,039","157,352","162,867","152,404","141,959","141,460","128,754","136,069","114,979","101,482","110,044","76,918","85,733","86,235","84,893","86,715","69,827","61,120","61,736","59,938","70,345","56,062","47,216","45,815","39,499","34,909","30,674","27,939","22,645","18,612","16,033","12,629","10,732","9,536","7,732","6,115","4,258","3,207","2,451","2,420","1,753","1,241","977","6,244"
"서울특별시 종로구 (1111000000)","151,290","151,290","609","590","702","765","874","877","862","1,000","917","1,015","927","1,012","1,167","1,056","991","1,134","1,150","1,182","1,337","1,792","1,889","1,940","2,183","2,394","2,518","2,535","2,583","2,602","2,578","2,350","2,115","2,153","2,037","1,910","1,957","1,775","2,061","2,086","2,185","2,097","2,165","1,798","1,928","1,996","2,094","2,295","2,516","2,578","2,898","2,809","2,725","2,631","2,534","2,334","2,544","2,573","2,416","2,608","2,658","2,691","2,436","2,254","2,272","2,083","2,229","1,857","1,634","1,795","1,202","1,366","1,465","1,389","1,516","1,197","1,135","1,150","1,178","1,370","1,160","978","1,010","844","702","684","596","506","416","351","321","243","207","178","140","120","80","66","59","66","48","36","253"
"서울특별시 중구 (1114000000)","126,171","126,171","698","659","724","813","799","766","765","771","714","680","636","661","697","582","578","691","694","731","835","1,203","1,251","1,342","1,542","1,714","1,833","2,027","2,146","2,385","2,182","2,051","1,998","2,150","2,028","1,986","2,040","1,950","2,117","2,173","2,103","2,117","1,972","1,683","1,718","1,643","1,662","1,839","1,818","1,935","2,157","2,064","2,138","2,191","2,077","1,822","2,001","2,060","2,013","2,140","2,246","2,268","2,104","1,994","2,020","1,896","1,904","1,707","1,420","1,562","1,076","1,265","1,249","1,202","1,274","991","955","958","928","1,117","971","735","756","679","566","568","468","401","368","279","244","213","211","155","128","82","55","54","54","38","30","28","187"
"서울특별시 용산구 (1117000000)","228,670","228,670","1,255","1,241","1,313","1,477","1,522","1,448","1,415","1,537","1,448","1,476","1,432","1,442","1,557","1,451","1,425","1,589","1,609","1,669","1,908","2,309","2,402","2,477","2,769","2,801","3,233","3,497","3,588","4,007","4,181","3,882","3,836","3,795","3,638","3,659","3,660","3,589","3,831","4,071","3,993","3,961","3,579","3,130","3,294","3,228","3,310","3,649","3,713","3,989","4,179","4,088","4,087","3,897","3,622","3,293","3,541","3,469","3,468","3,645","3,678","3,759","3,568","3,245","3,328","3,057","3,115","2,665","2,315","2,436","1,745","2,011","2,001","2,008","2,035","1,635","1,522","1,564","1,599","1,876","1,570","1,312","1,304","1,230","1,094","1,018","860","734","597","518","454","367","347","276","218","149","133","110","113","80","62","35","353"
"서울특별시 성동구 (1120000000)","300,889","300,889","2,060","2,134","2,208","2,382","2,397","2,317","2,209","2,198","2,091","1,987","1,812","2,021","2,071","1,819","1,853","2,010","2,031","2,164","2,450","3,204","3,416","3,636","4,034","4,500","4,761","5,073","5,108","5,307","5,254","4,896","4,763","4,942","4,772","4,871","5,071","4,943","5,342","5,510","5,493","5,257","4,974","4,211","4,423","4,371","4,365","4,547","4,934","4,913","5,264","5,167","5,159","5,080","4,738","4,354","4,856","4,748","4,524","4,881","4,951","5,155","4,635","4,411","4,266","3,881","3,918","3,378","2,894","3,105","2,197","2,448","2,533","2,338","2,544","2,069","1,796","1,900","1,843","2,210","1,715","1,476","1,385","1,230","1,141","1,005","799","730","562","472","377","313","272","224","171","114","87","60","59","52","35","28","234"
"서울특별시 광진구 (1121500000)","351,350","351,350","1,779","1,831","1,904","2,087","2,272","2,235","2,248","2,498","2,357","2,446","2,279","2,422","2,685","2,539","2,401","2,637","2,785","2,728","3,115","3,982","4,127","4,622","5,172","5,877","6,385","6,956","7,285","7,550","7,275","6,502","6,397","6,194","5,798","5,681","5,596","5,270","5,762","5,963","5,837","5,677","5,530","4,605","5,167","4,902","5,125","5,426","5,676","5,821","6,194","6,044","5,908","6,029","5,647","5,203","5,431","5,258","5,113","5,487","5,743","5,819","5,387","5,038","4,953","4,359","4,648","3,831","3,322","3,754","2,447","2,712","2,648","2,816","2,804","2,238","1,941","2,012","1,945","2,209","1,801","1,529","1,497","1,335","1,112","943","879","704","580","502","390","320","299","217","205","117","98","82","61","55","43","28","205"
"서울특별시 동대문구 (1123000000)","346,194","346,194","1,815","1,896","2,107","2,274","2,375","2,334","2,251","2,450","2,303","2,310","2,171","2,325","2,424","2,183","2,108","2,263","2,466","2,520","2,816","3,951","4,201","4,593","5,098","5,637","5,956","6,314","6,040","6,092","5,785","5,312","5,028","4,978","4,703","4,806","4,847","4,850","5,338","5,729","5,728","5,451","5,410","4,597","4,929","4,759","4,962","5,176","5,418","5,550","5,865","5,797","5,722","5,645","5,295","5,125","5,330","5,223","5,002","5,485","5,765","6,016","5,655","5,293","5,289","4,776","5,112","4,397","3,816","4,251","2,914","3,286","3,236","3,345","3,416","2,806","2,565","2,544","2,605","2,985","2,406","2,034","1,930","1,668","1,461","1,284","1,119","1,000","765","654","486","396","344","282","247","161","107","98","102","83","46","55","276"
"서울특별시 중랑구 (1126000000)","397,015","397,015","2,090","2,176","2,282","2,561","2,659","2,453","2,559","2,735","2,641","2,556","2,451","2,545","2,606","2,525","2,404","2,664","2,882","2,929","3,409","4,117","4,135","4,410","4,971","5,284","5,789","6,173","6,329","6,755","6,395","6,010","5,782","5,828","5,655","5,658","5,645","5,655","5,958","6,422","6,431","6,488","6,150","5,038","5,461","5,205","5,316","5,796","6,220","6,388","6,981","6,760","7,039","7,168","6,852","6,495","6,906","7,002","6,595","7,374","7,699","7,731","7,325","6,580","6,534","6,035","6,283","5,372","4,593","4,958","3,516","3,783","3,824","3,794","3,873","3,091","2,670","2,738","2,642","3,147","2,524","2,034","2,004","1,704","1,454","1,278","1,148","959","753","590","504","411","355","326","227","158","123","98","82","66","45","35","186"
"서울특별시 성북구 (1129000000)","442,650","442,650","2,172","2,427","2,688","3,116","3,260","3,257","3,251","3,600","3,648","3,575","3,340","3,517","3,820","3,479","3,412","3,828","3,883","3,909","4,410","5,504","5,771","5,947","6,519","6,740","7,121","7,241","7,029","7,118","6,695","6,089","5,797","5,674","5,613","5,681","5,830","5,840","6,533","6,927","7,186","6,960","6,986","6,001","6,299","6,500","6,760","7,537","7,805","8,058","8,460","8,135","7,947","7,692","7,084","6,448","6,691","6,734","6,274","6,791","6,959","7,221","6,714","6,297","6,339","5,789","6,023","5,085","4,498","5,008","3,409","3,885","3,954","3,861","4,006","3,350","2,956","3,011","3,057","3,651","2,899","2,453","2,450","2,073","1,804","1,572","1,484","1,150","917","779","593","535","453","374","324","201","145","99","109","82","63","46","363"
"서울특별시 강북구 (1130500000)","313,954","313,954","1,189","1,344","1,590","1,748","1,808","1,791","1,842","2,068","2,008","2,032","2,026","2,039","2,155","2,060","2,014","2,214","2,451","2,447","2,844","3,410","3,515","3,827","4,156","4,359","4,509","4,740","4,706","4,934","4,650","3,954","3,937","3,851","3,660","3,727","3,832","3,815","4,327","4,619","4,599","4,668","4,701","3,926","4,323","4,301","4,480","4,993","5,320","5,407","5,805","5,673","5,536","5,585","5,282","4,831","5,254","5,090","5,046","5,414","5,623","5,945","5,547","5,136","5,127","4,695","4,975","4,317","3,749","4,147","3,090","3,394","3,494","3,579","3,641","2,869","2,635","2,726","2,682","3,262","2,624","2,075","1,961","1,700","1,486","1,329","1,156","835","677","582","442","389","344","282","196","142","118","92","82","63","48","32","234"
