"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"광주광역시 북구 중흥1동(2917051000)","4,861","4,861","233","173","901","956","618","650","676","447","187","18","2"
"광주광역시 북구 중흥2동(2917052000)","6,814","6,814","257","455","1,379","773","846","980","978","772","330","43","1"
"광주광역시 북구 중흥3동(2917053000)","4,807","4,807","252","289","911","701","704","655","623","461","190","19","2"
"광주광역시 북구 중앙동(2917055500)","3,110","3,110","80","109","465","399","377","543","560","369","164","39","5"
"광주광역시 북구 임동(2917057000)","8,878","8,878","661","599","1,140","1,360","1,266","1,313","1,285","880","321","51","2"
"광주광역시 북구 신안동(2917058000)","11,916","11,916","443","694","2,227","1,787","1,557","1,870","1,728","1,090","476","41","3"
"광주광역시 북구 용봉동(2917059000)","38,476","38,476","2,572","3,725","7,194","4,754","5,505","6,657","4,661","2,374","916","115","3"
"광주광역시 북구 운암1동(2917060100)","19,369","19,369","1,702","2,259","2,463","2,241","3,094","3,063","2,756","1,300","430","60","1"
"광주광역시 북구 운암2동(2917060200)","12,045","12,045","514","864","1,707","1,300","1,612","2,077","2,108","1,278","524","58","3"
"광주광역시 북구 운암3동(2917060300)","12,784","12,784","906","1,371","1,806","1,443","1,820","2,239","1,909","854","372","64","0"
"광주광역시 북구 동림동(2917061500)","23,524","23,524","2,150","2,268","3,033","3,506","3,849","3,867","2,869","1,392","514","71","5"
"광주광역시 북구 우산동(2917062000)","10,456","10,456","391","649","1,321","967","1,238","1,773","2,066","1,380","586","84","1"
"광주광역시 북구 풍향동(2917063500)","5,802","5,802","518","517","706","777","911","879","754","496","215","27","2"
"광주광역시 북구 문화동(2917065000)","20,980","20,980","1,669","1,633","2,567","3,020","2,974","3,427","3,095","1,727","755","106","7"
"광주광역시 북구 문흥1동(2917065600)","16,069","16,069","1,075","1,856","2,310","1,594","2,401","2,980","2,247","1,089","459","56","2"
"광주광역시 북구 문흥2동(2917065700)","15,746","15,746","1,022","1,413","2,507","1,951","2,321","2,538","2,154","1,207","546","84","3"
"광주광역시 북구 두암1동(2917066100)","7,807","7,807","265","619","1,153","749","983","1,368","1,325","937","357","50","1"
"광주광역시 북구 두암2동(2917066200)","16,117","16,117","843","1,324","2,285","1,717","2,181","2,885","2,694","1,533","568","86","1"
"광주광역시 북구 두암3동(2917066300)","13,534","13,534","434","782","1,558","1,275","1,520","2,556","2,831","1,639","822","112","5"
"광주광역시 북구 삼각동(2917066600)","14,174","14,174","966","1,648","2,247","1,667","2,367","2,649","1,559","730","295","46","0"
"광주광역시 북구 일곡동(2917066900)","29,947","29,947","2,317","4,475","4,658","2,882","5,511","5,679","2,506","1,181","648","86","4"
"광주광역시 북구 매곡동(2917067300)","13,945","13,945","1,122","1,732","1,954","1,649","2,236","2,429","1,637","763","363","59","1"
"광주광역시 북구 오치1동(2917067600)","11,011","11,011","599","998","1,741","1,228","1,590","2,135","1,585","789","297","47","2"
"광주광역시 북구 오치2동(2917067700)","12,562","12,562","504","771","1,882","1,447","1,525","2,395","2,230","1,153","576","79","0"
"광주광역시 북구 석곡동(2917068500)","2,532","2,532","65","121","235","210","212","511","575","357","215","30","1"
"광주광역시 북구 건국동(2917069500)","22,508","22,508","2,664","2,550","2,726","3,477","4,029","3,370","2,084","1,013","514","79","2"
"광주광역시 북구 양산동(2917069600)","37,982","37,982","3,873","4,082","5,162","5,835","6,552","5,909","3,870","1,832","739","123","5"
"광주광역시 북구 신용동(2917069700)","30,017","30,017","4,363","3,863","3,298","5,206","6,409","3,792","1,961","794","286","44","1"
"광주광역시 광산구 (2920000000)","404,413","404,413","38,187","51,567","58,729","53,393","75,389","65,420","35,272","17,185","8,031","1,189","51"
"광주광역시 광산구 송정1동(2920051500)","10,937","10,937","656","1,095","1,720","1,165","1,794","1,861","1,367","892","337","47","3"
"광주광역시 광산구 송정2동(2920052500)","6,626","6,626","315","369","1,040","885","829","1,102","938","784","316","42","6"
"광주광역시 광산구 도산동(2920054000)","15,375","15,375","1,382","1,584","2,133","2,103","2,636","2,455","1,588","1,016","416","60","2"
"광주광역시 광산구 신흥동(2920055000)","4,618","4,618","299","394","590","543","699","783","640","464","172","31","3"
"광주광역시 광산구 어룡동(2920056500)","32,885","32,885","3,815","3,711","4,005","5,329","6,125","4,607","3,173","1,389","635","91","5"
"광주광역시 광산구 우산동(2920058000)","29,050","29,050","2,348","2,148","4,388","4,592","4,250","5,107","3,625","1,601","855","136","0"
"광주광역시 광산구 월곡1동(2920060000)","11,009","11,009","673","1,102","1,867","1,237","1,586","2,199","1,465","575","265","40","0"
"광주광역시 광산구 월곡2동(2920061000)","15,863","15,863","1,041","1,955","2,442","1,742","2,723","3,048","1,791","770","313","37","1"
"광주광역시 광산구 비아동(2920062000)","7,364","7,364","660","774","866","884","1,392","1,395","741","400","224","28","0"
"광주광역시 광산구 첨단1동(2920062400)","27,399","27,399","1,964","3,406","5,031","3,428","4,263","5,504","2,492","826","408","75","2"
"광주광역시 광산구 첨단2동(2920062600)","43,354","43,354","3,709","5,505","7,854","5,758","7,850","7,760","3,039","1,168","625","83","3"
"광주광역시 광산구 신가동(2920063000)","18,542","18,542","2,009","2,804","2,639","2,300","3,843","2,901","1,179","612","219","34","2"
"광주광역시 광산구 운남동(2920063500)","31,115","31,115","2,734","3,851","4,670","3,884","5,700","5,590","2,620","1,375","620","68","3"
"광주광역시 광산구 수완동(2920063700)","77,635","77,635","9,655","13,622","9,647","9,953","17,875","10,339","4,122","1,742","583","96","1"
"광주광역시 광산구 하남동(2920064000)","25,193","25,193","3,060","3,332","3,333","3,700","5,140","3,638","2,020","650","272","46","2"
"광주광역시 광산구 임곡동(2920065000)","2,119","2,119","53","116","156","109","180","381","472","334","262","55","1"
"광주광역시 광산구 동곡동(2920066000)","1,884","1,884","40","71","162","140","173","308","410","362","188","27","3"
"광주광역시 광산구 평동(2920067000)","4,069","4,069","132","137","419","456","487","650","812","573","339","61","3"
"광주광역시 광산구 삼도동(2920068000)","2,206","2,206","50","116","163","148","194","368","471","360","296","37","3"
"광주광역시 광산구 본량동(2920069000)","2,026","2,026","29","96","145","123","213","314","389","358","310","47","2"
"광주광역시 광산구 신창동(2920070000)","35,144","35,144","3,563","5,379","5,459","4,914","7,437","5,110","1,918","934","376","48","6"
"대전광역시  (3000000000)","1,454,679","1,454,679","109,542","143,384","210,407","190,417","232,653","239,536","188,339","91,868","42,321","6,000","212"
"대전광역시 동구 (3011000000)","223,206","223,206","14,590","19,730","30,171","25,527","33,845","36,275","34,070","19,060","8,753","1,143","42"
"대전광역시 동구 중앙동(3011051500)","4,636","4,636","112","138","337","375","490","897","1,149","774","324","38","2"
"대전광역시 동구 효동(3011053000)","24,787","24,787","2,400","3,317","2,567","2,762","4,857","3,558","2,987","1,599","637","101","2"
"대전광역시 동구 신인동(3011054500)","12,069","12,069","868","870","1,316","1,561","1,731","1,934","1,983","1,203","539","62","2"
"대전광역시 동구 판암1동(3011055100)","12,400","12,400","756","964","1,457","1,458","1,706","2,146","2,013","1,210","609","79","2"
"대전광역시 동구 판암2동(3011055200)","8,603","8,603","250","374","761","715","993","1,465","1,949","1,282","712","101","1"
"대전광역시 동구 용운동(3011056000)","21,871","21,871","1,678","1,823","3,334","2,975","3,252","3,613","3,049","1,443","614","85","5"
"대전광역시 동구 대동(3011058500)","15,009","15,009","1,362","1,408","1,761","1,948","2,373","2,352","2,052","1,124","546","81","2"
"대전광역시 동구 자양동(3011059000)","10,576","10,576","366","790","2,742","1,038","1,219","1,536","1,548","898","390","46","3"
"대전광역시 동구 가양1동(3011062000)","13,800","13,800","782","1,083","1,972","1,409","2,023","2,299","2,284","1,300","583","61","4"
"대전광역시 동구 가양2동(3011063000)","18,313","18,313","897","1,748","2,893","1,896","2,650","3,307","2,772","1,426","644","76","4"
"대전광역시 동구 용전동(3011064000)","20,559","20,559","1,054","1,477","3,934","3,019","3,135","3,285","2,713","1,345","534","61","2"
"대전광역시 동구 성남동(3011066500)","12,110","12,110","864","929","1,322","1,451","1,758","2,036","1,986","1,176","505","80","3"
"대전광역시 동구 홍도동(3011067000)","11,017","11,017","561","785","2,022","1,260","1,533","1,839","1,700","864","406","47","0"
"대전광역시 동구 삼성동(3011069500)","14,200","14,200","762","1,229","1,493","1,361","2,121","2,482","2,481","1,505","683","82","1"
"대전광역시 동구 대청동(3011072500)","2,437","2,437","57","133","196","147","252","452","583","324","251","42","0"
"대전광역시 동구 산내동(3011074000)","20,819","20,819","1,821","2,662","2,064","2,152","3,752","3,074","2,821","1,587","776","101","9"
"대전광역시 중구 (3014000000)","232,309","232,309","14,353","21,311","30,374","25,353","35,749","39,008","34,674","20,579","9,547","1,310","51"
"대전광역시 중구 은행선화동(3014053500)","15,778","15,778","869","994","2,741","2,328","2,444","2,531","2,198","1,119","468","82","4"
"대전광역시 중구 목동(3014055000)","14,498","14,498","1,410","2,444","1,571","1,460","3,220","2,091","1,250","687","320","40","5"
"대전광역시 중구 중촌동(3014056000)","12,768","12,768","633","1,140","1,505","1,278","1,963","2,268","2,089","1,215","590","84","3"
"대전광역시 중구 대흥동(3014057500)","13,818","13,818","851","1,114","2,380","1,894","2,140","1,977","1,833","1,062","468","96","3"
"대전광역시 중구 문창동(3014060500)","4,679","4,679","173","289","497","438","574","820","907","628","313","39","1"
"대전광역시 중구 석교동(3014062000)","15,733","15,733","688","1,110","1,758","1,576","2,018","2,778","3,106","1,866","733","93","7"
"대전광역시 중구 대사동(3014063000)","5,476","5,476","160","258","1,020","626","595","879","949","606","340","41","2"
"대전광역시 중구 부사동(3014064000)","6,678","6,678","295","430","790","652","852","1,213","1,249","749","378","69","1"
"대전광역시 중구 용두동(3014065500)","9,567","9,567","507","734","1,775","1,271","1,377","1,448","1,182","801","413","56","3"
"대전광역시 중구 오류동(3014067000)","10,700","10,700","638","775","1,563","1,369","1,461","1,779","1,488","972","560","95","0"
"대전광역시 중구 태평1동(3014068000)","13,476","13,476","1,130","1,592","1,514","1,499","2,397","2,227","1,592","1,032","443","50","0"
"대전광역시 중구 태평2동(3014069000)","25,910","25,910","1,870","3,010","3,033","2,264","4,267","4,486","3,564","2,238","1,033","138","7"
"대전광역시 중구 유천1동(3014070000)","6,614","6,614","332","331","865","878","933","1,136","1,201","631","275","31","1"
"대전광역시 중구 유천2동(3014071000)","13,803","13,803","886","953","1,804","1,566","1,907","2,216","2,303","1,438","647","81","2"
"대전광역시 중구 문화1동(3014072000)","22,537","22,537","1,871","2,779","2,845","2,365","3,859","3,596","2,648","1,661","808","102","3"
"대전광역시 중구 문화2동(3014073000)","12,764","12,764","608","1,060","1,526","1,258","1,805","2,380","2,129","1,225","687","82","4"
"대전광역시 중구 산성동(3014074000)","27,510","27,510","1,432","2,298","3,187","2,631","3,937","5,183","4,986","2,649","1,071","131","5"
"대전광역시 서구 (3017000000)","474,504","474,504","36,331","48,630","73,367","64,914","76,768","76,794","57,825","26,288","11,807","1,718","62"
"대전광역시 서구 복수동(3017051000)","22,657","22,657","2,058","3,030","2,815","2,587","4,291","3,493","2,583","1,234","493","70","3"
"대전광역시 서구 도마1동(3017052000)","15,260","15,260","695","995","2,511","1,605","1,789","2,631","2,767","1,546","638","78","5"
"대전광역시 서구 도마2동(3017053000)","17,362","17,362","849","1,355","2,468","1,807","2,313","2,922","3,133","1,699","731","83","2"
"대전광역시 서구 정림동(3017053500)","16,320","16,320","1,038","1,451","1,992","1,715","2,235","3,062","2,858","1,297","580","90","2"
"대전광역시 서구 변동(3017054000)","16,171","16,171","952","1,221","2,129","1,999","2,245","2,869","2,667","1,424","578","85","2"
"대전광역시 서구 용문동(3017055000)","12,374","12,374","591","621","2,442","2,174","1,701","1,735","1,693","935","422","56","4"
"대전광역시 서구 탄방동(3017055500)","27,383","27,383","1,655","2,377","5,467","4,657","4,405","4,302","2,795","1,086","561","75","3"
"대전광역시 서구 괴정동(3017056000)","19,242","19,242","1,137","1,249","4,561","3,584","2,822","2,503","2,010","953","358","61","4"
"대전광역시 서구 가장동(3017057000)","11,948","11,948","787","1,075","1,599","1,424","1,800","1,949","1,839","1,007","411","57","0"
"대전광역시 서구 내동(3017057500)","23,895","23,895","1,838","2,616","3,176","2,688","3,990","3,929","3,227","1,668","671","91","1"
"대전광역시 서구 갈마1동(3017058100)","21,585","21,585","1,109","1,612","4,253","3,436","3,058","3,354","3,052","1,176","471","62","2"
"대전광역시 서구 갈마2동(3017058200)","25,034","25,034","1,382","2,004","5,620","4,219","3,773","4,012","2,641","899","437","45","2"
"대전광역시 서구 월평1동(3017058600)","11,277","11,277","362","547","2,902","1,891","1,506","1,885","1,364","555","226","37","2"
"대전광역시 서구 월평2동(3017058700)","14,931","14,931","762","1,275","1,858","1,509","1,926","2,791","2,629","1,276","772","131","2"
"대전광역시 서구 월평3동(3017058800)","21,477","21,477","1,735","2,658","2,699","2,605","3,369","3,866","3,066","950","452","76","1"
"대전광역시 서구 가수원동(3017059000)","41,780","41,780","5,260","4,853","5,001","6,534","7,875","5,753","4,146","1,594","656","102","6"
"대전광역시 서구 관저1동(3017059600)","15,731","15,731","1,248","1,593","2,769","2,046","2,312","2,795","1,695","813","405","53","2"
"대전광역시 서구 관저2동(3017059700)","50,433","50,433","6,044","6,123","6,803","7,838","9,407","7,649","3,947","1,724","777","118","3"
"대전광역시 서구 기성동(3017060000)","3,727","3,727","91","168","290","262","402","671","775","575","404","85","4"
"대전광역시 서구 둔산1동(3017063000)","16,996","16,996","1,545","3,409","1,633","1,300","3,974","2,516","1,362","815","377","63","2"
"대전광역시 서구 둔산2동(3017064000)","36,071","36,071","3,109","4,212","5,395","5,381","6,150","6,309","3,668","1,212","558","74","3"
"대전광역시 서구 만년동(3017065000)","12,854","12,854","936","1,283","2,358","1,985","2,038","2,236","1,303","468","209","38","0"
"대전광역시 서구 둔산3동(3017066000)","19,996","19,996","1,148","2,903","2,626","1,668","3,387","3,562","2,605","1,382","620","88","7"
"대전광역시 유성구 (3020000000)","349,809","349,809","33,589","37,635","52,291","54,917","59,862","54,248","35,767","13,727","6,641","1,102","30"
"대전광역시 유성구 진잠동(3020052000)","34,656","34,656","3,173","3,308","4,341","4,305","5,782","6,196","4,570","1,899","946","133","3"
"대전광역시 유성구 온천1동(3020053000)","35,093","35,093","1,511","1,465","8,319","6,904","4,378","5,464","4,282","1,792","831","138","9"
"대전광역시 유성구 온천2동(3020054000)","39,989","39,989","3,407","3,158","8,399","6,321","5,592","5,821","4,663","1,724","777","127","0"
"대전광역시 유성구 노은1동(3020054600)","22,047","22,047","2,181","2,993","2,839","3,128","4,270","3,321","1,912","901","432","68","2"
"대전광역시 유성구 노은2동(3020054700)","24,735","24,735","2,321","3,405","3,119","3,096","4,636","4,090","2,295","1,105","576","91","1"
"대전광역시 유성구 노은3동(3020054800)","37,610","37,610","4,825","4,587","3,787","5,982","7,428","5,328","3,613","1,407","554","95","4"
"대전광역시 유성구 신성동(3020055000)","26,103","26,103","2,910","2,871","4,131","5,226","4,245","3,514","2,078","666","403","59","0"
"대전광역시 유성구 전민동(3020057000)","27,145","27,145","2,554","3,154","4,333","4,451","4,260","4,459","2,604","744","474","110","2"
"대전광역시 유성구 구즉동(3020058000)","27,673","27,673","2,391","3,021","4,229","4,013","4,674","4,724","2,657","1,191","671","98","4"
"대전광역시 유성구 관평동(3020060000)","28,904","28,904","3,074","4,454","3,744","4,009","5,831","4,580","2,203","651","304","54","0"
"대전광역시 유성구 원신흥동(3020061000)","45,854","45,854","5,242","5,219","5,050","7,482","8,766","6,751","4,890","1,647","673","129","5"
"대전광역시 대덕구 (3023000000)","174,851","174,851","10,679","16,078","24,204","19,706","26,429","33,211","26,003","12,214","5,573","727","27"
"대전광역시 대덕구 오정동(3023051000)","14,525","14,525","605","982","2,276","1,544","1,895","2,680","2,665","1,319","476","78","5"
"대전광역시 대덕구 대화동(3023052000)","7,065","7,065","280","470","809","796","1,046","1,336","1,346","678","255","47","2"
"대전광역시 대덕구 회덕동(3023052500)","12,456","12,456","643","969","1,426","1,214","1,717","2,324","2,318","1,170","601","72","2"
"대전광역시 대덕구 비래동(3023053300)","16,382","16,382","904","1,637","2,211","1,590","2,483","3,175","2,560","1,229","525","66","2"
"대전광역시 대덕구 송촌동(3023054300)","27,515","27,515","1,969","3,725","4,048","2,624","4,878","5,580","2,849","1,147","618","75","2"
"대전광역시 대덕구 중리동(3023054600)","19,595","19,595","910","1,577","3,010","2,212","2,994","3,727","3,075","1,434","592","63","1"
"대전광역시 대덕구 신탄진동(3023055000)","10,972","10,972","467","885","1,443","1,089","1,480","2,134","1,904","1,028","481","53","8"
"대전광역시 대덕구 석봉동(3023056000)","16,423","16,423","1,973","1,504","1,936","2,846","2,688","2,589","1,828","664","346","48","1"
"대전광역시 대덕구 덕암동(3023057000)","13,957","13,957","752","1,204","2,165","1,680","2,101","2,661","1,860","1,003","469","60","2"
"대전광역시 대덕구 목상동(3023058000)","6,568","6,568","427","601","982","1,004","1,169","1,153","762","313","135","21","1"
"대전광역시 대덕구 법1동(3023060000)","13,237","13,237","850","1,016","1,728","1,602","1,732","2,604","2,096","1,046","504","58","1"
"대전광역시 대덕구 법2동(3023061000)","16,156","16,156","899","1,508","2,170","1,505","2,246","3,248","2,740","1,183","571","86","0"
"울산광역시  (3100000000)","1,124,459","1,124,459","93,908","110,407","139,883","146,836","184,554","206,621","153,461","61,923","23,627","3,154","85"
"울산광역시 중구 (3111000000)","214,280","214,280","15,720","19,645","25,742","25,565","33,440","40,328","33,236","14,627","5,335","626","16"
"울산광역시 중구 학성동(3111051000)","11,151","11,151","510","672","1,294","1,351","1,504","1,951","2,107","1,264","443","53","2"
"울산광역시 중구 반구1동(3111052000)","17,042","17,042","1,318","1,307","2,027","2,377","2,579","3,303","2,705","1,038","345","41","2"
"울산광역시 중구 반구2동(3111053000)","8,757","8,757","393","588","1,257","1,026","1,108","1,731","1,544","796","275","39","0"
"울산광역시 중구 복산1동(3111054000)","4,489","4,489","199","301","544","480","515","889","951","443","154","13","0"
"울산광역시 중구 복산2동(3111055000)","11,281","11,281","906","1,072","1,468","1,587","1,760","2,022","1,501","691","241","33","0"
"울산광역시 중구 중앙동(3111058500)","12,799","12,799","408","624","1,508","1,257","1,538","2,475","2,843","1,517","582","47","0"
"울산광역시 중구 우정동(3111059000)","18,559","18,559","1,256","1,537","2,181","2,245","2,705","3,335","3,173","1,439","619","69","0"
"울산광역시 중구 태화동(3111060000)","33,273","33,273","3,271","3,656","3,691","4,199","5,893","5,773","4,408","1,743","554","83","2"
"울산광역시 중구 다운동(3111061000)","22,747","22,747","982","1,924","3,076","2,027","3,202","4,986","3,924","1,815","737","74","0"
"울산광역시 중구 병영1동(3111062000)","22,130","22,130","1,400","2,203","2,823","2,225","3,219","4,652","3,645","1,423","479","57","4"
"울산광역시 중구 병영2동(3111063000)","20,252","20,252","1,935","1,935","2,149","2,708","3,397","3,563","3,017","1,100","405","41","2"
"울산광역시 중구 약사동(3111064000)","10,884","10,884","1,294","1,280","1,298","1,610","1,817","1,983","1,083","364","133","21","1"
"울산광역시 중구 성안동(3111065000)","20,916","20,916","1,848","2,546","2,426","2,473","4,203","3,665","2,335","994","368","55","3"
"울산광역시 남구 (3114000000)","315,599","315,599","22,903","29,474","44,264","41,236","50,104","60,790","43,347","16,912","5,874","675","20"
"울산광역시 남구 신정1동(3114051000)","18,461","18,461","797","1,083","2,431","2,216","2,404","3,538","3,670","1,715","551","53","3"
"울산광역시 남구 신정2동(3114052000)","24,335","24,335","1,895","3,051","3,147","2,730","4,252","4,715","2,845","1,266","380","53","1"
"울산광역시 남구 신정3동(3114053000)","16,374","16,374","1,259","1,204","2,079","2,062","2,448","3,265","2,562","1,058","381","55","1"
"울산광역시 남구 신정4동(3114054000)","21,006","21,006","1,734","2,266","2,783","2,649","3,587","3,734","2,717","1,125","359","51","1"
"울산광역시 남구 신정5동(3114055000)","8,883","8,883","470","598","1,333","1,283","1,393","1,690","1,305","598","194","19","0"
"울산광역시 남구 달동(3114056000)","27,201","27,201","1,585","1,998","4,171","3,848","4,058","5,201","4,133","1,502","642","60","3"
"울산광역시 남구 삼산동(3114057000)","48,892","48,892","3,413","4,302","7,827","7,664","8,301","9,327","5,688","1,776","520","74","0"
"울산광역시 남구 삼호동(3114058500)","20,443","20,443","1,114","1,628","3,080","2,221","2,844","4,565","3,175","1,242","514","59","1"
"울산광역시 남구 무거동(3114059500)","31,808","31,808","2,024","3,348","5,683","3,517","5,004","6,596","3,697","1,342","532","65","0"
"울산광역시 남구 옥동(3114060000)","26,487","26,487","2,074","3,096","3,560","3,123","4,160","5,462","3,465","1,115","390","42","0"
"울산광역시 남구 대현동(3114062500)","30,075","30,075","3,294","3,298","3,214","4,377","5,451","4,833","3,559","1,505","494","47","3"
"울산광역시 남구 수암동(3114063500)","16,855","16,855","1,535","1,811","2,181","2,298","2,570","3,245","2,237","725","223","28","2"
"울산광역시 남구 선암동(3114064000)","14,263","14,263","1,093","1,240","1,752","1,891","2,259","2,681","2,216","815","288","27","1"
"울산광역시 남구 야음장생포동(3114067000)","10,516","10,516","616","551","1,023","1,357","1,373","1,938","2,078","1,128","406","42","4"
"울산광역시 동구 (3117000000)","154,705","154,705","14,033","15,608","17,099","21,777","26,003","24,960","23,623","8,644","2,583","366","9"
"울산광역시 동구 방어동(3117051000)","40,098","40,098","3,444","4,119","4,535","5,717","7,283","6,578","5,554","2,098","665","104","1"
"울산광역시 동구 일산동(3117052000)","5,772","5,772","233","351","701","750","823","1,037","1,186","517","156","18","0"
"울산광역시 동구 화정동(3117053000)","19,606","19,606","2,097","1,915","1,933","2,776","3,233","3,128","2,915","1,131","426","50","2"
"울산광역시 동구 대송동(3117054000)","11,643","11,643","866","1,161","1,478","1,457","1,948","2,226","1,762","549","173","21","2"
"울산광역시 동구 전하1동(3117055000)","14,858","14,858","1,293","1,385","1,858","2,079","2,313","2,353","2,293","1,001","249","33","1"
"울산광역시 동구 전하2동(3117056000)","20,620","20,620","1,995","2,330","2,299","2,587","3,442","3,664","2,997","974","280","50","2"
"울산광역시 동구 남목1동(3117058000)","8,814","8,814","620","919","871","1,063","1,428","1,369","1,686","652","184","21","1"
"울산광역시 동구 남목2동(3117059000)","21,177","21,177","2,293","2,136","2,328","3,637","3,450","2,825","3,271","993","213","31","0"
"울산광역시 동구 남목3동(3117060000)","12,117","12,117","1,192","1,292","1,096","1,711","2,083","1,780","1,959","729","237","38","0"
"울산광역시 북구 (3120000000)","217,920","217,920","24,333","23,629","26,610","33,096","38,673","38,497","21,725","7,713","3,161","465","18"
"울산광역시 북구 농소1동(3120051000)","36,971","36,971","4,448","4,000","4,000","5,607","6,689","6,170","3,891","1,536","545","81","4"
"울산광역시 북구 농소2동(3120052000)","40,159","40,159","5,277","4,727","4,340","6,503","7,573","6,326","3,547","1,258","535","72","1"
"울산광역시 북구 농소3동(3120053000)","38,569","38,569","3,528","6,153","4,858","3,663","8,310","7,259","2,890","1,271","554","79","4"
"울산광역시 북구 강동동(3120054000)","16,506","16,506","2,591","1,430","1,128","3,273","2,922","2,121","1,913","699","365","62","2"
"울산광역시 북구 효문동(3120056000)","29,640","29,640","2,692","2,133","4,434","4,958","4,268","6,217","3,455","1,008","409","64","2"
"울산광역시 북구 송정동(3120057000)","36,158","36,158","4,358","3,668","4,821","6,103","5,958","6,664","3,118","980","420","68","0"
"울산광역시 북구 양정동(3120058000)","9,964","9,964","707","749","1,766","1,595","1,444","1,889","1,259","400","132","23","0"
"울산광역시 북구 염포동(3120059000)","9,953","9,953","732","769","1,263","1,394","1,509","1,851","1,652","561","201","16","5"
"울산광역시 울주군 (3171000000)","221,955","221,955","16,919","22,051","26,168","25,162","36,334","42,046","31,530","14,027","6,674","1,022","22"
"울산광역시 울주군 온산읍(3171025000)","20,383","20,383","1,433","1,621","2,518","2,755","3,653","4,027","2,688","1,126","493","64","5"
"울산광역시 울주군 언양읍(3171025300)","28,344","28,344","2,348","2,740","3,407","3,185","4,493","5,203","4,139","1,804","877","142","6"
"울산광역시 울주군 온양읍(3171025600)","28,699","28,699","2,489","3,240","3,274","3,444","5,256","5,270","3,444","1,478","702","101","1"
"울산광역시 울주군 범서읍(3171025900)","69,959","69,959","6,272","9,752","9,176","7,385","13,270","13,076","7,099","2,652","1,129","147","1"
"울산광역시 울주군 청량읍(3171026200)","19,155","19,155","1,683","1,550","2,177","2,811","2,878","3,490","2,779","1,177","521","88","1"
"울산광역시 울주군 삼남읍(3171026500)","22,298","22,298","1,469","1,526","2,824","2,963","3,224","4,331","3,543","1,619","670","127","2"
"울산광역시 울주군 서생면(3171031000)","8,346","8,346","470","490","751","863","1,164","1,552","1,692","892","417","55","0"
"울산광역시 울주군 웅촌면(3171034000)","7,714","7,714","287","365","818","635","755","1,615","1,757","913","492","76","1"
"울산광역시 울주군 두동면(3171036000)","4,228","4,228","130","190","294","284","404","884","1,120","547","320","53","2"
"울산광역시 울주군 두서면(3171037000)","3,096","3,096","46","114","153","196","229","539","865","538","359","57","0"
"울산광역시 울주군 상북면(3171038000)","7,961","7,961","256","403","678","534","869","1,698","1,918","996","521","86","2"
"울산광역시 울주군 삼동면(3171040000)","1,772","1,772","36","60","98","107","139","361","486","285","173","26","1"
"세종특별자치시  (3600000000)","365,309","365,309","46,951","44,563","38,185","61,164","71,243","47,168","32,723","14,593","7,423","1,259","37"
"세종특별자치시  (3611000000)","365,309","365,309","46,951","44,563","38,185","61,164","71,243","47,168","32,723","14,593","7,423","1,259","37"
"세종특별자치시  조치원읍(3611025000)","43,348","43,348","3,084","4,165","6,527","5,451","6,850","6,651","5,690","3,063","1,616","243","8"
"세종특별자치시  연기면(3611031000)","2,768","2,768","98","97","378","366","321","518","552","253","154","30","1"
"세종특별자치시  연동면(3611032000)","3,153","3,153","94","126","280","295","335","530","698","424","306","61","4"
"세종특별자치시  부강면(3611033000)","6,253","6,253","321","363","718","756","816","1,085","1,109","626","402","56","1"
"세종특별자치시  금남면(3611034000)","8,974","8,974","335","378","940","911","1,018","1,607","1,854","1,115","689","121","6"
"세종특별자치시  장군면(3611035000)","6,994","6,994","248","314","1,014","935","967","1,309","1,174","595","385","52","1"
"세종특별자치시  연서면(3611036000)","7,437","7,437","344","406","843","735","870","1,207","1,460","909","583","77","3"
"세종특별자치시  전의면(3611037000)","5,559","5,559","182","364","558","474","653","1,009","1,077","649","512","75","6"
"세종특별자치시  전동면(3611038000)","3,408","3,408","67","113","270","229","320","674","872","498","311","53","1"
"세종특별자치시  소정면(3611039000)","2,355","2,355","90","176","261","183","304","437","425","267","188","24","0"
"세종특별자치시  한솔동(3611051000)","18,960","18,960","2,435","3,300","1,741","2,429","4,364","2,704","1,243","498","207","38","1"
"세종특별자치시  새롬동(3611051500)","33,966","33,966","4,896","4,701","3,870","6,601","7,246","3,885","1,900","584","217","66","0"
"세종특별자치시  도담동(3611052000)","41,059","41,059","5,706","5,520","4,563","7,491","8,822","4,813","2,522","1,062","452","108","0"
"세종특별자치시  아름동(3611053000)","23,617","23,617","3,355","4,361","1,867","3,324","5,853","2,853","1,323","480","172","27","2"
"세종특별자치시  종촌동(3611054000)","29,530","29,530","4,497","4,257","2,561","5,302","6,316","3,365","2,065","800","332","34","1"
"세종특별자치시  고운동(3611055000)","34,517","34,517","5,851","4,904","2,508","6,260","7,693","3,601","2,542","866","245","47","0"
"세종특별자치시  소담동(3611055500)","34,201","34,201","5,810","3,724","3,487","7,709","6,610","3,848","2,102","639","219","51","2"
