"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","20,541","20,541","1,135","1,151","2,670","3,835","3,322","3,206","2,798","1,545","721","141","17"
"서울특별시 용산구 서빙고동(1117069000)","13,072","13,072","763","1,443","1,752","1,489","2,363","2,275","1,506","771","610","97","3"
"서울특별시 용산구 보광동(1117070000)","13,582","13,582","429","746","2,117","2,085","1,976","2,418","2,002","1,177","554","73","5"
"서울특별시 성동구 (1120000000)","288,214","288,214","19,613","19,235","44,172","47,374","43,707","46,409","37,442","20,190","8,852","1,138","82"
"서울특별시 성동구 왕십리제2동(1120052000)","16,600","16,600","1,197","1,148","2,435","2,885","2,493","2,686","2,115","1,134","445","60","2"
"서울특별시 성동구 왕십리도선동(1120053500)","26,632","26,632","2,280","1,581","4,290","4,570","4,000","4,368","3,083","1,598","759","102","1"
"서울특별시 성동구 마장동(1120054000)","22,501","22,501","1,163","1,587","4,253","3,218","2,944","3,655","3,095","1,717","757","101","11"
"서울특별시 성동구 사근동(1120055000)","11,952","11,952","410","740","4,738","1,564","1,118","1,292","981","736","326","36","11"
"서울특별시 성동구 행당제1동(1120056000)","13,942","13,942","961","998","2,241","2,244","2,131","2,249","1,685","968","401","59","5"
"서울특별시 성동구 행당제2동(1120057000)","23,494","23,494","1,727","2,050","2,914","3,536","3,895","3,929","2,862","1,743","744","91","3"
"서울특별시 성동구 응봉동(1120058000)","15,511","15,511","1,140","1,598","1,744","2,183","2,858","2,467","1,748","1,138","558","69","8"
"서울특별시 성동구 금호1가동(1120059000)","15,408","15,408","1,257","1,076","1,753","2,595","2,540","2,338","2,150","1,115","525","57","2"
"서울특별시 성동구 금호2.3가동(1120061500)","22,828","22,828","1,726","1,422","2,782","4,082","3,648","3,625","3,004","1,669","763","100","7"
"서울특별시 성동구 금호4가동(1120062000)","14,418","14,418","1,332","933","1,443","2,638","2,554","2,094","1,854","1,055","453","58","4"
"서울특별시 성동구 옥수동(1120064500)","26,127","26,127","2,491","1,656","2,805","4,905","4,459","3,845","3,342","1,709","780","128","7"
"서울특별시 성동구 성수1가제1동(1120065000)","16,686","16,686","1,003","1,098","2,591","2,870","2,382","3,073","2,265","956","396","48","4"
"서울특별시 성동구 성수1가제2동(1120066000)","12,818","12,818","704","845","2,060","2,309","1,952","1,990","1,684","878","356","39","1"
"서울특별시 성동구 성수2가제1동(1120067000)","16,056","16,056","788","845","2,225","2,559","2,169","2,993","2,694","1,234","487","57","5"
"서울특별시 성동구 성수2가제3동(1120069000)","10,969","10,969","570","515","1,959","1,915","1,447","1,773","1,540","827","368","47","8"
"서울특별시 성동구 송정동(1120072000)","10,552","10,552","494","554","1,683","1,599","1,509","1,936","1,680","747","305","44","1"
"서울특별시 성동구 용답동(1120079000)","11,720","11,720","370","589","2,256","1,702","1,608","2,096","1,660","966","429","42","2"
"서울특별시 광진구 (1121500000)","341,505","341,505","18,280","25,130","62,215","54,857","50,940","53,734","43,829","21,994","9,244","1,207","75"
"서울특별시 광진구 화양동(1121571000)","22,993","22,993","370","731","10,004","4,465","2,145","2,063","1,725","1,014","421","52","3"
"서울특별시 광진구 군자동(1121573000)","19,744","19,744","831","990","4,534","3,610","2,551","2,824","2,460","1,333","551","57","3"
"서울특별시 광진구 중곡제1동(1121574000)","15,565","15,565","716","718","2,859","2,942","2,099","2,455","2,192","1,118","415","49","2"
"서울특별시 광진구 중곡제2동(1121575000)","21,616","21,616","1,106","1,342","3,806","3,886","2,983","3,489","2,958","1,453","520","71","2"
"서울특별시 광진구 중곡제3동(1121576000)","16,274","16,274","715","907","2,627","2,657","2,211","2,876","2,437","1,273","503","62","6"
"서울특별시 광진구 중곡제4동(1121577000)","28,808","28,808","1,350","1,863","4,358","4,251","4,022","5,240","4,542","2,274","797","98","13"
"서울특별시 광진구 능동(1121578000)","11,386","11,386","519","535","2,354","2,566","1,616","1,439","1,284","740","294","37","2"
"서울특별시 광진구 광장동(1121581000)","34,891","34,891","3,033","5,461","4,073","3,628","7,489","5,623","3,150","1,438","846","145","5"
"서울특별시 광진구 자양제1동(1121582000)","22,478","22,478","928","1,485","4,315","3,713","3,329","3,553","2,923","1,519","639","73","1"
"서울특별시 광진구 자양제2동(1121583000)","24,922","24,922","1,532","1,810","3,703","3,755","3,889","4,121","3,752","1,642","626","87","5"
"서울특별시 광진구 자양제3동(1121584000)","28,243","28,243","2,211","2,573","3,859","4,149","4,496","4,644","3,648","1,629","893","136","5"
"서울특별시 광진구 자양제4동(1121584700)","17,395","17,395","656","852","2,756","2,547","2,305","2,986","3,022","1,574","623","72","2"
"서울특별시 광진구 구의제1동(1121585000)","21,709","21,709","797","1,098","4,733","4,283","3,130","3,091","2,528","1,379","585","69","16"
"서울특별시 광진구 구의제2동(1121586000)","26,659","26,659","1,709","2,314","3,685","3,784","4,265","4,520","3,607","1,907","768","95","5"
"서울특별시 광진구 구의제3동(1121587000)","28,822","28,822","1,807","2,451","4,549","4,621","4,410","4,810","3,601","1,701","763","104","5"
"서울특별시 동대문구 (1123000000)","337,857","337,857","19,830","23,074","56,421","49,029","49,230","52,196","47,271","27,446","11,843","1,434","83"
"서울특별시 동대문구 용신동(1123053600)","30,950","30,950","1,193","1,395","6,215","5,429","4,087","4,575","4,288","2,494","1,143","126","5"
"서울특별시 동대문구 제기동(1123054500)","24,694","24,694","989","1,370","4,485","3,187","2,997","3,785","3,949","2,586","1,197","138","11"
"서울특별시 동대문구 전농제1동(1123056000)","29,419","29,419","1,824","1,826","4,567","4,149","4,251","4,849","4,278","2,454","1,095","119","7"
"서울특별시 동대문구 전농제2동(1123057000)","18,784","18,784","1,177","1,710","2,222","2,224","2,998","3,203","2,813","1,567","785","82","3"
"서울특별시 동대문구 답십리제1동(1123060000)","29,077","29,077","2,695","1,960","4,183","5,198","4,762","4,219","3,392","1,758","804","96","10"
"서울특별시 동대문구 답십리제2동(1123061000)","28,643","28,643","1,796","1,908","3,654","4,396","4,097","4,843","4,331","2,438","1,053","124","3"
"서울특별시 동대문구 장안제1동(1123065000)","38,259","38,259","2,440","2,616","5,266","6,248","6,194","5,946","5,524","2,881","1,008","125","11"
"서울특별시 동대문구 장안제2동(1123066000)","32,553","32,553","2,736","2,812","3,794","4,936","5,735","4,961","4,387","2,269","807","107","9"
"서울특별시 동대문구 청량리동(1123070500)","18,961","18,961","728","1,035","2,186","2,127","2,369","3,236","3,807","2,318","1,016","134","5"
"서울특별시 동대문구 회기동(1123071000)","10,499","10,499","418","688","3,346","1,501","1,275","1,202","981","671","365","51","1"
"서울특별시 동대문구 휘경제1동(1123072000)","13,680","13,680","802","784","3,458","2,119","1,661","1,921","1,536","929","415","52","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,195","24,195","1,163","2,009","5,488","2,920","3,425","3,534","3,010","1,807","736","100","3"
"서울특별시 동대문구 이문제1동(1123074000)","18,058","18,058","670","1,225","4,760","2,131","2,294","2,569","2,183","1,439","696","86","5"
"서울특별시 동대문구 이문제2동(1123075000)","20,085","20,085","1,199","1,736","2,797","2,464","3,085","3,353","2,792","1,835","723","94","7"
"서울특별시 중랑구 (1126000000)","388,911","388,911","21,784","25,740","55,124","56,925","56,115","67,915","60,159","31,143","12,329","1,598","79"
"서울특별시 중랑구 면목제2동(1126052000)","24,247","24,247","1,168","1,534","3,273","3,213","3,549","4,801","3,782","2,045","769","109","4"
"서울특별시 중랑구 면목제4동(1126054000)","19,172","19,172","1,042","1,205","2,498","2,696","2,940","3,314","2,994","1,823","587","70","3"
"서울특별시 중랑구 면목제5동(1126055000)","14,719","14,719","1,357","890","1,781","2,656","2,263","2,440","1,957","982","359","33","1"
"서울특별시 중랑구 면목본동(1126056500)","33,873","33,873","1,444","1,844","5,317","5,202","4,870","6,222","5,075","2,743","1,047","106","3"
"서울특별시 중랑구 면목제7동(1126057000)","21,871","21,871","1,126","1,195","3,011","3,310","3,105","3,801","3,616","1,920","694","92","1"
"서울특별시 중랑구 면목제3.8동(1126057500)","25,081","25,081","1,056","1,417","3,742","3,512","3,391","4,606","4,136","2,253","850","113","5"
