사용월,호선명,역ID,지하철역,  유임승차  ,  유임하차  ,  무임승차  ,  무임하차  
21-Aug,9호선,627,구반포,40445,43194,15303,15406
21-Aug,9호선,628,신반포,59197,58231,14807,14661
21-Aug,9호선,629,고속터미널,248852,326540,41945,47756
21-Aug,9호선,630,사평,63473,63089,15028,15057
21-Aug,9호선,631,신논현,670029,665879,45682,42060
21-Aug,공항철도 1호선,645,서울역,159108,148804,24971,22490
21-Aug,공항철도 1호선,646,공덕,45307,58932,5790,6594
21-Aug,공항철도 1호선,647,홍대입구,221304,219837,14395,13724
21-Aug,공항철도 1호선,648,디지털미디어시티,265158,242321,18561,17487
21-Aug,공항철도 1호선,649,마곡나루(서울식물원),149890,145525,9097,8938
21-Aug,공항철도 1호선,650,김포공항,306467,167474,18461,12052
21-Aug,공항철도 1호선,651,계양,195441,187752,21811,20593
21-Aug,공항철도 1호선,652,검암,144532,142854,13853,13726
21-Aug,공항철도 1호선,653,청라국제도시,139110,132679,9260,9085
21-Aug,공항철도 1호선,654,운서,139277,143422,20900,20914
21-Aug,공항철도 1호선,655,공항화물청사,47825,52001,7770,7517
21-Aug,공항철도 1호선,656,인천공항1터미널,84729,87610,19268,18837
21-Aug,공항철도 1호선,657,인천공항2터미널,53609,50139,13964,13454
21-Aug,공항철도 1호선,658,영종,59185,60003,15806,15815
21-Aug,9호선2~3단계,632,언주,210211,211925,21734,21464
21-Aug,9호선2~3단계,633,선정릉,190358,206335,17742,18149
21-Aug,9호선2~3단계,634,삼성중앙,126574,131904,16876,16883
21-Aug,9호선2~3단계,635,봉은사,323730,328525,33389,31727
21-Aug,9호선2~3단계,636,종합운동장,81676,82131,13754,12690
21-Aug,9호선2~3단계,637,삼전,132832,130229,28165,27377
21-Aug,9호선2~3단계,638,석촌고분,115522,116342,25947,25996
21-Aug,9호선2~3단계,639,석촌,165893,148718,26214,22786
21-Aug,9호선2~3단계,640,송파나루,95939,105774,20690,21365
21-Aug,9호선2~3단계,641,한성백제,47536,44453,12404,11294
21-Aug,9호선2~3단계,642,올림픽공원(한국체대),117306,115215,18505,17800
21-Aug,9호선2~3단계,643,둔촌오륜,20288,18645,4981,5272
21-Aug,9호선2~3단계,644,중앙보훈병원,166624,146007,67450,66331
21-Aug,우이신설선,702,북한산우이,48814,44997,30746,31875
21-Aug,우이신설선,703,솔밭공원,35903,33068,23679,25713
21-Aug,우이신설선,704,4.19민주묘지,39970,39142,30537,26783
21-Aug,우이신설선,705,가오리,62610,61025,38687,40072
21-Aug,우이신설선,706,화계,47845,43561,33709,34202
21-Aug,우이신설선,707,삼양,26703,27748,22036,24669
21-Aug,우이신설선,708,삼양사거리,31165,32049,29950,30409
21-Aug,우이신설선,709,솔샘,99601,92014,29818,30922
21-Aug,우이신설선,710,북한산보국문,105190,98876,33318,33835
21-Aug,우이신설선,711,정릉,70828,63487,35608,33405
21-Aug,우이신설선,712,성신여대입구(돈암),53877,62861,23149,21891
21-Aug,우이신설선,713,보문,23865,23415,11919,11657
21-Aug,우이신설선,714,신설동,29375,29242,20752,18443
