"@timestamp","@version","@version.keyword","_id","_index","_score","_type",client,"client.keyword","hashtags.indices","hashtags.text","hashtags.text.keyword","in-reply-to",message,"message.keyword",retweeted,source,"source.keyword",urls,"urls.keyword",user,"user.keyword","user_mentions.id","user_mentions.id_str","user_mentions.id_str.keyword","user_mentions.indices","user_mentions.name","user_mentions.name.keyword","user_mentions.screen_name","user_mentions.screen_name.keyword"
"Nov 1, 2021 @ 20:42:06.000",1,1,JDBO23wBtA8X4oc1lIkM,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/AliceBTSArmy3/status/1455138074141151241","http://twitter.com/AliceBTSArmy3/status/1455138074141151241","-","-",AliceBTSArmy3,AliceBTSArmy3,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:41:52.000",1,1,IzBO23wBtA8X4oc1W4l6,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @ksh_pinoy: I live in Japan but I installed 11 street app on my phone and created an account. Time to learn korean alphabet so… https://t.co/rIF8iOJ91B","RT @ksh_pinoy: I live in Japan but I installed 11 street app on my phone and created an account. Time to learn korean alphabet so… https://t.co/rIF8iOJ91B",false,"http://twitter.com/JulieAn87452256/status/1455138013411897344","http://twitter.com/JulieAn87452256/status/1455138013411897344","-","-",JulieAn87452256,JulieAn87452256,"1,451,566,856,955,858,944",1451566856955858946,1451566856955858946,"3, 13","KSH Pinoy Fan💚🇵🇭🇯🇵","KSH Pinoy Fan💚🇵🇭🇯🇵","ksh_pinoy","ksh_pinoy"
"Nov 1, 2021 @ 20:41:19.000",1,1,IjBN23wBtA8X4oc13YmL,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/solitudejk/status/1455137878200119302","http://twitter.com/solitudejk/status/1455137878200119302","-","-",solitudejk,solitudejk,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:41:14.000",1,1,ITBN23wBtA8X4oc1yYl1,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-",PULEESSSS,PULEESSSS,false,"http://twitter.com/sulzproblematic/status/1455137856444268546","http://twitter.com/sulzproblematic/status/1455137856444268546","-","-",sulzproblematic,sulzproblematic,"-","-","-","-","-","-","-","-"
"Nov 1, 2021 @ 20:40:34.000",1,1,IDBN23wBtA8X4oc1LIkb,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @NinkMickey: เหยยยยยยย ชอบสองเรื่องนี้เหมือนกัน โดยเฉพาะคิมซัมซุน!

JAY B : Must see Korean Movie and TV Series https://t.co/jVPlzi4GET","RT @NinkMickey: เหยยยยยยย ชอบสองเรื่องนี้เหมือนกัน โดยเฉพาะคิมซัมซุน!

JAY B : Must see Korean Movie and TV Series https://t.co/jVPlzi4GET",false,"http://twitter.com/realppjyploy_/status/1455137687472467972","http://twitter.com/realppjyploy_/status/1455137687472467972","https://youtu.be/syydxDEFPzc","https://youtu.be/syydxDEFPzc","realppjyploy_","realppjyploy_","74,937,344",74937344,74937344,"3, 14","N i n k M i c k e y","N i n k M i c k e y",NinkMickey,NinkMickey
"Nov 1, 2021 @ 20:39:44.000",1,1,HzBM23wBtA8X4oc1aole,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/Angie33216465/status/1455137479686717441","http://twitter.com/Angie33216465/status/1455137479686717441","-","-",Angie33216465,Angie33216465,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:39:40.000",1,1,HjBM23wBtA8X4oc1WYmK,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/Flower61783532/status/1455137461621772294","http://twitter.com/Flower61783532/status/1455137461621772294","-","-",Flower61783532,Flower61783532,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:39:36.000",1,1,HTBM23wBtA8X4oc1SIm7,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","20, 29",JUNGKOOK,JUNGKOOK,"-","RT @frofel: We need #JUNGKOOK action star..omg! Why this man fit for everything and anything…i can’t, He keeps on surprising us… https://t.co/oC6JwXAUbo","RT @frofel: We need #JUNGKOOK action star..omg! Why this man fit for everything and anything…i can’t, He keeps on surprising us… https://t.co/oC6JwXAUbo",false,"http://twitter.com/Angie33216465/status/1455137443263365122","http://twitter.com/Angie33216465/status/1455137443263365122","-","-",Angie33216465,Angie33216465,"190,742,864",190742864,190742864,"3, 10","💜💜💜","💜💜💜",frofel,frofel
"Nov 1, 2021 @ 20:38:02.000",1,1,HDBK23wBtA8X4oc13Iko,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/phoenixz27/status/1455137051888603139","http://twitter.com/phoenixz27/status/1455137051888603139","-","-",phoenixz27,phoenixz27,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:36:31.000",1,1,GjBJ23wBtA8X4oc1dYkO,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","the movie got dong seok of course they will tune in!","the movie got dong seok of course they will tune in!",false,"http://twitter.com/winterseige/status/1455136666423750660","http://twitter.com/winterseige/status/1455136666423750660","-","-",winterseige,winterseige,"-","-","-","-","-","-","-","-"
"Nov 1, 2021 @ 20:36:31.000",1,1,GzBJ23wBtA8X4oc1domw,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/MH_JJK4Ever/status/1455136668235698184","http://twitter.com/MH_JJK4Ever/status/1455136668235698184","-","-","MH_JJK4Ever","MH_JJK4Ever","1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:36:24.000",1,1,GTBJ23wBtA8X4oc1WomD,"kmovie_short","-","_doc","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/SpringBreeze59/status/1455136638045024256","http://twitter.com/SpringBreeze59/status/1455136638045024256","-","-",SpringBreeze59,SpringBreeze59,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:36:23.000",1,1,GDBJ23wBtA8X4oc1V4lL,"kmovie_short","-","_doc","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/buuunnnnnnn/status/1455136634509295618","http://twitter.com/buuunnnnnnn/status/1455136634509295618","-","-",buuunnnnnnn,buuunnnnnnn,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:36:16.000",1,1,FzBJ23wBtA8X4oc1OonZ,"kmovie_short","-","_doc","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/Marcellasneeee_/status/1455136603983081478","http://twitter.com/Marcellasneeee_/status/1455136603983081478","-","-","Marcellasneeee_","Marcellasneeee_","1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:36:08.000",1,1,FjBJ23wBtA8X4oc1G4mh,"kmovie_short","-","_doc","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/hallosweetty/status/1455136570084937730","http://twitter.com/hallosweetty/status/1455136570084937730","-","-",hallosweetty,hallosweetty,"1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
"Nov 1, 2021 @ 20:36:00.000",1,1,"FTBI23wBtA8X4oc1_InA","kmovie_short","-","_doc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","-","-","-","-","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX","RT @JungkookPub: Korean Netizens strongly call Jungkook to star as a leading actor in a movie, following the teaser of BTS's 2022 Se… https://t.co/XdGQwE3eVX",false,"http://twitter.com/Jungkook875_twt/status/1455136537155276803","http://twitter.com/Jungkook875_twt/status/1455136537155276803","-","-","Jungkook875_twt","Jungkook875_twt","1,418,910,685,925,347,328",1418910685925347332,1418910685925347332,"3, 15","방탄소년단정국's Publicity","방탄소년단정국's Publicity",JungkookPub,JungkookPub
